depth (cm),age (BP),temperature (degC),tempErrorPlus (degC),sampleID (missing),uncertainty.temperature (degC)
3,-46,6.6,7.8,AWC-1,5.4
8,-12,6.3,7.5,AWC-2,5.1
18,116,6.3,7.5,AWC-3,5.1
28,192,4.6,5.8,AWC-4,3.4
37,260,6.5,7.7,AWC-5,5.3
48,345,6,7.2,AWC-6,4.8
57,411,4.6,5.8,AWC-7,3.4
68,495,3.9,5.1,AWC-8,2.7
72,525,4,5.2,AWC-9,2.8
83,609,4,5.2,AWC-10,2.8
88,652,3.2,4.4,AWC-1-1,2
98,744,3.6,4.8,AWC-11,2.4
108,835,4.4,5.6,AWC-12,3.2
118,925,3,4.2,AWC-13,1.8
128,1014,3.8,5,AWC-14,2.6
138,1114,3.2,4.4,AWC-15,2
146,1198,3.8,5,AWC-16,2.6
156,1303,4,5.2,AWC-17,2.8
165,1395,2.9,4.1,AWC-18,1.7
176,1511,2.6,3.8,AWC-19,1.4
186,1616,2.5,3.7,AWC-20,1.3
196,1720,2.8,4,AWC-21,1.6
206,1825,2.4,3.6,AWC-22,1.2
215,1919,2.3,3.5,AWC-23,1.1
241,2190,1.2,2.4,AWC-1-2,0
246,2243,3.2,4.4,AWC-24,2
271,2511,1.9,3.1,AWC-25,0.7
276,2565,1.4,2.6,AWC-26,0.2
296,2871,0.6,1.8,AWC-27,-0.6
306,3055,1.4,2.6,AWC-28,0.2
315,3219,-2.2,-1,AWC-29,-3.4
326,3420,-3.2,-2,AWC-30,-4.4
335,3671,-2.1,-0.9,AWC-31,-3.3
346,4079,-4.6,-3.4,AWC-32,-5.8
356,4444,-5,-3.8,AWC-33,-6.2
365,4772,-4,-2.8,AWC-34,-5.2
376,5178,-3.6,-2.4,AWC-35,-4.8
386,5565,-2.8,-1.6,AWC-36,-4
396,5979,-2.9,-1.7,AWC-37,-4.1
406,6408,2.1,3.3,AWC-38,0.9
410,6581,0.9,2.1,AWC-1-3,-0.3
415,6801,0.1,1.3,AWC-39,-1.1
425,7236,-0.1,1.1,AWC-40,-1.3
434,7576,4.1,5.3,AWC-41,2.9
445,7945,4.5,5.7,AWC-42,3.3
455,8285,3.8,5,AWC-43,2.6
464,8600,-1.7,-0.5,AWC-44,-2.9
475,8972,4.7,5.9,AWC-1-4,3.5
485,9325,6.4,7.6,AWC-45,5.2
495,9668,3.9,5.1,AWC-46,2.7
505,10014,4.1,5.3,AWC-47,2.9
514,10321,3.7,4.9,AWC-48,2.5
525,10704,3.7,4.9,AWC-49,2.5
535,11051,2.9,4.1,AWC-50,1.7
545,11404,3.2,4.4,AWC-51,2
555,11755,1.9,3.1,AWC-52,0.7
565,12100,-3,-1.8,AWC-53,-4.2
