depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,0,17.457,-11.629,3.615,1103.286
10,60,16.943,-12.629,2.782,1183.143
20,120,17.014,-11.271,3.513,1146.429
30,263.3,17.429,-11.143,3.711,1129.857
40,489.8,17.743,-11.186,3.906,1053
43,557.8,17.629,-10.671,4.05,1130.857
45,603.1,17.629,-11.1,3.892,1057.571
55,829.6,17.971,-10.657,4.28,1038.143
65,1056.2,17.886,-10.614,4.263,1037.714
75,1282.7,17.957,-10.314,4.442,1032.286
80,1396,17.943,-10.257,4.489,1029.571
85,1509.3,17.371,-11.129,3.749,1070
87,1554.6,17.9,-10.743,4.2,1042.571
95,1735.8,18.1,-10.6,4.417,1022.714
105,1962.4,18.086,-10.529,4.396,1011.571
115,2188.9,17.986,-10.614,4.34,1007.857
125,2415.5,17.914,-10.7,4.261,1012.286
135,2642,17.743,-10.857,4.16,1088.714
145,2868.6,18.057,-11.457,4.054,1020.429
155,3095.1,18.286,-11.143,4.226,974.143
165,3321.7,17.971,-10.671,4.304,1011.429
170,3434.9,18.043,-10.957,4.2,1006.286
175,3548.2,18.257,-10.514,4.561,1011
185,3774.8,18.429,-10.743,4.545,968.286
195,4001.3,18.086,-10.729,4.329,1019
200,4114.6,17.9,-11.157,4.089,1036.286
205,4227.9,18.186,-9.957,4.754,997.143
215,4454.4,17.886,-11.586,3.92,1029.429
225,4681,18.057,-11.457,4.054,1020.429
235,4907.5,18.457,-11.4,4.302,976.286
245,5134.1,18.286,-11.657,4.114,988.143
255,5360.6,17.8,-10.871,4.027,1079.143
260,5473.9,18.714,-9.886,5.107,951.714
265,5717.6,18.271,-10.386,4.608,981
275,6205,18.886,-10.186,5.083,945.571
285,6692.4,18.986,-10.057,5.161,914.286
295,7179.8,19.243,-9.514,5.557,906.571
305,7667.2,19.057,-10.143,5.18,883.143
315,8154.5,19.129,-10.986,4.861,853.286
325,8641.9,19.029,-10.1,5.186,899.429
335,9129.3,19.229,-10.114,5.29,862.857
339,9324.3,18.914,-10.957,4.783,907.143
345,9616.7,18.429,-11.643,4.101,985.429
350,9860.4,18.3,-13.429,3.327,894.286
355,10104.1,18.2,-12.9,3.344,955.429
360,10347.8,18.343,-13.443,3.354,886.429
365,10591.5,18.786,-11.571,4.443,889.714
370,10835.2,18.371,-12.371,3.812,928.857
375,11078.9,NA,NA,NA,NA
380,11322.6,NA,NA,NA,NA
385,11566.3,NA,NA,NA,NA
392,11907.5,NA,NA,NA,NA
394,12005,NA,NA,NA,NA
400,12297.4,NA,NA,NA,NA
407,12638.6,NA,NA,NA,NA
410,12784.8,NA,NA,NA,NA
