depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
40,Carbon-14,108891,70,590,Picea needle,NA
43,Carbon-14,108892,60,460,Pinus needle,NA
63,Carbon-14,108893,70,450,Picea needle,NA
67.5,Carbon-14,108894,100,1120,Picea needle,NA
71,Carbon-14,108895,60,520,Picea needle,NA
134,Carbon-14,108896,70,3950,Picea needle,NA
160,Carbon-14,108897,90,5550,Picea needle,NA
206.5,Carbon-14,108898,370,9060,Abies needle,NA
218,Carbon-14,108899,70,9470,Pinus needle,NA
225.5,Carbon-14,108900,70,10020,Pinus needle,NA
226,Carbon-14,108901,420,10070,Cyperaceae seed,NA
236.5,Carbon-14,108902,220,11330,Salix (?) twig,NA
