depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-12.3,13.171,-8.057,2.414,927.429
10,121,14.843,-7.371,3.642,787.143
20,254.3,14.9,-7.214,3.738,772.857
30,387.7,14.357,-7.114,3.47,841
40,521,14.443,-6.943,3.53,808.429
45,607.6,13.386,-8.743,2.151,817.571
50,702.6,14.314,-7.443,3.198,767.857
55,797.7,14.714,-7.286,3.538,763.571
60,892.8,14.486,-7.771,3.282,738.429
65,987.8,14.229,-7.671,3.089,783.143
70,1121.1,12.971,-5.786,3.146,1075.571
75,1292.7,14.7,-7.086,3.685,782.286
85,1635.8,15.471,-5.829,4.61,779.286
95,1978.9,14.657,-7.157,3.646,810.143
105,2322,14.943,-7.4,3.731,776.429
115,2923.3,14.629,-7.186,3.62,811.571
120,3238.4,15.786,-5.557,4.862,717.143
125,3553.4,14.7,-7.086,3.685,782.286
130,3997.4,15.457,-6.086,4.42,713.571
135,4494,15.443,-6,4.526,743.571
140,4858,15.457,-6.086,4.42,713.571
145,5222,14.971,-6.357,4.015,741.286
150,5586,16.229,-5.6,5.121,674.143
155,5950,13.386,-8.314,2.361,829.571
165,6566.7,15.214,-6.671,4.062,735.429
170,6819.4,14.514,-7.057,3.425,745.571
175,7072.1,15.586,-6.029,4.529,717
180,7324.8,15.029,-6.743,3.862,726.143
183,7476.5,15.586,-6.029,4.529,717
191,8200.7,15.543,-6.186,4.338,665.571
195,8722.7,16.486,-5.7,5.215,625.429
200,9375.3,15.329,-7.014,3.844,618.571
205,10027.8,15.214,-6.557,4.045,669.286
210,10356.4,15.786,-6.086,4.579,635.571
215,10546.1,15.786,-6.514,4.369,623.571
220,10818,15.271,-6.829,3.932,643
222.5,11118.3,NA,NA,NA,NA
225,11418.7,NA,NA,NA,NA
226,11579.9,NA,NA,NA,NA
228.5,11982.9,NA,NA,NA,NA
230,12224.7,NA,NA,NA,NA
232.5,12627.8,NA,NA,NA,NA
235,13030.8,NA,NA,NA,NA
237.5,13433.8,NA,NA,NA,NA
240,13836.9,NA,NA,NA,NA
241,13998.1,NA,NA,NA,NA
242,14159.3,NA,NA,NA,NA
