depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-20,7.214,-24.014,-9.364,236
10,18,7.386,-23.129,-8.887,238
20,57,7.643,-23.329,-8.867,239.286
40,239,8.929,-18.414,-5.97,678.143
60,527,18.014,-8.086,5.237,1241.857
80,815,9.943,-15.486,-3.713,817.429
100,1103,11.471,-14.029,-1.76,931.286
120,1390,18.114,-9.014,4.957,1181.714
140,1678,11.329,-13.686,-1.706,925
160,1966,11.2,-13.014,-1.543,968.143
180,2254,12.943,-14.057,-0.824,954.143
200,2542,10.7,-16.314,-3.71,814.714
220,2830,13,-13.886,-0.731,984.143
240,3118,10.714,-17.214,-3.999,774.571
260,3406,10.714,-17.214,-3.999,774.571
280,3694,10.714,-17.214,-3.999,774.571
300,3982,10.714,-17.214,-3.999,774.571
320,4270,10.714,-17.214,-3.999,774.571
340,4573,9.657,-19.8,-6.123,690.286
360,4987,10.714,-17.214,-3.999,774.571
380,5401,8.671,-15.743,-4.376,761.857
400,5814,10.714,-17.214,-3.999,774.571
420,6228,8.957,-19.686,-6.302,672.857
440,6641,9.443,-19.071,-5.899,676.571
460,7055,9.443,-19.071,-5.899,676.571
480,7468,8.929,-18.414,-5.97,678.143
500,7880,10.714,-17.214,-3.999,774.571
520,8279,9.443,-19.071,-5.899,676.571
540,8677,9.2,-15.514,-4.093,764.714
555,8976,9.443,-19.071,-5.899,676.571
565,9175,10.714,-17.214,-3.999,774.571
575,9374,11.057,-19.443,-5.017,705.714
