depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),UnkownColumn (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
21,81.564,NA,11.006,18.5,12.466,9.546,N
90.5,510.358,NA,12.984,100,14.444,11.524,N
120,692.364,NA,15.323,84.5,16.783,13.863,N
144,840.436,NA,14.102,71.5,15.562,12.642,N
168,998.719,NA,15.241,106,16.701,13.781,N
207,1372.067,NA,14.903,186,16.363,13.443,N
222,1548.869,14.002,NA,158.5,15.462,12.542,NA
246,1853.238,14.023,NA,126,15.483,12.563,NA
264,2105.95,14.121,NA,169.5,15.581,12.661,NA
282,2358.663,14.704,NA,114.5,16.164,13.244,NA
306,2733.034,13.778,NA,101,15.238,12.318,NA
318,2930.479,13.342,NA,67,14.802,11.882,NA
342,3325.37,14.748,NA,97,16.208,13.288,NA
366,3773.681,14.015,NA,130,15.475,12.555,NA
375,3956.362,14.179,NA,88.5,15.639,12.719,NA
393,4356.889,13.539,NA,113.5,14.999,12.079,NA
405,4646.5,13.745,NA,105.5,15.205,12.285,NA
417,4951.969,15.932,NA,172,17.392,14.472,NA
453,5974.2,16.709,NA,77,18.169,15.249,NA
471,6494.175,13.955,NA,68,15.415,12.495,NA
489,6970.345,16.053,NA,119.5,17.513,14.593,NA
504,7355.172,15.307,NA,81,16.767,13.847,NA
516,7594.047,16.27,NA,130,17.73,14.81,NA
519,7653.016,16.521,NA,84,17.981,15.061,NA
522,7711.984,14.164,NA,122,15.624,12.704,NA
525,7770.953,13.906,NA,64.5,15.366,12.446,NA
528,7829.922,15.38,NA,193,16.84,13.92,NA
531,7888.891,15.113,NA,63,16.573,13.653,NA
534,7947.859,14.772,NA,136.5,16.232,13.312,NA
537,8004.438,15.668,NA,55,17.128,14.208,NA
540,8049.062,15.273,NA,245,16.733,13.813,NA
543,8093.688,14.863,NA,113,16.323,13.403,NA
546,8138.312,15.041,NA,66,16.501,13.581,NA
549,8182.938,15.953,NA,232,17.413,14.493,NA
552,8227.562,15.005,NA,61,16.465,13.545,NA
555,8272.188,15.592,NA,110,17.052,14.132,NA
558,8316.812,14.752,NA,98,16.212,13.292,NA
576,8540,15.585,NA,194,17.045,14.125,NA
585,8648,14.55,NA,66,16.01,13.09,NA
594,8761.1,15.014,NA,187,16.474,13.554,NA
600,8839.9,14.572,NA,104,16.032,13.112,NA
621,9105.611,14.896,NA,79,16.356,13.436,NA
642,9240.167,15.705,NA,45,17.165,14.245,NA
645,9259.389,15.564,NA,135,17.024,14.104,NA
672,9491,14.229,NA,45,15.689,12.769,NA
678,9543.235,14.593,NA,132,16.053,13.133,NA
696,9699.941,14.724,NA,112,16.184,13.264,NA
744,10057.599,13.881,NA,169,15.341,12.421,NA
780,10267.769,14.185,NA,102,15.645,12.725,NA
804,10407.883,15.224,NA,80,16.684,13.764,NA
816,10477.939,15.587,NA,109,17.047,14.127,NA
852,10683.133,13.613,NA,60,15.073,12.153,NA
864,10742.333,15.471,NA,66,16.931,14.011,NA
912,10979.133,14.551,NA,74,16.011,13.091,NA
960,11215.933,16.367,NA,54.5,17.827,14.907,NA
996,11446.537,15.43,NA,70,16.89,13.97,NA
1014,11671.632,14.663,NA,87,16.123,13.203,NA
1022,11771.674,NA,14.002,26,15.407,12.487,N
1032,11896.726,13.872,NA,100,15.332,12.412,NA
1044,12094.379,13.24,NA,46.5,14.7,11.78,NA
1050,12207.483,13.228,NA,69.5,14.688,11.768,NA
1062,12433.69,NA,14.023,24.5,16.512,13.592,N
1068,12546.793,15.543,NA,55.5,17.003,14.083,NA
1074,12659.897,15.571,NA,54.5,17.031,14.111,NA
1080,12773,14.923,NA,35.5,16.383,13.463,NA
1086,12892,14.093,NA,66,15.553,12.633,NA
1092,13048,14.056,NA,77,15.516,12.596,NA
1098,13204,15.15,NA,87,16.61,13.69,NA
1107,13440,NA,14.121,23.5,15.737,12.817,N
1113,13620,NA,14.704,26,18.535,15.615,N
1116,13705.171,17.665,NA,34.5,19.125,16.205,NA
1119,13790.341,NA,13.778,16,14.041,11.121,N
1122,13875.512,13.473,NA,56,14.933,12.013,NA
1125,13960.683,NA,13.342,15,15.177,12.257,N
1131,14131.024,NA,14.748,26,17.712,14.792,N
1137,14306,13.161,NA,28,14.621,11.701,NA
1143,14484.286,14.453,NA,43,15.913,12.993,NA
1149,14669.048,12.341,NA,38.5,13.801,10.881,NA
1155,14851.905,13.512,NA,53,14.972,12.052,NA
1161,15034.762,11.048,NA,108.5,12.508,9.588,NA
1164,15126.19,13.388,NA,59,14.848,11.928,NA
1170,15309.048,11.248,NA,72.5,12.708,9.788,NA
1176,15491.905,14.112,NA,132,15.572,12.652,NA
1182,15674.762,NA,14.015,25.5,11.261,8.341,N
1188,15857.619,NA,14.179,13,12.439,9.519,N
1199,16192.857,NA,13.539,33.5,10.262,7.342,N
