year (AD),age (BP),depth (m),temperature (degC),Mg/Ca (missing),d18O_PDB (permil),d18O_SMOW (permil),d18O (permil),d18O (permil),temperature (degC)
1426,524,0.025,17.6,2.608,-0.17,0.21,0.21,NA,NA
1216,734,0.035,17.6,2.61,-0.33,0.05,0.05,NA,NA
1007,943,0.045,19,2.873,-0.27,0.46,0.46,0.17,18
588,1362,0.065,17.6,2.606,-0.23,0.15,0.15,0.17,17.9
253,1697,0.085,17.5,2.591,-0.34,0.01,0.01,0.24,18
253,1697,0.085,18.2,2.713,-0.34,0.18,0.18,0.2,18.1
129,1821,0.095,18.3,2.739,-0.15,0.4,0.4,0.27,18.1
4,1946,0.105,18.6,2.801,-0.37,0.26,0.26,0.29,18.3
-121,2071,0.115,19.1,2.885,-0.23,0.51,0.51,0.34,18.4
-245,2195,0.125,17.7,2.615,-0.27,0.12,0.12,0.3,18.5
-370,2320,0.135,18.8,2.834,-0.27,0.41,0.41,0.31,18.4
-370,2320,0.135,18,2.67,-0.27,0.19,0.19,0.21,18.3
-495,2445,0.145,17.9,2.653,-0.12,0.32,0.32,0.23,17.9
-619,2569,0.155,17.3,2.559,-0.29,0.03,0.02,0.24,18.1
-744,2694,0.165,18.5,2.782,-0.38,0.23,0.22,0.23,18.1
-869,2819,0.175,18.8,2.833,-0.23,0.45,0.44,0.27,18.1
-993,2943,0.185,17.8,2.649,-0.29,0.14,0.14,0.27,18.4
-1118,3068,0.195,19.3,2.936,-0.25,0.55,0.55,0.26,18.5
-1243,3193,0.205,18.1,2.692,-0.47,0.02,0.01,0.21,18.5
-1367,3317,0.215,18.6,2.787,-0.43,0.18,0.17,0.31,18.4
-1617,3567,0.235,18.4,2.755,-0.36,0.21,0.2,0.25,18.6
-1756,3706,0.245,18.9,2.846,-0.08,0.61,0.6,0.41,18.4
-2035,3985,0.265,18.3,2.745,-0.28,0.28,0.27,0.48,18.8
-2175,4125,0.275,19.9,3.058,-0.14,0.81,0.79,0.49,18.9
-2524,4474,0.3,18.8,2.833,-0.12,0.55,0.53,0.4,18.9
-2873,4823,0.325,18.8,2.842,-0.39,0.29,0.27,0.45,18.9
-3012,4962,0.335,18.4,2.755,-0.42,0.16,0.14,0.47,19.1
-3291,5241,0.355,19.7,3.008,-0.33,0.56,0.54,0.45,19.2
-3431,5381,0.365,20.2,3.115,-0.13,0.88,0.86,0.5,19.1
-3570,5520,0.375,18.5,2.772,-0.14,0.46,0.43,0.6,19.2
-3710,5660,0.385,19.2,2.911,-0.18,0.59,0.56,0.64,19.4
-3850,5800,0.395,19.6,2.999,-0.22,0.65,0.62,0.59,19.4
-3928,5878,0.405,19.7,3.012,-0.11,0.78,0.75,0.61,19.3
-3986,5936,0.415,19.7,3.021,-0.27,0.63,0.6,0.6,19.5
-3986,5936,0.415,19.4,2.954,-0.27,0.55,0.52,0.53,19.4
-4043,5993,0.425,18.7,2.819,-0.1,0.56,0.53,0.52,19
-4043,5993,0.425,17.6,2.597,-0.1,0.27,0.23,0.48,19
-4159,6109,0.445,19.4,2.963,-0.1,0.73,0.7,0.59,18.7
-4216,6166,0.455,18.5,2.778,-0.17,0.44,0.4,0.66,18.7
-4274,6224,0.465,19.1,2.896,0.38,1.13,1.09,0.82,18.6
-4390,6340,0.485,18.3,2.745,0.34,0.9,0.86,0.84,18.9
-4390,6340,0.485,19.1,2.899,0.34,1.1,1.06,0.9,18.7
-4447,6397,0.495,18.2,2.724,0.3,0.84,0.8,0.85,18.5
-4505,6455,0.505,17.7,2.622,0.31,0.7,0.66,0.79,18.7
-4563,6513,0.515,20.2,3.132,-0.15,0.88,0.84,0.71,18.9
-4620,6570,0.525,19.4,2.956,-0.19,0.63,0.59,0.65,19.1
-4736,6686,0.545,19.9,3.059,-0.23,0.72,0.68,0.88,19.1
-4794,6744,0.555,18.5,2.775,-0.07,0.53,0.49,0.78,19.5
-4851,6801,0.565,19.6,2.99,1,1.87,1.82,0.93,19.2
-4909,6859,0.575,18.8,2.824,-0.27,0.4,0.35,0.88,18.9
-4967,6917,0.585,17.9,2.662,0.9,1.36,1.31,0.86,18.7
-5024,6974,0.595,18.5,2.783,-0.13,0.48,0.43,0.62,18.5
