depth (m),age (BP),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d13C (permil),depth (m),age (BP),temperature (degC),Uk37 (missing)
0.2,3932,25.36,28.87,0.2,3932,26.56,28.81,0.2,3932,27.13,27.14,28.9,28.91,0.05,3389,-3.08,1.2,0.05,3389,28.14,0.964
0.3,4295,25.13,28.79,0.3,4295,26.68,28.88,0.3,4295,27.06,27.05,28.86,28.86,0.1,3570,-3.38,1.28,0.15,3751,28.2,0.966
0.4,4657,26.2,29.05,0.4,4657,26.26,28.76,0.4,4657,27.06,27.05,28.86,28.86,0.15,3751,-3.26,0.95,0.25,4114,28.23,0.967
0.5,5019,26.42,29.27,0.5,5019,26.26,28.76,0.5,5019,27.06,27.05,28.86,28.86,0.2,3932,-3.3,1.52,0.35,4476,28.21,0.966
0.6,5382,27.33,29.38,0.6,5382,27.18,28.92,0.6,5381,27.24,27.2,28.86,28.91,0.25,4114,-3.4,1.32,0.45,4838,28.14,0.964
0.7,5744,26.23,29.25,0.7,5744,26.72,28.81,0.7,5744,27.06,27.05,28.86,28.86,0.3,4295,-3.32,1.48,0.55,5200,28.12,0.964
0.8,6106,25.65,29.26,0.8,6106,25.42,28.85,0.8,6106,25.93,24.8,28.71,28.77,0.35,4476,-3.16,1.25,0.65,5563,27.99,0.96
0.9,6468,26.27,29.44,0.9,6468,25.5,28.82,0.9,6468,26.44,25.79,28.81,28.89,0.4,4657,-3.4,1.17,0.75,5925,28.15,0.965
1,6831,25.21,29.18,1,6831,24.92,28.86,1,6831,26.51,26.08,28.72,28.69,0.45,4838,-3.33,1.17,0.85,6287,28.06,0.962
1.1,7193,27.15,29.5,1.1,7193,25.38,28.76,1.1,7193,26.96,26.49,28.83,28.82,0.5,5019,-3.43,1.18,0.95,6650,28.11,0.963
1.2,7555,26.82,29.65,1.2,7555,25.74,28.95,1.2,7555,26.58,25.79,28.75,28.76,0.55,5200,-3.13,1.05,1.05,7012,27.94,0.958
1.3,7918,26.71,29.58,1.3,7918,25.96,28.89,1.3,7918,26.94,26.4,28.82,28.82,0.6,5381,-3.2,1.26,1.25,7737,27.79,0.953
1.5,8587,25.13,29.2,1.5,8587,25.2,28.77,1.5,8587,27.01,26.47,28.8,28.79,0.65,5563,-3.13,1.1,1.35,8099,27.76,0.953
1.6,8893,24.95,28.99,1.6,8893,25.96,28.76,1.6,8893,27.23,27.21,28.81,28.79,0.7,5744,-3.17,1.11,1.45,8433,27.66,0.95
1.8,9407,25.7,29.17,1.8,9407,26.2,28.81,1.8,9407,26.55,26.44,28.88,28.88,0.75,5925,-3.14,1.1,1.55,8740,27.66,0.95
1.9,9613,25.04,28.98,1.9,9613,24.36,28.83,1.9,9613,26.97,26.53,28.85,28.87,0.8,6106,-3,1.21,1.65,9047,27.72,0.951
2,9820,25.78,29.11,2,9820,25.91,28.89,2,9820,26.55,26.44,28.88,28.88,0.85,6287,-3.13,0.95,1.75,9303,27.46,0.943
2.1,10027,25.59,29.27,2.1,10027,23.73,28.78,2.1,10027,26.65,26.98,28.83,29.03,0.9,6468,-3.12,1.29,1.8,9407,27.43,0.942
2.2,10233,25.29,29.1,2.2,10233,24.33,28.81,2.2,10233,26.69,25.83,28.82,28.82,0.95,6650,-2.92,0.84,1.85,9510,27.47,0.944
2.3,10440,24.97,28.9,2.3,10440,26.14,28.92,2.3,10440,26.69,26.55,28.94,28.93,1,6831,-3.13,0.98,1.95,9717,27.67,0.95
2.4,10647,24.64,28.64,2.4,10647,25.17,28.8,2.4,10647,27.26,27.25,28.99,28.99,1.05,7012,-3.02,1.07,2.05,9923,27.61,0.948
2.5,10853,24.23,28.63,2.5,10853,25.59,28.81,2.5,10853,27.26,27.25,28.99,28.99,1.1,7193,-3.27,0.97,2.15,10130,27.63,0.949
2.6,11060,24.6,28.78,2.6,11060,25.53,28.85,2.6,11060,26.97,26.53,28.85,28.87,1.15,7374,-3.02,1.08,2.25,10337,27.74,0.952
2.7,11267,26.04,29.1,2.7,11267,26.81,28.77,2.7,11267,27.14,27.15,28.94,28.95,1.2,7555,-3.13,0.96,2.3,10440,27.49,0.944
2.8,11473,27.29,29.4,2.8,11473,27.16,28.84,2.8,11473,27.11,27.11,28.9,28.91,1.25,7737,-3.08,0.76,2.35,10543,27.33,0.939
3,11881,24.77,28.83,3,11881,25.18,28.89,3,11881,27.26,27.25,28.99,28.99,1.3,7918,-3.03,0.96,2.4,10647,27.44,0.943
3.1,12082,26.03,29.12,3.1,12082,26.6,28.79,3.1,12082,27.18,27.13,28.79,28.8,1.35,8099,-3.1,0.82,2.45,10750,27.38,0.941
3.2,12283,23.51,28.5,3.2,12283,25.83,28.77,3.2,12283,26.96,26.49,28.83,28.82,1.4,8280,-2.94,1.07,2.55,10957,27.47,0.944
3.3,12483,25.85,28.98,3.3,12483,26.09,28.73,3.3,12483,27.14,27.15,28.94,28.95,1.45,8433,-2.94,0.84,2.6,11060,27.32,0.939
3.4,12684,23.88,28.52,3.4,12684,25.36,28.8,3.4,12684,26.69,26.55,28.94,28.93,1.5,8587,-2.84,0.96,2.65,11163,27.09,0.932
3.5,12885,24.28,28.73,3.5,12885,26.33,28.78,3.5,12885,26.59,26.52,28.93,28.93,1.55,8740,-2.91,0.66,2.7,11267,27.21,0.936
3.6,13086,25.77,29.13,3.6,13086,26.43,28.83,3.6,13086,27.11,27.11,28.9,28.91,1.6,8893,-3.13,0.87,2.75,11370,26.88,0.925
3.7,13287,24.72,28.86,3.7,13287,25.89,28.72,3.7,13287,26.55,26.44,28.88,28.88,1.65,9047,-3.25,0.6,2.85,11577,26.74,0.921
3.8,13488,26.37,29.13,3.8,13488,25.95,28.97,3.8,13488,26.82,26.62,28.96,29.01,1.7,9200,-3.21,0.52,2.95,11780,26.7,0.92
3.9,13688,25.93,29.13,3.9,13688,26.23,28.82,3.9,13688,26.55,26.44,28.88,28.88,1.75,9303,-2.97,0.49,3.05,11981,26.75,0.921
4,13889,25.44,29.09,4,13889,26,28.77,4,13889,26.98,26.53,28.85,28.87,1.8,9407,-2.76,0.67,3.1,12082,26.74,0.921
4.2,14249,27.17,29.6,4.2,14249,25.94,28.9,4.2,14249,27.05,27.18,28.85,29.01,1.85,9510,-3.04,0.4,3.15,12182,26.59,0.916
4.3,14408,26.23,29.47,4.3,14408,23.94,28.82,4.3,14408,27.3,27.81,28.85,29.09,1.9,9613,-3.14,0.54,3.25,12383,26.55,0.915
4.4,14567,24.77,29.18,4.4,14567,23.37,28.78,4.4,14567,26.67,26.27,28.74,28.75,1.95,9717,-3.13,0.51,3.35,12584,26.56,0.915
4.5,14726,23.68,28.6,4.5,14726,24.15,28.82,4.5,14726,26.96,26.49,28.83,28.82,2,9820,-3.19,0.68,3.4,12684,26.78,0.922
4.6,14885,22.15,28.22,4.6,14885,24.17,28.82,4.6,14885,27.23,27.21,28.81,28.79,2.05,9923,-3.12,0.47,3.45,12785,26.81,0.923
4.7,15044,23.44,28.58,4.7,15044,24.22,28.75,4.7,15044,27.23,27.21,28.81,28.79,2.1,10027,-3.14,0.64,3.55,12985,26.84,0.924
4.8,15203,23.39,28.5,4.8,15203,24.25,28.85,4.8,15203,27.23,27.21,28.81,28.79,2.15,10130,-2.86,0.61,3.65,13186,26.7,0.92
4.9,15362,21.36,27.88,4.9,15362,23.65,28.61,4.9,15362,26.96,26.49,28.83,28.82,2.2,10233,-2.88,0.48,3.75,13387,26.88,0.925
5,15521,24.81,28.53,5,15521,23.35,28.58,5,15521,27.24,27.25,28.84,28.85,2.25,10337,-2.99,0.3,3.85,13588,26.89,0.926
5.2,15839,21.35,28.04,5.2,15839,25.03,28.79,5.2,15839,27.18,27.12,28.81,28.86,2.3,10440,-2.97,0.46,3.9,13688,26.77,0.922
5.3,15998,21.195,27.91,5.3,15998,23.31,28.785,5.3,15998,22.73,22.3,28.585,28.46,2.35,10543,-2.5,0.42,3.95,13789,27,0.929
5.4,16157,24.38,28.71,5.4,16157,26.1,28.81,5.4,16157,25.45,24.6,28.83,28.82,2.4,10647,-2.61,0.63,4,13889,27.14,0.933
5.5,16316,23.78,28.53,5.5,16316,26.39,28.8,5.5,16316,26.6,26.47,28.88,28.88,2.45,10750,-2.59,0.38,4.05,13990,26.8,0.923
5.6,16475,23.36,28.41,5.6,16475,26.97,28.78,5.6,16475,27.18,27.12,28.81,28.86,2.5,10853,-2.6,0.47,4.1,14090,26.83,0.924
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,10957,-2.63,0.45,4.15,14170,26.92,0.926
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,11060,-2.63,0.5,4.2,14249,26.87,0.925
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,11163,-2.045,0.47,4.25,14328,27.1,0.932
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,11267,-2.44,0.56,4.3,14408,26.93,0.927
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,11370,-2.045,0.565,4.35,14488,26.92,0.927
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,11473,-2.35,0.74,4.4,14567,26.44,0.911
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,11577,-1.98,0.46,4.5,14726,25.97,0.897
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,11680,-2.15,0.55,4.55,14806,26.11,0.901
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,11780,-2.16,0.46,4.6,14885,26.05,0.9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11881,-2.24,0.82,4.65,14965,25.93,0.896
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,11981,-1.825,0.445,4.7,15044,25.84,0.893
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,12082,-2.16,0.68,4.87,15314,25.98,0.897
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,12182,-2.12,0.43,4.97,15473,25.89,0.895
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,12283,-2.17,0.51,5.07,15632,25.8,0.892
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,12383,-2.19,0.62,5.33,16046,25.73,0.89
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,12483,-2.17,0.6,5.37,16109,25.93,0.896
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,12584,-2.285,0.425,5.47,16268,25.55,0.884
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,12684,-2.15,0.53,5.6,16475,25.76,0.891
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,12785,-2.13,0.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,12885,-2.2,0.65,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,12985,-2.28,0.65,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,13086,-2.17,0.79,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,13186,-2.465,0.545,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,13287,-2.23,0.66,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,13387,-2.35,0.7,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,13488,-2.28,0.95,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85,13588,-2.36,0.51,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,13688,-2.59,0.7,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,13789,-2.42,0.54,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13889,-2.58,0.74,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05,13990,-2.59,0.47,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,14090,-2.41,0.78,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15,14170,-2.39,0.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,14249,-2.37,0.58,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,14328,-2.34,0.39,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,14408,-2.26,0.69,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,14488,-2.34,0.58,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,14567,-1.87,0.69,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,14646,-1.31,0.43,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,14726,-1.54,0.63,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,14774,-1.85,0.59,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,14806,-1.62,0.63,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57,14837,-1.47,0.46,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,14885,-1.72,0.7,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63,14933,-1.65,0.58,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,14965,-1.61,0.43,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,15044,-1.14,0.66,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76,15139,-1.43,0.16,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,15203,-1.6,0.61,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83,15251,-1.2,0.43,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.87,15314,-1.32,0.45,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,15362,-1.76,0.49,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93,15410,-1.41,0.43,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97,15473,-1.8,0.68,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15521,-1.53,0.71,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03,15569,-1.35,0.46,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,15632,-1.36,0.37,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,15680,-1.58,0.51,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13,15728,-1.28,0.42,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.17,15791,-1.4,0.39,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,15839,-1.12,0.66,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,15998,-1.7,0.57,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33,16046,-1.54,0.57,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37,16109,-1.45,0.7,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,16157,-1.54,0.64,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47,16268,-1.61,0.66,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,16316,-1.56,0.86,NA,NA,NA,NA
