depth (cm),age (yr BP),error (yr),calAge (yr BP),lowerCal (yr BP),upperCal (yr BP)
8,755,35,396,449,336
65,1680,30,1241,1278,1213
88,1970,35,1525,1584,1477
107,2260,30,1867,1907,1821
122,2360,30,1982,2032,1931
188,2910,35,2698,2738,2670
268,3950,35,3939,3990,3872
378,5140,35,5511,5557,5473
468,6800,45,7328,7380,7279
593,9450,65,10307,10378,10221
644,10600,50,11882,11970,11747
693,11700,55,13194,13250,13132
724,13200,75,15215,15481,15007
753,16050,75,18789,18867,18701
786,19050,90,22267,22391,22159
818,21900,110,25723,25968,25524
894,27100,160,31177,31268,31085
953,31000,240,35043,35228,34766
