depth (m),age (BP),temperature (degC),d18O (permil),d13C (permil),planktic.d18O (permil),planktic.d13C (permil),planktic.MgCa (mmol_mol)
0.04,NA,30,NA,NA,-2.26,1.5,5.63
0.08,NA,28.4,NA,NA,-2.25,1.35,4.9
0.12,NA,NA,NA,NA,-2.14,1.66,NA
0.16,NA,NA,NA,NA,-2.13,1.26,NA
0.2,766,28.6,1.03,1.49,-1.97,1.22,4.99
0.24,841,NA,0.99,1.52,-2.12,1.39,NA
0.28,917,29.1,0.96,1.47,-1.99,1.21,5.24
0.32,992,NA,1.01,1.51,-2.12,1.16,NA
0.36,1068,28.5,1.02,1.43,-2.01,1.57,4.93
0.4,1143,NA,1.05,1.45,-2.05,1.28,NA
0.44,1219,28.6,1.09,1.46,-1.89,1.18,5
0.48,1294,NA,1.04,1.44,-2.05,1.36,NA
0.52,1370,29.3,1.05,1.46,-2.04,1.17,5.3
0.56,1445,NA,1.09,1.43,-1.89,1.46,NA
0.6,1521,28.2,1.02,1.37,-2.31,1.27,4.82
0.64,1596,NA,1.03,1.44,-2.15,1.26,NA
0.68,1672,28.5,1.04,1.44,NA,NA,4.94
0.72,1747,NA,1.04,1.48,-2.02,1.29,NA
0.76,1823,28,0.96,1.49,-2.1,1.37,4.7
0.8,1898,NA,0.98,1.42,NA,NA,NA
0.84,1974,28.1,1.06,1.49,-2.08,1.31,4.79
0.88,2049,NA,0.99,1.46,-2.18,1.39,NA
0.92,2173,29,1.06,1.5,-2.3,1.28,5.19
0.96,2297,NA,0.97,1.45,-2.37,1.35,NA
1,2422,28,0.95,1.42,-2.21,1.21,4.73
1.04,2546,NA,1.04,1.45,-1.99,1.59,NA
1.08,2670,27.8,0.96,1.46,-2.28,1.26,4.62
1.12,2794,28.1,1.09,1.47,-2.08,1.39,4.75
1.16,2879,NA,1.02,1.53,-2.06,1.44,NA
1.2,2964,28.2,0.88,1.31,-2.17,1.11,4.81
1.24,3049,NA,1.01,1.31,-1.99,1.34,NA
1.28,3134,27.8,1,1.43,-2.06,1.47,4.66
1.32,3219,NA,1.06,1.43,NA,NA,NA
1.36,3304,NA,0.95,1.43,-2.11,1.45,NA
1.4,3389,NA,1.07,1.45,-2.31,1.25,NA
1.44,3474,28.7,1.03,1.41,-2.09,1.46,4.73
1.48,3559,NA,0.99,1.48,-2.23,1.46,NA
1.52,3644,28.1,0.96,1.38,-2.41,1.29,4.77
1.56,3729,NA,1.11,1.46,NA,NA,NA
1.6,3814,28.3,1.08,1.48,-2.16,1.47,4.85
1.64,3910,NA,1.13,1.51,-2.07,1.51,NA
1.68,4006,28.3,1.02,1.48,-2.26,1.65,4.83
1.72,4102,NA,1.14,1.46,-2.2,1.32,NA
1.76,4198,27.4,1.1,1.47,-2.1,1.39,4.49
1.8,4294,NA,1.06,1.39,-2.21,1.46,NA
1.84,4390,28.4,1.11,1.41,-2.17,1.58,4.9
1.88,4486,NA,1.17,1.32,-2.27,1.14,NA
1.92,4582,27.7,NA,NA,-2.35,1.48,4.59
1.96,4678,NA,1.05,1.5,-2.15,1.54,NA
2,4774,28.4,1.22,1.49,-2.21,1.4,4.88
2.04,4870,NA,1.14,1.45,-2.17,1.6,NA
2.08,4966,27.9,NA,NA,-2.16,1.61,4.67
2.12,5062,NA,1.03,1.45,-2.13,1.01,NA
2.16,5158,28,1.09,1.5,-2.22,1.24,4.73
2.2,5254,NA,1.07,1.44,-2,1.3,NA
2.24,5350,27.7,1,1.46,-1.98,1.42,4.59
2.28,5446,NA,1.11,1.43,-2.06,1.44,NA
2.32,5542,27.9,1.07,1.41,-2.09,1.42,4.66
2.36,5638,NA,1.11,1.48,-2.02,1.15,NA
2.4,5734,28.2,1.09,1.42,-2.06,1.3,4.81
2.44,5830,NA,1.08,1.4,-2.07,1.49,NA
2.48,5926,28.7,1.1,1.3,-2.29,1.23,5.04
2.52,6022,NA,1.14,1.43,-2.14,1.12,NA
2.56,6118,28.5,0.99,1.32,-2.17,1.34,4.93
2.6,6214,NA,0.97,1.34,-1.99,1.39,NA
2.64,6310,27.5,1.1,1.37,-2.18,1.36,4.51
2.68,6406,NA,1.01,1.45,-2.26,1.23,NA
2.72,6505,27.6,1.06,1.44,-2.23,1.26,4.57
2.76,6685,27.2,1.03,1.41,-2.23,1.18,4.38
2.8,6865,27.8,1.08,1.33,-2.18,1.29,4.65
2.84,7045,NA,1.07,1.43,-2.31,1.36,NA
2.88,7225,27,1.13,1.4,-2.29,1.4,4.33
2.92,7405,NA,1.08,1.36,-2.22,1.43,NA
2.96,7585,28.5,1.09,1.34,-2.14,1.48,4.93
3,7765,NA,1.1,1.31,-2.39,1.08,NA
3.04,7945,28.1,1.16,1.29,-2.02,1.28,4.77
3.08,8128,28.3,1.16,1.26,-1.99,1.35,4.72
