age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated (),rejected_dates (),note ()
-51,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3
NA,38.5,375,395,890,40,920,710,20,2,1,1,NA,NA
NA,71.5,700,730,1680,50,1710,1500,30,1,2,2,NA,NA
NA,208.5,2080,2090,3500,40,3870,3670,10,1,3,2,NA,NA
NA,242,2410,2430,4270,40,4870,4820,20,2,6,1,NA,1
NA,292,2910,2930,5760,50,6670,6430,20,2,4,1,NA,NA
NA,315.5,3140,3170,6150,50,7200,6890,30,1,7,2,NA,NA
NA,334,3330,3350,7050,50,7960,7760,20,1,8,2,NA,NA
NA,350,3490,3510,8590,40,9570,9520,20,1,10,2,NA,NA
NA,363,3620,3640,8730,60,9920,9550,20,1,5,2,NA,NA
NA,405.5,4040,4070,18950,170,NA,NA,30,2,9,1,1,2
