depth (m),age (BP),temperature (degC),DBD (g_cm3),TOC (percent),CaCO3 (percent),Uk37 (missing),C37.concentration (microg_g)
0.055,914,22.5,0.46,1.93,1.62,0.785,0.038
0.077,1223,22.7,0.48,1.9,1.59,0.794,0.035
0.099,1531,23.4,0.5,1.86,1.64,0.815,0.039
0.121,1839,23.6,0.53,1.84,1.75,0.823,0.067
0.143,2148,23.6,0.51,1.82,2.06,0.823,0.036
0.161,2406,22.2,0.49,1.78,2.6,0.777,0.024
0.184,2724,22.9,0.5,1.81,2.37,0.8,0.03
0.207,3042,22.8,0.5,1.82,1.85,0.797,0.025
0.23,3360,22.3,0.5,1.78,2.61,0.78,0.04
0.252,3678,22.7,0.54,1.72,3.04,0.792,0.054
0.298,4030,23.3,0.56,1.65,2.07,0.812,0.037
0.366,4125,24,0.55,1.72,1.72,0.836,0.029
0.438,4227,24.1,0.53,1.7,1.34,0.841,0.038
0.502,4316,24,0.54,1.69,2.08,0.836,0.011
0.57,4412,23.5,0.42,1.68,1.88,0.819,0.065
0.638,4508,23.7,0.52,1.71,1.46,0.827,0.032
0.706,4603,23.5,0.58,1.64,1.67,0.821,0.038
0.774,4699,24.1,0.59,1.6,1.44,0.841,0.031
0.842,4794,23.4,0.56,1.53,2.74,0.815,0.03
0.865,4826,24.1,0.65,1.51,2.88,0.841,0.026
0.91,4890,23.3,0.57,1.58,2.9,0.814,0.025
0.956,4954,23.7,0.57,1.57,2.21,0.825,0.028
0.979,4986,23.8,0.57,1.57,2.71,0.83,0.047
1.001,5017,24.2,0.57,1.58,1.7,0.841,0.02
1.047,5081,23.5,0.53,1.58,1.98,0.819,0.031
1.092,5145,23.6,0.49,1.64,2.84,0.824,0.034
1.161,5234,23.1,0.49,1.51,2.15,0.806,0.073
1.252,5345,NA,0.53,1.47,2.39,NA,NA
1.298,5401,23,0.53,1.43,2.75,0.803,0.069
1.388,5512,22.6,0.53,1.49,1.79,0.788,0.058
1.57,5734,22.7,0.44,1.42,1.95,0.792,0.057
1.661,5845,22.6,0.51,1.49,2.13,0.79,0.067
1.706,5901,21.9,0.56,1.47,1.81,0.768,0.062
1.797,6002,23.9,0.57,1.32,1.94,0.831,0.07
1.875,6065,22.2,0.58,1.28,0.81,0.778,0.052
1.933,6111,23,0.61,1.26,1.06,0.804,0.05
2.024,6183,23.7,0.56,1.22,2.88,0.828,0.022
2.115,6256,22,0.56,1.28,2.1,0.769,0.072
2.166,6296,23.9,0.5,1.32,1.8,0.832,0.022
2.258,6370,23.4,0.53,1.21,1.1,0.816,0.043
2.308,6410,NA,0.58,1.16,1.05,NA,NA
2.394,6479,23.1,0.62,1.13,0.65,0.805,0.042
2.463,6533,NA,0.47,1.34,1.33,NA,NA
2.531,6602,23.8,0.6,1.1,0.86,0.829,0.029
2.6,6677,23.3,0.61,1.13,0.66,0.814,0.019
2.691,6778,23.9,0.65,1.06,0.93,0.834,0.013
2.759,6853,NA,0.6,1.09,0.85,NA,NA
2.828,6929,24,0.62,1.11,1.35,0.838,0.019
2.942,7054,22.7,0.64,1.1,0.62,0.793,0.03
3.01,7130,23,0.61,1.06,1.07,0.803,0.012
3.078,7205,NA,0.6,1.08,0.54,NA,NA
3.199,7338,23.1,0.55,1.03,1.02,0.807,0.015
3.244,7388,NA,0.5,1.09,0.91,NA,NA
3.335,7488,22.8,0.53,1.11,0.88,0.798,0.015
3.494,7663,22.4,0.51,1.11,0.9,0.783,0.012
3.585,7764,NA,0.53,1.09,0.99,NA,NA
3.63,7814,23,0.49,1.11,1,0.802,0.011
3.721,7914,24.2,0.5,1.09,1.3,0.844,0.011
3.767,7964,23.6,0.52,1.06,1.73,0.823,0.011
3.857,8064,23.3,0.55,1.05,1.17,0.812,0.008
3.948,8164,23.6,0.59,1.02,0.7,0.823,0.013
4.062,8284,22.8,0.54,1.01,0.86,0.796,0.01
4.175,8383,22.7,0.54,1.04,0.61,0.792,0.012
4.236,8436,21,0.54,1.05,0.23,0.736,0.01
4.282,8477,20.6,0.57,NA,NA,0.741,0.003
4.329,8518,22.3,0.59,NA,NA,0.798,0.008
4.376,8559,22.5,0.55,1.02,0.79,0.787,0.008
4.563,8723,22.6,0.57,1.06,1.84,0.79,0.007
4.703,8846,22.4,0.54,1.1,0.47,0.783,0.01
4.89,9010,NA,0.6,1.05,0.85,NA,NA
4.913,9030,21.9,0.57,1.06,1.01,0.767,0.007
5.1,9194,22.4,0.59,1.11,0.55,0.783,0.008
5.193,9276,21.8,0.59,1.14,1.73,0.762,0.009
5.239,9316,20.9,0.56,NA,NA,0.749,0.004
5.285,9356,19.4,0.56,1.16,1.32,0.683,0.01
5.331,9396,20.7,0.62,NA,NA,0.744,0.002
5.468,9517,20.9,0.67,1.08,4.23,0.733,0.006
5.56,9597,NA,0.68,0.99,3.32,NA,NA
5.697,9718,22.3,0.6,1.19,1.59,0.779,0.008
5.858,9858,NA,0.55,1.27,3.73,NA,NA
5.995,9979,22,1.04,0.9,1.16,0.772,0.007
6.155,10119,21.9,0.69,1.42,3,0.766,0.005
6.745,10280,NA,0.68,1.52,3.18,NA,NA
