depth (cm),age (BP),temperature (degC),reliable (degC),OriginalSampleID (missing),uncertainty (missing),uncertainty (missing)
1,-43.7,11.999,NA,KHAR781,13.099,10.898
3,33.3,12.004,NA,KHAR783,13.066,10.943
5,112.175,13.71,NA,KHAR785,14.648,12.773
7,191.129,12.562,NA,KHAR787,13.545,11.579
9,270.083,NA,11.999,KHAR789,12.756,9.28
11,349.037,13.107,NA,KHAR791,14.186,12.027
13,427.991,13.324,NA,KHAR793,14.37,12.278
15,506.945,13.354,NA,KHAR795,14.304,12.403
17,585.899,12.277,NA,KHAR797,13.297,11.258
19,664.853,12.808,NA,KHAR799,13.762,11.854
21,743.807,12.675,NA,KHAR801,13.702,11.648
23,822.761,12.803,NA,KHAR803,13.838,11.769
25,901.715,13.067,NA,KHAR805,14.067,12.066
27,980.669,14.238,NA,KHAR807,15.356,13.119
29,1059.62,14.722,NA,KHAR809,15.754,13.69
31,1138.58,12.879,NA,KHAR811,13.824,11.935
33,1217.53,12.624,NA,KHAR813,13.595,11.653
35,1296.48,13.33,NA,KHAR815,14.28,12.38
37,1375.44,13.933,NA,KHAR817,14.843,13.022
39,1454.39,13.831,NA,KHAR819,14.825,12.837
41,1533.35,13.164,NA,KHAR821,14.114,12.214
43,1612.3,12.756,NA,KHAR823,13.784,11.728
45,1691.25,14.158,NA,KHAR825,15.121,13.194
47,1770.21,13.692,NA,KHAR827,14.658,12.727
49,1849.16,13.64,NA,KHAR829,14.73,12.55
51,1928.12,13.612,NA,KHAR831,14.573,12.651
53,2007.07,13.6,NA,KHAR833,14.628,12.573
55,2086.02,14.887,NA,KHAR835,15.954,13.82
57,2164.98,13.677,NA,KHAR837,14.629,12.725
59,2243.93,13.7,NA,KHAR839,14.575,12.825
61,2322.89,13.619,NA,KHAR841,14.582,12.656
63,2401.84,13.552,NA,KHAR843,14.505,12.598
65,2480.79,14.239,NA,KHAR845,15.175,13.302
67,2559.75,14.065,NA,KHAR847,14.992,13.138
69,2638.7,14.112,NA,KHAR849,15.073,13.151
71,2717.66,13.929,NA,KHAR851,14.989,12.868
73,2796.61,14.534,NA,KHAR853,15.475,13.593
75,2875.56,13.583,NA,KHAR855,14.57,12.596
77,2954.52,15.281,NA,KHAR857,16.23,14.332
79,3033.47,14.337,NA,KHAR859,15.302,13.372
81,3112.43,13.877,NA,KHAR861,14.827,12.927
85,3270.33,13.953,NA,KHAR865,14.943,12.962
89,3428.24,14.761,NA,KHAR869,15.688,13.834
93,3586.15,15.726,NA,KHAR873,16.63,14.821
97,3744.06,15.836,NA,KHAR877,16.747,14.926
101,3891.07,15.275,NA,KHAR881,16.22,14.331
105,4005.54,15.377,NA,KHAR885,16.29,14.464
109,4120.01,14.801,NA,KHAR889,15.698,13.904
113,4234.48,15.261,NA,KHAR893,16.218,14.303
117,4348.94,15.64,NA,KHAR897,16.703,14.578
121,4463.41,14.983,NA,KHAR901,15.905,14.061
125,4577.88,14.752,NA,KHAR905,15.708,13.797
