year (AD),age (BP),depth (m),MAT (degC),CMT (degC),WMT (degC),MAP (mm/yr),MAT_min (degC),MAT_max (degC),CMT_min (degC),CMT_max (degC),WMT_min (degC),WMT_max (degC),MAP_min (mm),MAP_max (mm),TreeCover_min (percent),TreeCover (percent),TreeCover_max (percent),Analogues (number)
1950,0,0.01,0.6,-16.6,16,728,-1.1,2.8,-18.6,-11.9,14.4,17,642,873,13.7,47.5,76.7,8
1720,230,0.05,0.2,-17.3,15.9,703,-1.1,2.7,-18.6,-12.7,14.4,17,642,872,24.5,51.6,76.7,8
1490,460,0.1,-0.1,-18.3,15.9,680,-1.1,0.4,-21,-17.3,14.4,17.5,593,778,47.4,64.3,77.5,8
1260,690,0.15,0,-17.6,15.6,709,-1.1,2.7,-19.5,-12.7,14.4,17,626,872,24.5,57.7,77.1,8
1030,920,0.2,-0.2,-18.7,16,664,-1.1,0.4,-20.6,-17.7,14.4,17.3,598,758,31.9,59.1,76.7,8
800,1150,0.25,0.3,-16.9,15.8,732,-1.1,2.7,-19.5,-12.6,14.4,17,626,872,24.5,54.8,77.1,8
570,1380,0.3,0.1,-17.6,15.8,697,-1.1,2.7,-19.5,-12.7,14.4,17,626,872,24.5,55.4,77.1,8
340,1610,0.35,0.1,-17.7,15.9,688,-1.1,2.6,-19.5,-12.6,14.4,16.9,624,854,26.3,53.6,77.1,8
110,1840,0.4,0.1,-17.4,15.7,714,-1.1,2.7,-18.6,-12.7,14.4,17,642,872,24.5,54.1,76.7,8
-120,2070,0.45,0.1,-17.5,15.8,704,-1.1,2.7,-19.2,-12.7,14.4,17,642,872,23.2,56,77.5,8
-350,2300,0.5,0.1,-17.4,15.7,713,-1.1,2.7,-18.6,-12.7,14.4,17,642,872,24.5,49.8,76.7,8
-580,2530,0.55,0.1,-17.8,15.9,707,-1.5,2.7,-22.3,-12.7,14.4,17,615,872,24.5,54.4,76.7,8
-810,2760,0.6,0.1,-17.4,15.7,716,-1.1,2.7,-18.6,-12.7,14.4,17,642,872,24.5,61.4,77.5,8
-1040,2990,0.65,0.2,-17.7,16,694,-1.1,2.7,-20.6,-12.7,14.4,17.3,598,872,24.5,54.1,76.7,8
-1270,3220,0.7,0.1,-17.4,15.6,728,-1.1,2.7,-18.6,-12.7,14.4,17,642,872,24.5,55.7,76.7,8
-1500,3450,0.75,0.5,-17,16.1,732,-1.1,3.4,-21,-11.3,14.4,17.5,593,881,18.4,54.8,76.7,8
-1740,3690,0.8,0.1,-17.6,15.8,696,-1.1,2.7,-19.5,-12.7,14.4,17,626,872,24.5,49.1,77.1,8
-1970,3920,0.85,0.1,-17.5,15.7,712,-1.1,2.7,-18.6,-12.7,14.4,17,642,872,24.5,57.8,77.5,8
-2200,4150,0.9,1,-16.7,16.7,724,-0.9,2.7,-21.9,-12.6,15.4,18.9,624,884,24.5,51.3,77.1,8
-2430,4380,0.95,-0.3,-19.3,16.4,645,-1.3,0.4,-22.2,-17.9,15.6,17.6,598,672,31.9,62.2,76.7,8
-2660,4610,1,0.3,-17.4,15.9,700,-1.1,2.7,-18.6,-12.7,14.4,17,642,872,24.5,55.4,77.5,8
-2890,4840,1.05,-0.2,-18.5,15.8,677,-1.1,0.4,-21,-17.7,14.4,17.5,593,758,47.4,65,77.5,8
