depth (m),age (BP),temperature (degC),uncertainty.temperature (degC),planktic.d18O (permil)
0.01,402,23.36,0.56,-1.359
0.03,408,24.45,0.57,-1.235
0.05,416,24.91,0.48,-1.409
0.09,435,25.14,0.52,-1.047
0.13,447,24.12,0.55,-0.933
0.17,465,24.3,0.47,-1.387
0.21,481,25.81,0.34,-1.341
0.25,497,23.8,0.43,-1.059
0.29,514,25.5,0.4,-1.042
0.33,530,24.37,0.51,-1.198
0.37,546,25.41,0.35,-1.161
0.41,565,25.5,0.48,-1.205
0.45,577,24.95,0.54,-0.983
0.49,589,24.85,0.37,-1.342
0.53,600,24.1,0.34,-1.194
0.57,612,24.84,0.26,-1.436
0.61,619,24.94,0.45,-1.226
0.65,633,24.43,0.51,-0.866
0.71,647,24.16,0.81,-1.341
0.75,657,25.62,0.36,-1.027
0.79,668,24.76,0.53,-0.881
0.81,673,24.4,0.52,-1.21
0.85,683,24.28,0.41,-1.077
0.89,694,24.15,0.45,-1.299
0.93,704,24.93,0.44,-1.304
0.97,715,24.88,0.38,-1.302
1.01,801,23.51,0.52,-1.198
1.05,964,23.83,0.49,-1.165
1.09,1126,24.55,0.62,-0.912
1.13,1288,25.93,0.35,-1.05
1.17,1471,24.99,0.44,-1.002
1.21,1593,24.98,0.65,-0.863
1.25,1776,25.13,0.6,-1.089
1.29,1958,25.1,0.49,-0.878
1.33,2080,24.16,0.57,-1.028
1.37,2263,25.15,0.49,-0.796
1.41,2425,24.6,0.66,-0.833
1.45,2593,25.58,0.57,-1.126
1.49,2753,24.94,0.59,-1.032
1.53,2888,24.67,0.69,-1.084
1.57,3025,25.32,0.45,-0.743
1.61,3163,25.32,0.56,-0.633
1.65,3300,23.87,0.5,-0.807
1.69,3438,25.45,0.43,-0.93
1.73,3575,25.77,0.59,-0.746
1.77,3713,24.94,0.57,-0.971
1.81,3850,24.95,0.43,-0.848
1.845,4229,24.45,0.54,-0.997
2.18,5123,25.31,0.58,-1.044
2.22,5260,24.74,0.68,-1.002
2.26,5398,24.85,0.76,-0.668
2.3,5535,24.74,0.39,-0.97
2.34,5672,25.35,0.6,-0.992
2.38,5799,24.43,0.54,-0.829
2.42,5925,24.44,0.66,-0.759
2.46,6051,24.69,0.65,-1.003
2.5,6177,25.86,0.6,-1.107
2.54,6303,25.27,0.74,-0.699
2.58,6429,25.64,0.44,-0.914
2.62,6555,25.58,0.31,-0.879
2.66,6681,26.31,0.43,-0.642
2.7,6807,25.34,0.53,-0.919
2.74,6933,24.2,0.55,-0.862
2.8,7106,24.7,0.52,-0.654
2.84,7248,24.25,0.54,-0.9
2.88,7374,24.77,0.53,-0.721
2.92,7500,24.13,0.53,-0.556
2.96,7642,25.44,0.43,-0.455
3.02,7815,23.66,0.7,-0.722
3.06,7941,25.29,0.61,-0.781
3.1,8067,23.89,0.54,-0.867
3.14,8193,24.35,0.54,-0.685
3.18,8325,22.62,0.62,-0.673
3.22,8537,23.03,0.58,-0.434
3.26,8756,22.96,0.65,-0.398
3.3,9001,23.51,0.48,-0.448
3.36,9301,23.61,0.44,-0.11
3.4,9520,24.41,0.34,-0.168
3.44,9738,24.55,0.42,-0.191
3.48,9956,24.97,0.45,-0.154
3.52,10174,24.64,0.57,-0.278
3.56,10393,24.27,0.51,-0.428
3.6,10603,24.54,0.52,0.018
3.64,10707,25.09,0.44,-0.066
3.68,10803,24.21,0.41,0.124
3.72,10898,24.56,0.39,-0.009
3.76,10994,25.16,0.49,-0.242
3.88,11282,24.21,0.43,-0.426
3.92,11377,25.99,0.36,-0.189
3.96,11473,24.97,0.3,-0.261
4,11569,24.19,0.29,-0.049
4.04,11665,25.06,0.42,-0.103
4.08,11761,23.82,0.36,-0.267
4.12,11856,22.56,0.42,-0.272
4.16,11952,24.47,0.41,-0.203
4.2,12044,23.73,0.41,-0.133
4.24,12207,23.34,0.41,-0.388
4.28,12389,23.18,0.43,-0.035
4.32,12583,22.96,0.45,-0.138
4.36,12776,22.99,0.35,-0.524
4.4,12958,22.5,0.38,-0.064
