depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,46,8.129,-14.814,-4.157,626
10,226,8.771,-14.614,-3.689,725.143
20,426,9.057,-15.9,-4.689,649.857
30,626,7.4,-9.186,-1.585,983.429
40,827,7.486,-8.643,-1.254,1044.286
50,1027,8.043,-8.486,-0.813,1262.429
60,1227,7.329,-10.071,-2.092,846
70,1427,7.7,-6.943,-0.198,1208.286
80,1627,7.971,-5.914,0.492,1331
90,1828,7.571,-8.043,-0.888,1169.571
100,2028,7.571,-7.814,-0.736,1143.286
110,2258,7.671,-8.071,-0.813,1060.571
120,2577,7.714,-6.586,0.015,1291
130,2895,8.043,-8.871,-1.001,1211.429
140,3214,7.929,-5.929,0.483,1340
150,3533,8.414,-12.114,-2.573,953.857
160,3852,7.886,-4.614,1.156,1624.429
170,4171,8.743,-13.643,-3.327,832.286
180,4489,8.2,-9.271,-1.16,1076.857
190,4808,7.957,-10.243,-1.807,1021.429
200,5127,8.414,-12.114,-2.573,953.857
210,5434,8.243,-13.557,-3.431,835.857
220,5707,8.986,-17.2,-5.133,744.143
230,5980,7.7,-7.071,-0.245,1223.857
240,6252,10.229,-14.857,-2.993,833.571
250,6525,7.757,-11.2,-2.425,894.857
260,6798,8,-5.6,0.718,1314.143
