year (AD),age (BP),LakeVan (missing)
1950,0,3
1900,50,3
1850,100,3
1800,150,3
1750,200,3
1700,250,3
1650,300,3
1600,350,3
1550,400,3
1500,450,3
1450,500,3
1400,550,3
1350,600,3
1300,650,3
1250,700,3
1200,750,3
1150,800,3
1100,850,3
1050,900,3
1000,950,3
950,1000,3
900,1050,3
850,1100,3
800,1150,3
750,1200,3
700,1250,3
650,1300,3
600,1350,3
550,1400,3
500,1450,3
450,1500,3
400,1550,3
350,1600,3
300,1650,3
250,1700,3
200,1750,3
150,1800,3
100,1850,3
50,1900,3
0,1950,3
-50,2000,3
-100,2050,3
-150,2100,3
-200,2150,3
-250,2200,3
-300,2250,3
-350,2300,3
-400,2350,3
-450,2400,3
-500,2450,3
-550,2500,3
-600,2550,3
-650,2600,3
-700,2650,3
-750,2700,3
-800,2750,3
-850,2800,3
-900,2850,3
-950,2900,3
-1000,2950,3
-1050,3000,3
-1100,3050,3
-1150,3100,4
-1200,3150,4
-1250,3200,4
-1300,3250,4
-1350,3300,4
-1400,3350,4
-1450,3400,4
-1500,3450,4
-1550,3500,4
-1600,3550,4
-1650,3600,4
-1700,3650,4
-1750,3700,4
-1800,3750,4
-1850,3800,4
-1900,3850,4
-1950,3900,4
-2000,3950,4
-2050,4000,4
-2100,4050,4
-2150,4100,4
-2200,4150,4
-2250,4200,4
-2300,4250,4
-2350,4300,4
-2400,4350,4
-2450,4400,4
-2500,4450,4
-2550,4500,4
-2600,4550,4
-2650,4600,4
-2700,4650,4
-2750,4700,4
-2800,4750,4
-2850,4800,4
-2900,4850,4
-2950,4900,4
-3000,4950,4
-3050,5000,4
-3100,5050,4
-3150,5100,4
-3200,5150,4
-3250,5200,4
-3300,5250,4
-3350,5300,4
-3400,5350,4
-3450,5400,4
-3500,5450,4
-3550,5500,4
-3600,5550,4
-3650,5600,4
-3700,5650,4
-3750,5700,4
-3800,5750,4
-3850,5800,4
-3900,5850,4
-3950,5900,4
-4000,5950,4
-4050,6000,4
-4100,6050,4
-4150,6100,4
-4200,6150,4
-4250,6200,4
-4300,6250,4
-4350,6300,4
-4400,6350,4
-4450,6400,4
-4500,6450,4
-4550,6500,4
-4600,6550,4
-4650,6600,4
-4700,6650,4
-4750,6700,4
-4800,6750,4
-4850,6800,4
-4900,6850,4
-4950,6900,4
-5000,6950,4
-5050,7000,4
-5100,7050,4
-5150,7100,4
-5200,7150,4
-5250,7200,4
-5300,7250,4
-5350,7300,4
-5400,7350,4
-5450,7400,4
-5500,7450,4
-5550,7500,4
-5600,7550,4
-5650,7600,4
-5700,7650,4
-5750,7700,4
-5800,7750,4
-5850,7800,4
-5900,7850,4
-5950,7900,3
-6000,7950,3
-6050,8000,3
-6100,8050,3
-6150,8100,3
-6200,8150,3
-6250,8200,2
-6300,8250,2
-6350,8300,2
-6400,8350,2
-6450,8400,2
-6500,8450,2
-6550,8500,2
-6600,8550,2
-6650,8600,1
-6700,8650,1
-6750,8700,1
-6800,8750,1
-6850,8800,1
-6900,8850,1
-6950,8900,1
-7000,8950,1
-7050,9000,1
-7100,9050,1
-7150,9100,2
-7200,9150,2
-7250,9200,2
-7300,9250,2
-7350,9300,2
-7400,9350,2
-7450,9400,2
-7500,9450,2
-7550,9500,2
-7600,9550,2
-7650,9600,2
-7700,9650,2
-7750,9700,2
-7800,9750,2
-7850,9800,2
-7900,9850,2
-7950,9900,2
-8000,9950,2
-8050,10000,2
-8100,10050,2
-8150,10100,2
-8200,10150,2
-8250,10200,2
-8300,10250,2
-8350,10300,1
-8400,10350,1
-8450,10400,1
-8500,10450,1
-8550,10500,1
-8600,10550,1
-8650,10600,0
-8700,10650,0
-8750,10700,0
-8800,10750,0
-8850,10800,0
-8900,10850,0
-8950,10900,0
-9000,10950,0
-9050,11000,0
