depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
2,5,22.8,-10.129,7.685,777
5,13,22.186,-11.229,6.762,730.571
10,25,23.071,-9,8.25,784.286
15,38,22.057,-12.171,6.306,703
20,50,22.457,-11.4,6.962,750
25,62,22.129,-12.271,6.27,672.857
30,75,22.386,-11.571,6.73,715.429
35,87,21.657,-13.043,5.685,619.857
40,100,21.557,-12.9,5.668,633.143
50,229,22,-12.271,6.189,669.714
60,357,22.129,-12.243,6.277,671.857
70,461,22.1,-11.671,6.574,719
80,540,21.971,-12.5,6.098,665.429
89,611,21.971,-12.5,6.098,665.429
110,776,21.786,-12.829,5.854,660.571
120,855,21.343,-14.057,5.075,607
130,969,21.971,-12.5,6.098,665.429
140,1120,21.771,-12.886,5.86,649.571
150,1271,22.1,-12.214,6.25,663
160,1422,22.129,-12.243,6.279,671.714
170,1573,21.657,-13.129,5.636,637.143
180,1724,22.171,-12.343,6.243,668.143
190,1875,22.357,-11.743,6.719,713.286
200,2026,22.171,-12.343,6.242,668.286
210,2177,21.971,-12.5,6.098,665.429
220,2328,22.329,-11.9,6.582,713.857
230,2479,21.857,-12.8,5.936,673.143
240,2630,22.257,-11.943,6.561,709.857
250,2781,21.143,-14.143,4.913,599.143
260,2897,21.943,-12.814,5.955,649.429
270,2980,22.129,-12.243,6.279,671.714
280,3062,22.8,-11.029,7.19,759.143
290,3145,21.143,-14.143,4.913,599.143
300,3227,22.129,-12.243,6.279,671.714
310,3309,22.129,-12.243,6.279,671.714
320,3392,21.771,-12.886,5.86,649.571
330,3474,22.057,-12.314,6.249,668.857
340,3675,21.757,-13.157,5.668,612
350,3876,21.771,-12.9,5.78,635
360,4077,21.943,-12.686,5.905,627.857
410,5083,20.1,-16.186,3.396,471.714
420,5284,19.771,-16.8,2.981,462.286
430,5486,20.414,-15.757,3.767,500.286
440,5687,19.814,-16.614,3.1,484
450,5888,21.286,-14.157,4.924,535.286
460,6032,21.314,-14.186,4.91,546.571
470,6120,21.586,-13.586,5.264,551.286
480,6207,21.214,-14.757,4.581,491.714
500,6382,22.029,-12.857,5.751,567.857
510,6470,20.7,-15.486,4.077,490.429
520,6557,21.357,-14.229,4.838,519.571
530,6645,21.514,-13.829,5.146,542
540,6732,21.5,-14.143,5.027,547.143
550,6820,21.029,-14.814,4.512,518.571
560,6907,21.286,-14.7,4.632,498.286
570,6995,21.557,-13.757,5.138,543.286
580,7082,21.386,-14.271,4.819,513.286
600,7256,21.657,-13.529,5.287,542.571
610,7343,21.514,-13.957,5.094,550.857
620,7430,22.014,-12.914,5.683,548.143
630,7517,21.129,-14.871,4.569,525.571
650,7691,21.414,-14.043,4.964,517.857
660,7778,20.986,-15.2,4.325,503.571
680,7952,19.614,-14.486,3.505,545.286
690,8039,22.114,-11.6,6.436,654.429
700,8126,22.7,-9.871,7.37,667.429
710,8213,23.071,-8.157,8.415,757.286
720,8300,21.471,-14.186,4.912,509.857
730,8387,21.6,-13.757,5.174,527.286
740,8474,20.686,-15.029,4.181,511.571
750,8547,21.557,-13.829,5.13,541.857
760,8606,20.871,-15.286,4.181,470
770,8665,20.714,-15.5,4.037,467.143
780,8724,21.043,-15.071,4.388,468.143
790,8782,21.586,-13.929,5.171,537.857
800,8841,20.743,-15.557,4.019,484.857
810,8900,20.229,-16.3,3.454,467.286
820,8959,20.129,-16.543,3.319,480.714
830,9018,21.414,-14.243,4.993,538.143
840,9077,20.643,-15.5,4.067,513.714
850,9136,21.729,-13.329,5.552,589.571
860,9195,21.257,-14.443,4.804,521.286
870,9254,21.871,-13.129,5.761,613.143
880,9406,22.586,-11.771,6.798,725
890,9559,22.671,-11.314,7.065,750.143
900,9711,22.814,-11,7.21,757.857
910,9863,21.371,-13.686,5.314,657.286
920,10015,22.743,-11.386,7.042,753.143
930,10168,22.671,-11.086,7.149,764.571
940,10270,22.671,-11.443,6.981,755.286
950,10324,22.786,-11.371,7.085,753.429
960,10377,22.486,-10.614,7.194,780.429
970,10430,22.443,-10.7,7.14,776.429
990,10537,22.329,-9.386,7.571,790.714
1000,10590,22.071,-7.671,8.024,803.857
1010,10644,22.243,-9.2,7.555,786.286
1020,10697,22.071,-8.186,7.817,784.857
1030,11874,NA,NA,NA,NA
1040,13051,NA,NA,NA,NA
1050,13886,NA,NA,NA,NA
1060,14380,NA,NA,NA,NA
1070,14874,NA,NA,NA,NA
1090,15862,NA,NA,NA,NA
1100,16357,NA,NA,NA,NA
1110,16851,NA,NA,NA,NA
