depth (m),age (BP),temperature (degC),depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d18O (permil),planktic.d13C (permil)
0.03,101,27.6,0.08,269,24.9,0.03,101,-2.22,0.55
0.08,269,27.7,0.13,437,24.8,0.08,269,-2.03,1.38
0.13,437,27.5,0.23,803,24.8,0.13,437,-2.18,1.22
0.18,605,27.5,0.28,1002,23.8,0.18,605,-2.22,1.08
0.23,803,27.6,0.33,1200,24.9,0.23,803,-2.22,1.26
0.28,1002,27.6,0.38,1399,24.4,0.28,1002,-2.05,0.89
0.33,1200,27.6,0.48,1796,24.1,0.33,1200,-2.17,1.14
0.38,1399,27.6,0.58,2193,24.6,0.38,1399,-2.17,1.13
0.43,1597,27.6,0.63,2391,24.5,0.43,1597,-1.99,1.09
0.48,1796,27.6,0.73,2788,24.4,0.48,1796,-2.17,0.92
0.53,1994,27.7,0.78,2987,24.4,0.53,1994,-2.04,1.37
0.58,2193,27.6,0.83,3185,24.5,0.58,2193,-2.13,1.19
0.63,2391,27.5,0.88,3384,24.7,0.63,2391,-2.05,1.16
0.68,2590,27.4,0.93,3582,23.8,0.73,2788,-2.02,1.22
0.73,2788,27.5,0.98,3774,24.7,0.78,2987,-2.23,1.11
0.78,2987,27.7,1.03,3949,24.2,0.83,3185,-2.02,1.13
0.83,3185,27.8,1.08,4124,24.9,0.88,3384,-2.12,1.09
0.88,3384,27.6,1.13,4299,24.5,0.93,3582,-1.91,1.28
0.93,3582,27.6,1.18,4474,24.6,0.98,3774,-2.1,1.15
0.98,3774,27.8,1.23,4649,24.3,1.03,3948,-1.97,1.14
1.03,3949,27.7,1.28,4824,24.9,1.08,4124,-2,1.24
1.08,4124,27.8,1.33,4999,24.6,1.13,4299,-2.18,1.3
1.13,4299,27.7,1.38,5174,24.7,1.18,4474,-2.05,1.12
1.18,4474,27.5,1.43,5349,24.5,1.23,4649,-2.06,1.14
1.23,4649,27.6,1.48,5524,24.5,1.28,4824,-2.1,1.26
1.28,4824,27.6,1.53,5699,24.3,1.33,4999,-2.19,1.25
1.33,4999,27.6,1.58,5874,24.8,1.38,5174,-2.01,1.04
1.38,5174,27.6,1.63,6049,24.4,1.43,5349,-2.03,1.23
1.43,5349,27.6,1.68,6266,25.2,1.48,5524,-2.07,1.1
1.48,5524,27.6,1.73,6484,24.3,1.53,5699,-2.08,1.01
1.53,5699,27.6,1.78,6702,24.7,1.58,5874,-2.17,0.99
1.58,5874,27.5,1.83,6919,24.2,1.63,6049,-1.99,0.93
1.63,6049,27.7,1.88,7136,23.7,1.68,6266,-1.98,1.04
1.68,6266,27.6,1.93,7354,24.4,1.73,6484,-1.97,1
1.73,6484,27.6,2.08,8006,24.4,1.78,6702,-1.92,1
1.78,6702,27.5,2.13,8224,24.1,1.83,6919,-2.18,1.09
1.83,6919,27.5,2.18,8442,23.9,1.88,7136,-1.89,0.96
1.88,7136,27.4,2.23,8659,24.5,1.93,7354,-2.08,0.95
1.93,7354,27.5,2.28,8870,24.6,2.08,8006,-1.85,0.76
2.08,8006,27.3,2.33,9082,24.9,2.13,8224,-2.03,0.69
2.13,8224,27.3,2.38,9293,24.5,2.18,8442,-1.79,1.03
2.18,8442,27.2,2.43,9504,24.4,2.23,8659,-1.83,0.96
2.23,8659,27.3,2.48,9715,24.3,2.28,8870,-1.97,0.86
2.28,8870,26.6,2.53,9932,24.6,2.33,9082,-1.8,0.89
2.33,9082,26.5,2.58,10152,24.4,2.38,9293,-1.86,1.1
2.38,9293,26.8,2.63,10377,24.3,2.43,9504,-1.84,0.6
2.43,9504,26.3,2.68,10601,24.1,2.48,9715,-1.71,0.72
2.48,9715,25.7,2.73,10830,24.5,2.53,9928,-1.82,0.78
2.53,9927,25.8,2.78,11055,25,2.58,10152,-1.57,0.77
2.58,10152,26.3,2.83,11275,25,2.63,10377,-1.93,0.69
2.63,10377,25.7,2.88,11524,24.6,2.68,10601,-1.54,0.75
2.68,10601,25.6,2.93,11805,24.1,2.73,10826,-1.55,0.83
2.73,10826,26,2.98,12092,23.5,2.78,11050,-1.53,0.61
2.78,11050,25.9,3.03,12378,24,2.83,11275,-1.42,0.64
2.83,11275,26.3,3.13,12932,23.7,2.88,11518,-1.25,0.64
2.88,11518,26.6,3.18,13098,24,2.93,11805,-1.77,0.47
2.93,11805,26.3,3.23,13264,23.5,2.98,12092,-1.34,0.82
2.98,12092,26.2,3.28,13429,23.7,3.03,12378,-1.22,0.51
3.03,12378,25.8,3.33,13595,24.3,3.08,12665,-1.15,0.6
3.08,12665,25.8,3.38,13760,24.2,3.13,12932,-1.14,0.61
3.13,12932,25.6,3.43,13929,24.3,3.18,13098,-1.26,0.88
3.18,13098,26,3.48,14092,24.4,3.23,13264,-1.28,0.5
3.23,13264,25.8,3.53,14257,24.4,3.28,13429,-1.17,0.74
3.28,13429,25.9,3.58,14426,24.3,3.33,13595,-1.25,0.81
3.33,13595,26.2,3.63,14588,24.1,3.38,13760,-1.23,0.61
3.38,13760,26,3.68,14761,23.9,3.43,13926,-1.19,0.53
3.43,13926,26.1,3.73,14933,24.2,3.48,14092,-1.2,0.77
3.48,14092,26.2,3.83,15279,24.4,3.53,14257,-1.17,0.49
3.53,14257,25.7,3.93,15624,23.2,3.58,14423,-1.06,0.63
3.58,14423,26.2,3.98,15803,23.5,3.63,14588,-1.12,0.51
3.63,14588,26.3,4.08,16163,23.9,3.68,14761,-0.89,0.57
3.68,14761,25.5,4.18,16524,24.3,3.73,14933,-0.85,0.67
3.73,14933,25.7,4.28,16870,23.4,3.78,15106,-0.76,0.47
3.78,15106,24.7,4.38,17158,24.2,3.83,15279,-0.67,0.72
3.83,15279,25.3,4.43,17302,23.5,3.88,15451,-0.74,0.66
3.88,15451,25,4.53,17590,23.4,3.93,15624,-0.65,0.59
3.93,15624,25,4.58,17734,24.2,3.98,15803,-0.8,0.63
3.98,15803,24.9,4.68,18022,23,4.03,15983,-0.72,0.44
4.03,15983,24.6,4.78,18310,22.8,4.08,16163,-0.76,0.47
4.08,16163,24,4.83,18454,22.6,4.13,16344,-0.69,0.26
4.13,16344,24.7,4.88,18598,22.2,4.18,16524,-0.74,0.63
4.18,16524,24,4.93,18742,22.4,4.23,16704,-0.71,0.55
