depth (cm),dateType (),measurementMaterial (),sensorSpecies (),age14C (kyr),age14CUncertainty (kyr),age14CHi (kyr),age14CLow (kyr),reservoirAge (kyr),reservoirAgeUncertainty (kyr)
13,14C,planktic foraminifera calcite,N. dutertrei,0.83,0.025,NA,NA,0.2,0.05
148,14C,planktic foraminifera calcite,N. dutertrei,3.49,0.03,NA,NA,0.2,0.05
204,14C,planktic foraminifera calcite,N. dutertrei,4.325,0.045,NA,NA,0.2,0.05
303,14C,planktic foraminifera calcite,N. dutertrei,5.725,NA,0.05,0.045,0.2,0.05
404,14C,planktic foraminifera calcite,N. dutertrei,7.815,0.065,NA,NA,0.2,0.05
658,14C,planktic foraminifera calcite,N. dutertrei,10.47,0.05,NA,NA,0.2,0.05
803,14C,planktic foraminifera calcite,N. dutertrei,11.855,0.06,NA,NA,0.2,0.05
804,14C,planktic foraminifera calcite,N. dutertrei,12.06,0.13,NA,NA,0.2,0.05
1033,14C,planktic foraminifera calcite,N. dutertrei,13.14,0.07,NA,NA,0.2,0.05
1344,14C,planktic foraminifera calcite,N. dutertrei,15.27,0.15,NA,NA,0.2,0.05
