age (BP),G.sacculifer (percent)
220.117,3.753
278.513,4.831
318.961,4.871
363.941,3.635
399.944,1.959
426.884,2.877
453.738,6.788
503.217,5.352
503.263,3.755
543.736,2.918
566.183,3.796
602.161,2.998
629.017,6.829
647.002,6.59
687.418,7.748
723.421,6.072
777.302,7.868
804.29,7.11
835.681,9.545
867.324,3.2
889.657,8.029
921.099,8.668
943.589,8.069
979.442,11.621
1033.59,4.079
1060.42,8.788
1082.98,5.955
1105.39,8.11
1127.83,9.108
1136.82,8.909
1195.2,10.785
1222.21,9.269
1240.2,8.71
1280.57,11.544
1339.15,6.037
1397.49,9.031
1437.97,8.153
1469.24,14.658
1523.42,6.198
1550.25,10.708
1599.8,7.117
1626.72,8.593
1649.24,6.917
1698.7,6.08
1730.11,7.956
1775,9.792
1797.49,9.193
1833.39,10.99
1869.35,10.99
1896.36,9.274
1914.27,11.589
1923.27,11.27
1972.88,5.364
2004.36,4.765
2026.78,6.601
2062.7,7.639
2085.19,6.921
2112.29,2.252
2139.12,7.28
2157.13,6.163
2206.46,9.715
2246.95,8.439
2274.04,4.089
2300.93,6.603
2332.45,4.808
2386.3,7.721
2404.35,5.128
2431.19,9.518
2458.2,8.001
2480.67,7.802
2507.66,7.124
2530.25,3.093
2557.14,5.687
2593.15,3.932
2611.11,4.491
2642.61,3.174
2656.02,5.688
2678.5,5.17
2718.85,8.682
2745.86,7.126
2781.63,13.791
2804.15,12.115
2831.06,14.07
2853.38,19.219
2875.83,19.858
2925.48,12.595
2948.06,8.923
2992.97,10.081
3015.54,6.569
3029.01,7.088
3064.99,6.051
3091.86,9.483
3127.72,12.915
3163.84,7.169
3190.65,12.756
3213.25,8.127
3226.42,18.903
3244.53,14.393
3262.47,15.63
3289.57,11.161
3325.55,10.363
3347.92,13.835
3352.5,10.682
3374.96,11.122
3415.5,8.089
3438.02,6.213
3455.79,13.676
3473.78,13.078
3514.09,17.867
3536.74,11.881
3550.23,11.522
3550.25,10.844
3595.19,10.884
3595.19,10.884
3631.12,11.882
3640.11,11.722
3680.6,10.406
3725.37,16.592
3743.38,15.195
3761.47,11.244
3806.32,14.677
3824.45,9.21
3855.84,11.804
3873.95,7.135
3905.27,12.004
3923.23,12.802
3936.73,12.044
3954.71,12.164
3995.22,10.049
4031.15,10.967
4053.59,11.965
4107.36,17.513
4152.46,12.245
4170.45,11.806
4192.91,12.206
4224.27,15.598
4242.23,16.117
4260.32,12.406
4291.72,14.601
4341.36,7.258
4390.7,10.731
4431.26,7.139
4480.45,15.8
4512.04,11.171
4547.89,14.723
4570.22,19.871
4592.63,21.986
4624.17,19.193
4651.09,20.71
4673.61,19.034
4695.97,22.985
4718.6,17.478
4749.91,22.866
4772.45,20.192
4803.89,21.11
4808.36,21.948
4866.98,15.005
4893.84,18.796
4907.43,15.005
4929.93,14.167
4970.25,18.637
5010.97,9.179
5073.59,19.756
5132.21,13.051
5154.57,17.042
5195.02,16.883
5226.31,22.83
5253.65,9.939
5276.1,10.778
5311.96,13.851
5334.51,11.177
5388.17,20.796
5406.4,12.016
5428.79,14.69
5455.81,13.054
5482.62,18.282
5527.46,21.994
5559.09,16.168
5612.74,25.826
5639.87,20.199
5662.21,24.829
5680.17,25.228
5707.46,14.014
5729.7,22.235
5765.61,23.872
5819.68,18.923
5860.08,20.68
5886.72,31.974
5931.85,25.589
5994.96,19.044
6017.29,24.033
6066.81,21.16
6093.69,23.954
6134.22,21.44
6152.26,19.245
6174.82,16.013
6228.48,25.711
6287.27,12.941
6309.45,23.158
6345.38,23.836
6367.84,24.395
6385.8,24.954
6444.57,13.102
6462.44,16.893
6502.97,14.02
6521.04,10.748
6543.51,10.828
6574.92,12.704
6606.42,11.107
6633.36,12.026
6660.15,18.132
6714.14,16.257
6790.38,21.964
6844.39,19.291
6871.46,15.779
6911.93,14.941
6984.07,6.96
7010.98,8.996
7037.97,8.078
7078.19,16.18
7118.78,11.231
7154.7,12.549
7172.81,7.959
7213.28,6.922
7285.05,11.911
7339.18,5.207
7370.41,12.989
7383.98,10.076
7424.41,10.795
7451.49,6.644
7483,5.048
7509.95,5.767
7532.44,5.168
7568.26,9.878
7604.23,9.12
7653.79,5.09
7703.1,9.6
7721.06,10.119
7739.04,10.079
7761.49,10.837
7793.09,5.889
7824.51,7.366
7842.42,9.76
7873.89,9.242
7927.78,10.799
7959.26,10.161
7995.16,12.156
8040.22,8.006
8080.53,12.915
8107.49,13.035
8129.94,13.793
8161.53,9.204
8192.92,11.719
8220.05,6.052
8269.41,8.926
8305.33,9.964
8341.21,12.718
8372.69,11.88
8426.82,5.136
8453.77,5.575
8480.81,3.26
8521.15,6.932
8575.16,4.219
8602.06,6.454
8629.09,4.179
8660.54,4.699
8687.54,3.382
8835.32,22.06
8898.34,18.828
8930.05,10.088
8965.84,15.915
8988.44,11.127
9024.36,12.563
9051.47,7.495
9078.48,6.139
9105.3,10.968
9136.9,6.139
9168.23,10.809
9199.79,7.297
9262.61,10.77
