year (AD),age (BP),temperature (degC)
-3090,5040,9.5
-3149,5099,10
-3209,5159,9.8
-3268,5218,9.8
-3328,5278,10
-3387,5337,9.8
-3446,5396,9.2
-3818,5768,9.2
-4045,5995,9.7
-4273,6223,9.8
-4501,6451,10.5
-4956,6906,9.2
-5184,7134,9.9
-5411,7361,9.3
-5639,7589,9.4
-6322,8272,11.2
-6550,8500,10.3
-6778,8728,10.5
-7233,9183,10.4
-7688,9638,10.3
-7916,9866,10.2
-8127,10077,11.8
-8516,10466,12.5
-8710,10660,11.7
-8904,10854,11.5
-9098,11048,12.64
-9293,11243,12.26
-9681,11631,12.68
-9875,11825,11.49
-10070,12020,11.22
-10264,12214,10.94
-10458,12408,10.76
-10652,12602,11.08
-10847,12797,10.23
-11235,13185,9.85
-11429,13379,9.72
-11624,13574,8.89
-11818,13768,9.36
-11947,13897,9.31
-12010,13960,9.05
-12296,14246,7.37
-12359,14309,7.87
-12486,14436,7.01
-12549,14499,6.74
-12613,14563,7
-12676,14626,7.15
-12739,14689,7.58
-12803,14753,7.71
-12866,14816,8.26
-12930,14880,8.45
-12993,14943,8.19
-13057,15007,7.18
-13120,15070,9.01
-13183,15133,8.33
-13247,15197,8.79
-13310,15260,8.93
-13374,15324,8.54
-13437,15387,7.64
-13500,15450,9.29
-13564,15514,9.23
-13627,15577,7.96
-13754,15704,8.99
-13881,15831,8.95
-13944,15894,8.58
-14008,15958,8.7
-14071,16021,8.58
-14135,16085,8.78
-14198,16148,8.61
-14261,16211,8.95
-14325,16275,8.8
-14388,16338,9.37
-14452,16402,8.84
-14515,16465,8.75
-14579,16529,9.4
-14642,16592,9.45
-14705,16655,9.27
-14896,16846,10.66
-14959,16909,10.19
-15022,16972,10.51
-15086,17036,10.47
-15149,17099,9.91
-15213,17163,10.69
-15276,17226,11.13
-15340,17290,11.37
-15484,17434,11.17
-15566,17516,11.11
-15647,17597,12.06
-15810,17760,10.06
-15892,17842,10.89
-16054,18004,11.27
-16136,18086,11.03
-16217,18167,10.97
-16380,18330,11.53
-16462,18412,11.6
-16543,18493,10.71
-16624,18574,10.86
-16706,18656,11.76
-16787,18737,10.95
-16869,18819,9.66
-16950,18900,11.54
-17032,18982,9.93
-17113,19063,10.9
-17235,19185,12.71
-17316,19266,11.53
-17398,19348,11.71
-17479,19429,10.46
-17561,19511,10.51
-17642,19592,10.81
-17724,19674,10.61
-17805,19755,10.47
-17886,19836,11.6
-17968,19918,10.59
-18049,19999,10.89
-18212,20162,11.57
-18294,20244,11.14
-18456,20406,9.64
-18538,20488,11.37
-18619,20569,10.9
-18688,20638,10.28
-18744,20694,10.45
-18855,20805,10.48
-18911,20861,10.08
-18967,20917,10.67
-19023,20973,10.54
-19134,21084,10.12
-19246,21196,10.91
-19357,21307,10.68
-19469,21419,10.55
-19525,21475,11.07
-19580,21530,11.06
-19636,21586,10.88
-19748,21698,11.46
-19803,21753,11.36
-19859,21809,11.61
-19915,21865,12
-19971,21921,11.23
-20082,22032,11.87
-20194,22144,10.58
-20305,22255,12.19
-20361,22311,11.86
-20417,22367,12.28
-20473,22423,11.57
-20528,22478,12.26
-20584,22534,11.91
-20640,22590,11.95
-20696,22646,11.58
-20752,22702,11.91
-20807,22757,11.88
-20863,22813,11.76
-20901,22851,11.6
-20921,22871,11.93
-20941,22891,11.63
-20961,22911,11.05
-20981,22931,12.06
-21001,22951,9.76
-21021,22971,12.39
-21041,22991,11.92
-21061,23011,10.75
-21081,23031,11.91
-21101,23051,12.18
-21121,23071,11.88
-21161,23111,12.14
-21181,23131,11.71
-21271,23221,12.15
-21298,23248,12.41
-21324,23274,12.25
-21431,23381,9.77
-21484,23434,10.46
-21538,23488,9.44
-21591,23541,9.75
-21644,23594,8.9
-21698,23648,9.2
-21751,23701,9.79
-21804,23754,10.01
-21858,23808,9.47
-21911,23861,10.48
-21964,23914,9.95
-22018,23968,9.34
-22071,24021,10.14
-22125,24075,10.35
-22178,24128,9.86
-22231,24181,10.21
-22285,24235,9.98
-22338,24288,11.2
-22391,24341,11.78
-22445,24395,11.61
-22498,24448,10.59
-22551,24501,11.63
-22605,24555,11.89
-22658,24608,12.05
-22711,24661,10.98
-22765,24715,10.6
-22818,24768,10.64
-22871,24821,10.55
-22978,24928,10.07
-23031,24981,11.31
-23085,25035,11.46
-23138,25088,11.47
-23191,25141,11.48
-23245,25195,12.43
-23298,25248,11.35
-23351,25301,11.03
-23405,25355,11.15
-23458,25408,10.53
-23511,25461,10.8
-23565,25515,10.72
-23618,25568,10.9
-23672,25622,10.68
-23725,25675,10.86
-23778,25728,10.66
-23832,25782,10.85
-23885,25835,11.15
-23938,25888,11.51
-23992,25942,12.11
-24045,25995,12.45
-24098,26048,13.01
-24152,26102,11.9
-24205,26155,11.9
-24258,26208,12.19
-24312,26262,11.7
-24365,26315,11.73
-24418,26368,11.98
-24472,26422,11.74
-24525,26475,11.88
-24578,26528,12.7
-24632,26582,12.76
-24685,26635,12.29
-24738,26688,11.92
-24845,26795,11.94
-24898,26848,12.74
-24952,26902,13.19
-25005,26955,12.99
-25058,27008,13.08
-25112,27062,12.29
-25165,27115,12.4
-25218,27168,12.86
-25272,27222,12.42
-25459,27409,11.74
-25565,27515,10.8
-25619,27569,11.22
-25725,27675,10.54
-25779,27729,10.18
-25832,27782,11
-25885,27835,9.78
-25939,27889,9.86
-25992,27942,11.61
-26045,27995,10.88
-26099,28049,8.83
-26152,28102,9.02
-26259,28209,9.54
-26312,28262,9.78
-26365,28315,10.02
-26419,28369,10.54
-26472,28422,10.26
-26525,28475,10.4
-26579,28529,11.11
-26632,28582,11.73
-26685,28635,11.27
-26739,28689,11.03
-26792,28742,10.52
-26845,28795,10.63
-26899,28849,9.69
-26952,28902,10.38
-27006,28956,9.74
-27059,29009,8.25
-27112,29062,8.7
-27272,29222,8.7
-27326,29276,8.45
-27379,29329,9.83
-27432,29382,11.55
-27486,29436,8.99
-27539,29489,8.89
-27592,29542,8.83
-27646,29596,9.54
-27752,29702,9.7
-27806,29756,9.44
-27859,29809,9.7
-27912,29862,8.4
-27966,29916,9.5
-28019,29969,9.6
-28072,30022,10.3
-28126,30076,9.6
-28179,30129,9.4
-28232,30182,10.9
-28286,30236,10.3
-28339,30289,10
-28392,30342,10.8
-28446,30396,9.8
-28499,30449,8.7
-28553,30503,10.2
-28606,30556,10
-28659,30609,9.46
-28713,30663,10.3
-28766,30716,11.05
-28819,30769,10.69
-28873,30823,8.98
-28926,30876,9.66
-28979,30929,10.11
-29033,30983,10.09
-29086,31036,10.5
-29139,31089,9.24
-29193,31143,9.24
-29246,31196,9.9
-29299,31249,10.77
-29460,31410,12.56
-29553,31503,12.83
-29634,31584,11.99
-29714,31664,11.28
-29794,31744,11.97
-29874,31824,12.64
-29955,31905,12.71
-30035,31985,11.35
-30115,32065,12.21
-30195,32145,11.43
-30302,32252,12.59
-30383,32333,11.66
-30463,32413,10.72
-30543,32493,10.68
-30619,32569,11.26
-30681,32631,10.15
-30741,32691,9.05
-30802,32752,9.13
-30862,32812,8.87
-30923,32873,8.87
-30983,32933,7.47
-31044,32994,8.08
-31104,33054,7.85
-31165,33115,7.88
-31225,33175,8.81
-31286,33236,10.06
-31346,33296,9.17
-31407,33357,9.9
-31467,33417,9.15
-31629,33579,7.92
-31689,33639,8.35
-31750,33700,9.52
-31810,33760,8.86
-31871,33821,9.41
-31931,33881,10.35
-31952,33902,9.04
-32053,34003,8.88
-32113,34063,9.54
-32174,34124,10.43
-32254,34204,9.1
-32375,34325,10.36
-32436,34386,8.37
-32496,34446,9.92
-32557,34507,9.73
-32678,34628,8.41
-32739,34689,8.8
-32799,34749,9.53
-32860,34810,9.4
-32922,34872,9.9
-32991,34941,8.45
-33061,35011,7.1
-33130,35080,7.47
-33199,35149,7.91
