year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
868.2,1081.8,222.536,18.293,0.647,174.947
794,1156,442.736,18.292,0.647,226.413
571.4,1378.6,1100.681,17.932,0.635,231.589
423,1527,1535.385,18.052,0.639,77.428
200.4,1749.6,1762.767,18.379,0.65,186.837
52,1898,1912.928,18.953,0.668,220.378
-170.6,2120.6,2137.666,18.428,0.651,245.817
-319,2269,2287.247,18.546,0.655,250.133
-541.6,2491.6,2511.282,18.274,0.646,238.994
-690,2640,2660.387,18.506,0.654,218.43
-912.6,2862.6,2883.454,18.263,0.646,157.951
-1061,3011,3030.304,18.739,0.661,64.019
-1258.857,3208.857,3225.997,18.217,0.644,172.311
-1390.762,3340.762,3355.186,19.075,0.672,205.029
-1456.714,3406.714,3419.682,18.524,0.654,216.284
-1588.619,3538.619,3548.529,18.645,0.658,231.089
-1720.524,3670.524,3677.214,19.048,0.672,237.091
-1918.381,3868.381,3869.962,18.862,0.665,230.847
-2050.286,4000.286,3998.26,19.004,0.67,215.86
-2248.143,4198.143,4190.296,18.703,0.66,171.674
-2380.048,4330.048,4317.76,18.965,0.669,115.798
-2525.122,4475.122,4464.005,18.954,0.668,126.553
-2604.244,4554.244,4546.464,18.813,0.664,163.756
-2722.927,4672.927,4669.766,19.278,0.679,201.83
-2802.049,4752.049,4751.826,19.607,0.69,220.161
-2920.732,4870.732,4874.776,18.459,0.652,240.302
-2999.854,4949.854,4956.668,18.595,0.657,249.742
-3118.537,5068.537,5079.411,18.82,0.664,258.792
-3197.659,5147.659,5161.182,18.768,0.662,261.691
-3316.341,5266.341,5283.757,18.31,0.647,261.549
-3514.146,5464.146,5487.825,18.305,0.647,249.103
-3593.268,5543.268,5569.366,18.253,0.645,239.441
-3711.951,5661.951,5691.566,18.732,0.661,218.918
-3791.073,5741.073,5772.938,18.353,0.649,200.27
-3909.756,5859.756,5894.787,18.853,0.665,161.507
-3988.878,5938.878,5975.761,19.592,0.69,123.435
-4114.1,6064.1,6101.038,19.159,0.675,98.801
-4206.3,6156.3,6190.089,19.406,0.683,146.776
-4344.6,6294.6,6322.987,19.409,0.683,189.572
-4436.8,6386.8,6411.38,19.51,0.687,208.018
-4575.1,6525.1,6543.77,19.494,0.686,225.482
-4667.3,6617.3,6631.923,19.43,0.684,231.499
-4805.6,6755.6,6764.008,19.129,0.674,232.937
-4897.8,6847.8,6851.97,18.828,0.664,228.902
-5036.1,6986.1,6983.761,18.849,0.665,214.787
-5128.3,7078.3,7071.502,19.366,0.682,199.112
-5266.6,7216.6,7202.86,19.679,0.692,162.627
-5358.8,7308.8,7290.137,19.151,0.675,123.885
-5503.5,7453.5,7437.283,19.31,0.68,107.166
-5608.5,7558.5,7557.291,19.504,0.687,166.964
-5766,7716,7736.491,18.921,0.667,218.945
-5871,7821,7855.711,18.825,0.664,241.318
-6028.5,7978.5,8034.303,18.774,0.663,262.738
-6133.5,8083.5,8153.236,18.978,0.669,270.399
-6291,8241,8331.462,17.996,0.637,273.045
-6396,8346,8450.167,18.872,0.666,269.028
-6553.5,8503.5,8628.041,18.176,0.643,253.744
-6658.5,8608.5,8746.48,18.499,0.653,236.42
-6816,8766,8923.837,18.475,0.653,195.88
-6921,8871,9041.721,18.838,0.665,153.091
-7060.04,9010.04,9192.096,19.109,0.674,102.574
-7128.12,9078.12,9258.764,19.648,0.691,137.486
-7230.24,9180.24,9358.239,18.889,0.666,168.633
-7298.32,9248.32,9424.39,19.608,0.69,181.21
-7400.44,9350.44,9523.448,19.085,0.673,191.155
-7468.52,9418.52,9589.39,19.769,0.695,192.59
-7570.64,9520.64,9688.162,19.104,0.673,187.233
-7604.68,9554.68,9721.045,19.616,0.69,183.353
-7638.72,9588.72,9753.906,19.162,0.675,178.329
-7740.84,9690.84,9852.316,19.143,0.675,155.203
-7808.92,9758.92,9917.69,19.899,0.7,130.669
-7905.229,9855.229,10009.87,19.386,0.683,111.113
-7961.686,9911.686,10064.038,19.801,0.696,138.587
-8046.371,9996.371,10144.798,18.955,0.669,166.916
-8102.829,10052.829,10198.493,18.741,0.661,180.364
-8187.514,10137.514,10278.9,18.337,0.648,194.64
-8243.971,10193.971,10332.433,18.211,0.644,200.879
-8328.657,10278.657,10412.643,18.145,0.642,205.919
-8385.114,10335.114,10466.06,19.19,0.676,206.565
-8469.8,10419.8,10546.102,18.609,0.657,203.519
-8526.257,10476.257,10599.405,19.124,0.674,198.721
-8610.943,10560.943,10679.261,18.938,0.668,186.954
-8667.4,10617.4,10732.418,18.357,0.649,175.597
-8752.086,10702.086,10811.977,18.418,0.651,151.761
-8808.543,10758.543,10864.804,18.573,0.656,129.466
-8889.464,10839.464,10940.979,18.808,0.664,112.827
-8938.391,10888.391,10988.227,18.589,0.656,135.59
-9011.783,10961.783,11058.63,18.229,0.645,160.378
-9060.71,11010.71,11105.427,17.169,0.61,172.695
-9134.101,11084.101,11175.491,17.589,0.623,186.509
-9183.029,11133.029,11222.132,17.864,0.633,193.126
-9256.42,11206.42,11292.006,18.163,0.642,199.68
-9305.348,11255.348,11338.534,17.927,0.635,201.975
-9378.739,11328.739,11408.245,17.96,0.636,202.453
-9501.058,11451.058,11524.188,16.966,0.603,195.335
-9549.986,11499.986,11570.457,16.837,0.599,189.552
-9623.377,11573.377,11639.674,16.06,0.573,177.334
-9672.304,11622.304,11685.573,16.01,0.571,166.549
-9752.44,11702.44,11783.01,14.504,0.522,168.793
-9810.36,11760.36,11866.069,15,0.538,178.663
-9897.24,11847.24,11989.753,14.829,0.532,182.427
-9955.16,11905.16,12071.763,15.445,0.553,177.541
-9984.12,11934.12,12112.616,15.344,0.549,172.631
-10042.04,11992.04,12193.806,14.996,0.538,156.629
-10098.895,12048.895,12255.782,14.282,0.514,152.151
-10182.579,12132.579,12322.187,13.985,0.505,172.202
-10238.368,12188.368,12366.263,13.268,0.481,182.116
-10322.053,12272.053,12432.251,12.488,0.455,193.063
-10377.842,12327.842,12476.186,12.523,0.456,198.119
-10461.526,12411.526,12542.022,12.181,0.445,202.709
-10517.316,12467.316,12585.874,12.085,0.442,203.892
-10656.789,12606.789,12695.385,12.362,0.451,200.469
-10740.474,12690.474,12761.01,11.968,0.438,193.899
-10796.263,12746.263,12804.723,12.378,0.451,187.46
-10879.947,12829.947,12870.228,12.747,0.464,174.284
-10907.842,12857.842,12892.043,13.162,0.477,168.818
-11019.421,12969.421,12979.152,13.794,0.498,139.949
-11075.211,13025.211,13022.547,14.265,0.514,119.62
-11221.857,13171.857,13139.8,14.68,0.527,114.263
-11403.571,13353.571,13285.048,14.536,0.523,100.077
-11500.149,13450.149,13388.146,14.792,0.531,126.589
-11541.069,13491.069,13441.67,15.306,0.548,151.519
-11602.448,13552.448,13521.686,14.744,0.53,179.914
-11643.368,13593.368,13574.925,15.801,0.564,194.841
-11704.747,13654.747,13654.678,15.637,0.559,212.887
-11745.667,13695.667,13707.789,15.514,0.555,222.559
-11807.046,13757.046,13787.382,15.121,0.542,234.107
-11847.966,13797.966,13840.4,15.554,0.556,240.05
-11909.345,13859.345,13919.864,15.481,0.554,246.582
-11950.264,13900.264,13972.799,15.315,0.548,249.443
-12011.644,13961.644,14052.137,15.167,0.544,251.597
-12052.563,14002.563,14104.984,15.488,0.554,251.635
-12113.943,14063.943,14184.176,14.958,0.537,249.6
-12154.862,14104.862,14236.909,15.582,0.557,246.824
-12216.241,14166.241,14315.885,14.781,0.531,240.442
-12257.161,14207.161,14368.414,14.856,0.533,234.628
-12318.54,14268.54,14446.776,15.568,0.557,223.418
-12375.385,14325.385,14515.248,14.917,0.535,220.912
-12411.769,14361.769,14557.327,14.022,0.506,224.11
-12484.538,14434.538,14640.932,14.298,0.515,232.301
-12557.308,14507.308,14724.136,14.573,0.524,242.169
-12666.462,14616.462,14848.363,13.936,0.503,259.04
-12739.231,14689.231,14930.704,13.206,0.479,271.028
