year (AD),age (BP),temperature (degC)
-2384.286,4334.286,28.92
-2577.429,4527.429,29.2
-2625.714,4575.714,29.15
-2770.571,4720.571,28.55
-2963.714,4913.714,28.33
-3044.4,4994.4,29.44
-3141.6,5091.6,28.36
-3206.4,5156.4,29.06
-3303.6,5253.6,28.11
-3368.4,5318.4,29.14
-3465.6,5415.6,28.32
-3530.4,5480.4,29.75
-3627.6,5577.6,28.67
-3692.4,5642.4,28.52
-3789.6,5739.6,28.24
-3854.4,5804.4,29.59
-3951.6,5901.6,28.63
-4016.4,5966.4,28.96
-4081.2,6031.2,29.54
-4113.6,6063.6,28.25
-4178.4,6128.4,30.03
-4243.2,6193.2,29.32
-4308,6258,28.88
-4340.4,6290.4,29.3
-4405.2,6355.2,29.19
-4437.6,6387.6,28.86
-4531,6481,29.62
-4653,6603,29.03
-4714,6664,28.78
-4836,6786,29.55
-5019,6969,29.28
-5080,7030,28.2
-5141,7091,28.47
-5202,7152,28.83
-5382.021,7332.021,28.63
-5440.042,7390.042,28.75
-5498.064,7448.064,28.65
-5730.149,7680.149,28.58
-5788.17,7738.17,28.74
-5962.234,7912.234,28.9
-6020.255,7970.255,29.09
-6136.298,8086.298,28.99
-6310.361,8260.361,29.06
-6600.468,8550.468,28.99
-6716.511,8666.511,28.48
-6774.532,8724.532,29.12
-6890.574,8840.574,29.53
-7006.617,8956.617,29.72
-7064.639,9014.639,29.07
-7122.659,9072.659,29.26
-7180.681,9130.681,29.23
-7238.702,9188.702,29.33
-7296.724,9246.724,30.07
-7412.766,9362.766,29.83
-7470.787,9420.787,29.42
-7528.809,9478.809,29.19
-7586.83,9536.83,28.61
-7702.872,9652.872,28.86
-7760.894,9710.894,29.61
-7818.915,9768.915,28.76
-7876.937,9826.937,29.3
-7934.957,9884.957,29.1
-7992.979,9942.979,28.72
-8085.8,10035.8,29.04
-8120.6,10070.6,29.8
-8155.4,10105.4,28.65
-8225,10175,29.2
-8259.8,10209.8,28.7
-8294.6,10244.6,29.37
-8329.4,10279.4,28.89
-8364.2,10314.2,28.49
-8399,10349,28.78
-8433.8,10383.8,29.3
-8468.6,10418.6,29.36
-8503.4,10453.4,29.41
-8538.2,10488.2,28.99
-8607.8,10557.8,29.63
-8642.6,10592.6,28.98
-8677.4,10627.4,28.98
-8712.2,10662.2,29.65
-8781.8,10731.8,29.36
-8816.6,10766.6,28.83
-8851.4,10801.4,28.72
-8886.2,10836.2,29.05
-8921,10871,28.87
-8955.8,10905.8,29.46
-8990.6,10940.6,29.25
-9025.4,10975.4,29.19
-9060.2,11010.2,29.9
-9108.5,11058.5,29.53
-9122,11072,30.11
-9135.5,11085.5,30.04
-9162.5,11112.5,29.21
-9176,11126,29.15
-9189.5,11139.5,29.49
-9291.63,11241.63,29.02
-9335.95,11285.95,29.24
-9424.58,11374.58,29.56
-9468.89,11418.89,29.46
-9513.21,11463.21,29.54
-9557.53,11507.53,28.95
-9601.84,11551.84,29.46
-9690.47,11640.47,28.98
-9734.79,11684.79,29.35
-9779.11,11729.11,29.61
-9823.42,11773.42,29.11
-9867.74,11817.74,29.92
-9912.05,11862.05,29.92
-9956.37,11906.37,28.81
-10000.68,11950.68,29.46
-10045,11995,29.28
-10089.32,12039.32,29
-10133.63,12083.63,29.41
-10177.95,12127.95,28.47
-10222.26,12172.26,28.99
-10266.58,12216.58,29.44
-10310.89,12260.89,28.4
-10355.21,12305.21,28.45
-10399.53,12349.53,28.94
-10488.16,12438.16,29.02
-10532.47,12482.47,29.08
-10576.79,12526.79,29.22
-10621.11,12571.11,29.17
-10665.42,12615.42,29.26
-10709.74,12659.74,28.54
-10798.37,12748.37,29.02
-10842.68,12792.68,29.14
-10887,12837,29.02
-10931.32,12881.32,28.6
-10975.63,12925.63,28.81
-11108.58,13058.58,28.22
-11152.89,13102.89,28.55
-11197.21,13147.21,28.39
-11241.53,13191.53,29
-11566.85,13516.85,29.14
-11670.38,13620.38,29.32
-11773.92,13723.92,28.81
-11877.46,13827.46,28.04
-12040.66,13990.66,28.22
-12100.31,14050.31,28.76
-12159.97,14109.97,29
-12219.62,14169.62,28.6
-12279.28,14229.28,28.52
-12458.24,14408.24,27.5
-12517.9,14467.9,28.24
-12577.55,14527.55,29.06
-12637.21,14587.21,27.69
-12696.86,14646.86,27.75
-12756.52,14706.52,27.95
-13078.29,15028.29,27.68
-13171.2,15121.2,27.98
-13357.03,15307.03,28.7
-13449.94,15399.94,28.53
-13542.86,15492.86,27.81
-13728.69,15678.69,27.6
-13821.6,15771.6,27.14
-13914.51,15864.51,27.83
-14100.34,16050.34,26.9
-14286.17,16236.17,27.78
-14379.09,16329.09,27.88
-14472,16422,28.32
-14503.12,16453.12,27.29
-14534.24,16484.24,27.45
-14565.36,16515.36,28.36
-14596.48,16546.48,28.19
-14627.6,16577.6,27.79
-14658.72,16608.72,27.68
-14689.84,16639.84,27.1
-14814.32,16764.32,26.42
-14969.92,16919.92,26.3
-15125.52,17075.52,26.37
-15280.08,17230.08,27.93
-15400.38,17350.38,27.7
-15460.54,17410.54,27.47
-15520.69,17470.69,27.02
-15610.92,17560.92,26.66
-15716.72,17666.72,26.84
-15792.44,17742.44,27.85
-15906.02,17856.02,26.36
-15981.74,17931.74,27.68
-16095.32,18045.32,27.07
-16171.04,18121.04,27.17
-16246.75,18196.75,27.15
-16322.47,18272.47,26.27
-16398.19,18348.19,27.81
-16511.77,18461.77,26.51
-16587.49,18537.49,27.8
-16701.07,18651.07,26.52
-16776.79,18726.79,27.26
-16890.37,18840.37,26.26
-16966.09,18916.09,27.13
-17041.81,18991.81,26.59
-17117.53,19067.53,26.66
-17231.11,19181.11,26.37
-17306.82,19256.82,27.19
-17382.54,19332.54,26.92
-17458.26,19408.26,26.53
-17533.98,19483.98,26.6
-17647.56,19597.56,26.42
-17723.28,19673.28,26.84
-17850,19800,27.1
-17890,19840,26.23
-17940,19890,26.85
-17990,19940,26.56
-18060,20010,25.84
-18180,20130,26.41
-18220,20170,26.66
-18270,20220,26.37
-18320,20270,27.07
-18390,20340,26.69
-18430,20380,27.42
-18460,20410,27.01
-18610,20560,26.89
-18700,20650,26.89
-18790,20740,27.03
-18880,20830,26.8
-19060,21010,26.05
-19150,21100,26.39
-19230,21180,26.48
-19320,21270,26.58
-19410,21360,26.44
-19500,21450,26.73
-19590,21540,27.21
-19680,21630,26.44
-19770,21720,26.36
-19860,21810,26.33
-25280,27230,27.06
-25790,27740,27.18
-26310,28260,26.36
-26820,28770,27.02
-27590,29540,27.49
-28360,30310,27.16
-28870,30820,27.4
-29130,31080,27.21
-29380,31330,27.12
-29890,31840,26.58
-30210,32160,26.62
-30340,32290,26.75
-30470,32420,27
-30600,32550,26.54
-30730,32680,26.29
-30800,32750,26.54
-30860,32810,25.86
-30990,32940,26.64
-31120,33070,26.55
-31250,33200,26.86
-31380,33330,26.44
-31510,33460,26.19
-31640,33590,25.95
-31710,33660,27.22
-31900,33850,27.5
-32030,33980,27.49
-32160,34110,26.81
-32360,34310,27.14
-32550,34500,27.18
-32680,34630,27.6
-32810,34760,27.19
-33010,34960,27.25
-33140,35090,27.06
-33420,35370,27.62
-33750,35700,26.81
-33970,35920,27.45
-34190,36140,27
-34410,36360,27.51
-34630,36580,27.14
-35180,37130,27.6
-35360,37310,27.63
-35400,37350,27.54
-35410,37360,27.65
-35430,37380,27.22
-35460,37410,27.55
-35480,37430,26.9
-35530,37480,27.13
-35560,37510,27.59
-35600,37550,27.5
-35650,37600,26.99
-35680,37630,27.19
-35710,37660,26.96
-35740,37690,27.03
-35780,37730,27.52
-35810,37760,26.93
-35890,37840,27.68
-35910,37860,26.48
-36030,37980,26.87
-36120,38070,26.9
-36210,38160,26.86
-36300,38250,27.66
-36570,38520,27.13
-36750,38700,26.97
-36950,38900,27.03
-37010,38960,26.85
-37070,39020,27.33
-37240,39190,27.65
-37410,39360,26.95
-37580,39530,26.76
-37700,39650,26.31
-37810,39760,27.16
-38100,40050,26.82
-38330,40280,27.57
-38440,40390,26.87
-38730,40680,26.72
-38840,40790,26.74
-38960,40910,27.33
-39010,40960,27.34
-39130,41080,26.68
-39360,41310,27.64
-39530,41480,27.79
-39640,41590,27.76
-39760,41710,27.9
-40100,42050,27.66
-40330,42280,27.62
-40450,42400,27.33
-40560,42510,27.44
-40680,42630,27.94
-40790,42740,27.14
-40910,42860,27.41
-41140,43090,26.54
-41600,43550,26.53
-41830,43780,27.34
-42060,44010,26.89
-42400,44350,27.5
-42630,44580,27.54
-42750,44700,27.72
-42860,44810,27.33
-42980,44930,27.41
-43210,45160,27.33
-43260,45210,27.64
-43320,45270,27.82
-43550,45500,27.72
-43720,45670,27.47
-43840,45790,28.55
-43950,45900,28.24
-44010,45960,27.36
-44070,46020,28.28
-44300,46250,28.2
-44470,46420,27.52
-44640,46590,27.34
-44810,46760,27.06
-45160,47110,27.4
-45220,47170,28.14
-45390,47340,27.51
-45560,47510,28.16
-45680,47630,27.75
-45850,47800,27.25
-46020,47970,28.03
-46310,48260,27.99
-46480,48430,28.18
-46600,48550,27.31
-46830,48780,27.12
-47000,48950,27.2
-47110,49060,27.21
-47290,49240,27.6
-47400,49350,27.11
-47520,49470,27.43
-47690,49640,27.87
-47860,49810,27.14
-47980,49930,26.97
-48150,50100,26.92
-48320,50270,27.22
-48550,50500,26.85
-48720,50670,27.08
-48950,50900,28.34
