depth (unitless) [1-1],age (unitless) [1-1],core (unitless) [1-1],depth_uncorrected (unitless) [1-1],error (unitless) [1-1],age (yr BP) [2-1],depth (cm) [2-1],ID (unitless) [2-1],error (yr) [2-1],reservoir (yr) [2-1],SD_error (yr) [2-1]
23.2,2500,MV0811-14JC,33,30,45,0.1,Varve_1.01,0,0,0
35.9,2645,MV0811-14JC,49,15,89,3.8,Varve_4.01,0,0,0
40.8,2680,MV0811-14JC,58,15,109,5.8,Varve_7.99,0,0,0
48.9,2745,MV0811-14JC,68,15,139,12.6,Varve_7.100,0,0,0
57.9,2915,MV0811-14JC,80,30,189,19.8,Varve_21.44,0,0,0
70.6,2990,MV0811-14JC,100,35,790,8.8,SPR09-06KC10,45,304,70
84.4,3135,MV0811-14JC,114,15,860,13.8,SPR09-06KC15,30,319,70
98.6,3325,MV0811-14JC,143,30,890,18.8,SPR09-06KC20,30,343,70
102.2,3415,MV0811-14JC,154,15,885,21.8,SPR09-06KC25,30,346,70
116.2,3460,MV0811-14JC,174,15,885,22.8,SPR09-06KC31,30,347,70
122,3590,MV0811-14JC,182.5,15,955,26.8,SPR09-06KC35,30,347,70
136.6,3780,MV0811-14JC,204,15,985,36.8,SPR09-06KC45,30,347,70
141.6,3515,MV0811-14JC,209,30,1075,41.8,SPR09-06KC50,30,347,70
146.6,3915,MV0811-14JC,214,15,1110,46.8,SPR09-06KC55,30,336,70
166.9,4115,MV0811-14JC,241,30,1100,46.8,SPR09-06KC59,30,336,70
167.9,4085,MV0811-14JC,242,15,1175,51.8,SPR09-06KC65,30,323,70
188.9,4225,MV0811-14JC,282,20,1250,61.8,SPR09-06KC75,30,297,70
199.8,4315,MV0811-14JC,293,30,1345,66.3,SPR09-06KC80,30,285,70
208.3,4365,MV0811-14JC,304,15,1425,71.3,SPR09-06KC85,30,272,70
222.3,4475,MV0811-14JC,332,15,1425,76.3,SPR09-06KC95,30,259,70
244.8,4670,MV0811-14JC,362,15,1505,81.3,SPR09-06KC100,30,246,70
245.8,4670,MV0811-14JC,363,35,1570,86.3,SPR09-06KC105,30,233,70
264.8,4810,MV0811-14JC,382,15,1555,91.3,SPR09-06KC115,30,219,70
276.8,4995,MV0811-14JC,391,15,1620,96.3,SPR09-06KC120,30,206,70
294.4,5170,MV0811-14JC,411,20,1705,102.3,SPR09-06KC126,30,191,70
312.5,5230,MV0811-14JC,451,15,1755,106.3,SPR09-06KC130,35,180,70
328.4,5400,MV0811-14JC,470,15,1765,111.3,SPR09-06KC135,30,167,70
349.2,5585,MV0811-14JC,491,20,1845,116.1,SPR09-06KC140,30,154,70
369.2,5760,MV0811-14JC,511,20,1850,120.1,SPR09-06KC145,30,144,70
382.3,5965,MV0811-14JC,509.5,15,1925,123.1,SPR09-06KC155,35,136,70
397.6,6195,MV0811-14JC,539.3,15,1930,128.1,SPR09-06KC160,30,123,70
415.7,6415,MV0811-14JC,561.3,15,2030,134.1,SPR09-06KC166,35,107,70
424.3,6450,MV0811-14JC,570.3,15,2080,138.1,SPR09-06KC170,30,97,70
430.6,6515,MV0811-14JC,580.3,20,2100,142.1,SPR09-06KC175,30,86,70
438.6,6570,MV0811-14JC,599.3,20,2195,147.1,SPR09-06KC180,30,73,70
455.9,6710,MV0811-14JC,618.3,20,2245,151.6,SPR09-06KC185,30,74,70
466.9,6815,MV0811-14JC,629.3,20,2280,161.6,SPR09-06KC199,30,89,70
479.2,7055,MV0811-14JC,660.3,20,2345,168.6,SPR09-06KC206,30,99,70
492.9,6955,MV0811-14JC,676.5,20,2365,173.6,SPR09-06KC211,30,107,70
492.9,6750,MV0811-14JC,676.5,15,2410,180.24,SPR09-06KC240,35,118,70
512.9,7155,MV0811-14JC,696.5,20,2475,183.46,SPR09-06KC245,30,125,70
525.5,7420,MV0811-14JC,716.5,15,2495,186.7,SPR09-06KC250,30,133,70
541.7,7590,MV0811-14JC,736.5,15,2580,189.28,SPR09-06KC254,30,139,70
562.3,7750,MV0811-14JC,758.5,15,2645,196.44,MV0811-14JC-149,15,147,70
582.3,7995,MV0811-14JC,778.5,20,2680,201.34,MV0811-14JC-158,15,147,70
