depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
10,47,19.929,-7,6.949,1006.143
25,148,19.571,-8.229,6.187,987.429
45,309,19.857,-7.171,6.767,1009.571
65,504,19.886,-7.386,6.712,1037.143
85,730,19.771,-7.4,6.646,1022.429
105,984,19.943,-7.486,6.705,997.286
125,1260,19.443,-7.471,6.427,1047
145,1557,19.857,-7.171,6.767,1009.571
165,1870,20.243,-6.871,7.12,978
185,2196,19.771,-7.4,6.646,1022.429
225,2870,19.857,-7.171,6.767,1009.571
245,3211,20.057,-7.1,6.908,990.714
265,3550,19.886,-7.386,6.712,1037.143
285,3884,20.271,-6.771,7.158,942.571
305,4208,19.8,-7.3,6.685,987
325,4519,20.343,-6.786,7.165,910.143
345,4813,20.486,-6.629,7.315,866.857
365,5087,20.343,-6.786,7.165,910.143
385,5338,20.143,-6.843,7.043,926.714
405,5575,20.314,-7.829,6.762,935.143
425,5807,20.443,-6.6,7.32,928.714
446,6054,20.1,-7.343,6.838,968.143
465,6289,20.229,-6.929,7.044,930.143
485,6555,20.443,-6.814,7.219,915.286
505,6839,20.157,-6.914,7.037,962.571
510,6914,20.357,-6.729,7.218,911.857
525,7144,21,-6.243,7.88,928.857
535,7305,20.529,-6.557,7.38,898
545,7471,20.357,-6.729,7.218,911.857
555,7642,20.4,-7.1,7.115,970.143
565,7819,20.3,-7.757,6.768,899.286
575,8003,19.886,-10.529,5.445,835.143
585,8192,19.843,-11.214,5.135,811
595,8388,20.2,-11.371,5.338,808.143
605,8590,20.814,-10.1,6.181,779.286
615,8799,20.357,-11.186,5.49,774.571
625,9016,20.486,-10.871,5.693,774.571
635,9243,20.486,-8.814,6.427,794.429
645,9480,20.457,-10.586,5.887,778
655,9729,20.314,-11.586,5.336,771.143
665,9991,20.286,-10.929,5.561,782
675,10267,20.271,-11.643,5.282,771
685,10559,20.114,-10.614,5.575,764.429
695,10867,20.357,-11.086,5.58,779.143
705,11194,NA,NA,NA,NA
715,11552,NA,NA,NA,NA
725,11951,NA,NA,NA,NA
735,12392,NA,NA,NA,NA
745,12865,NA,NA,NA,NA
750,13109,NA,NA,NA,NA
755,13357,NA,NA,NA,NA
759,13556,NA,NA,NA,NA
