year (AD),age (BP),d13C (permil),d18O (permil)
1950,0,-5.49,-6.126
1945,5,-6.18,-5.719
1880,70,-5.82,-6.349
1784,166,-6.26,-6.475
1698,252,-6.31,-6.446
1616,334,-6.4,-6.398
1533,417,-6.03,-6.34
1460,490,-6.33,-6.475
1327,623,-6.23,-6.291
1184,766,-5.9,-6.291
1097,853,-5.76,-6.33
1070,880,-5.7,-6.126
1022,928,-6.23,-6.466
942,1008,-6.43,-6.136
878,1072,-6.33,-6.495
799,1151,-6.38,-6.184
730,1220,-6.28,-6.291
658,1292,-6.79,-6.31
583,1367,-6.91,-6.572
530,1420,-7.05,-5.816
479,1471,-6.05,-6.369
426,1524,-5.87,-5.728
377,1573,-6.04,-6.243
341,1609,-6.03,-6.252
304,1646,-6.08,-6.097
200,1750,-5.68,-6.194
144,1806,-5.84,-6.126
84,1866,-5.44,-5.631
33,1917,-5.69,-6.281
-30,1980,-5.54,-5.961
-71,2021,-5.4,-6.068
-108,2058,-5.48,-6.252
-168,2118,-5.37,-6.019
-231,2181,-5.43,-6.097
-282,2232,-5.1,-5.728
-348,2298,-5.18,-5.631
-415,2365,-5.44,-5.913
-486,2436,-5.93,-5.99
-551,2501,-5.99,-6.087
-629,2579,-5.92,-5.903
-697,2647,-5.94,-5.961
-774,2724,-5.84,-5.893
-864,2814,-5.91,-5.952
-926,2876,-5.8,-5.728
-985,2935,-5.87,-5.719
-1062,3012,-6.06,-5.796
-1124,3074,-6.02,-5.69
-1180,3130,-6,-5.787
-1254,3204,-5.89,-5.564
-1341,3291,-5.8,-5.447
-1415,3365,-6.06,-5.447
-1474,3424,-5.86,-5.544
-1558,3508,-5.82,-5.234
-1620,3570,-5.14,-5.205
-1688,3638,-5.55,-5.069
-1759,3709,-4.38,-4.904
-1830,3780,-4.02,-4.962
-1911,3861,-6.04,-4.885
-2007,3957,-5.25,-4.681
-2069,4019,-5.26,-5.069
-2137,4087,-4.84,-4.943
-2208,4158,-4.71,-4.623
-2285,4235,-4.77,-4.914
-2363,4313,-4.6,-4.817
-2440,4390,-4.95,-4.885
-2518,4468,-5.12,-4.894
-2586,4536,-5.16,-4.807
-2673,4623,-5.11,-4.632
-2750,4700,-4.71,-4.409
-2816,4766,-4.6,-4.303
-2882,4832,-4.96,-4.244
-2942,4892,-5.32,-4.235
-3011,4961,-5.66,-4.128
-3086,5036,-5.47,-4.089
-3138,5088,-5.16,-3.876
-3195,5145,-5.18,-4.186
-3258,5208,-5.57,-4.089
-3327,5277,-5.46,-4.021
-3385,5335,-5.57,-4.021
-3488,5438,-4.78,-4.079
-3574,5524,-5.36,-4.332
-3626,5576,-5.43,-4.07
-3700,5650,-4.97,-4.109
-3784,5734,-5.23,-4.109
-3861,5811,-5.58,-4.215
-3913,5863,-5.56,-4.283
-3985,5935,-5.85,-4.293
-4080,6030,-6.07,-4.128
-4143,6093,-5.77,-4.002
-4217,6167,-6.33,-4.215
-4286,6236,-5.68,-4.079
-4358,6308,-5.42,-3.944
-4433,6383,-4.32,-2.547
-4490,6440,-6.31,-4.293
-4545,6495,-6.93,-4.167
-4616,6566,-6.11,-3.895
-4688,6638,-5.76,-2.915
-4780,6730,-5.02,-4.225
-4846,6796,-5.86,-4.254
-4901,6851,-5.26,-3.546
-4970,6920,-4.63,-3.808
-5041,6991,-4.87,-3.944
-5119,7069,-4.52,-3.701
-5205,7155,-3.62,-3.808
-5300,7250,-4.4,-4.157
-5349,7299,-4.51,-4.089
-5449,7399,-5.92,-4.846
-5504,7454,-7.4,-5.263
-5570,7520,-4.81,-3.042
