year (AD),age (BP),BSi (missing)
1480.033,469.967,26.497
1464.734,485.266,NA
1449.435,500.565,29.372
1434.136,515.864,NA
1418.838,531.162,25.534
1403.539,546.461,NA
1388.24,561.76,26.855
1372.941,577.059,NA
1357.642,592.358,26.963
1342.344,607.656,NA
1327.045,622.955,27.573
1311.746,638.254,NA
1296.447,653.553,27.545
1281.148,668.852,NA
1265.85,684.15,28.272
1250.551,699.449,NA
1235.252,714.748,27.35
1219.953,730.047,NA
1204.654,745.346,NA
1189.356,760.644,NA
1174.057,775.943,25.502
1158.758,791.242,NA
1143.459,806.541,23.794
1128.16,821.84,21.564
1112.862,837.138,24.592
1097.563,852.437,NA
1082.264,867.736,27.11
1066.965,883.035,NA
1051.666,898.334,28.542
1036.368,913.632,NA
1021.069,928.931,28.771
1005.77,944.23,NA
990.471,959.529,26.563
975.172,974.828,NA
959.874,990.126,26.455
944.575,1005.425,NA
929.276,1020.724,NA
913.977,1036.023,NA
898.678,1051.322,22.626
883.38,1066.62,NA
868.081,1081.919,23.668
852.782,1097.218,NA
837.483,1112.517,NA
822.184,1127.816,NA
806.886,1143.114,NA
791.587,1158.413,NA
776.288,1173.712,24.396
760.989,1189.011,NA
745.69,1204.31,25.922
730.392,1219.608,NA
715.093,1234.907,25.881
699.794,1250.206,NA
684.495,1265.505,26.57
669.196,1280.804,NA
653.898,1296.102,25.42
638.599,1311.401,NA
623.3,1326.7,26.725
608.001,1341.999,NA
592.702,1357.298,25.345
577.404,1372.596,NA
562.105,1387.895,26.571
546.806,1403.194,NA
531.507,1418.493,26.253
516.208,1433.792,NA
500.91,1449.09,26.548
485.611,1464.389,NA
470.312,1479.688,22.039
455.013,1494.987,NA
439.714,1510.286,23.722
424.416,1525.584,NA
409.117,1540.883,25.955
393.818,1556.182,NA
378.519,1571.481,23.419
363.22,1586.78,25.966
347.922,1602.078,24.914
332.623,1617.377,NA
317.324,1632.676,NA
302.025,1647.975,NA
286.726,1663.274,25.471
271.428,1678.572,NA
256.129,1693.871,25.016
240.83,1709.17,NA
225.531,1724.469,26.006
210.232,1739.768,NA
194.934,1755.066,25.892
179.635,1770.365,NA
164.336,1785.664,23.922
149.037,1800.963,26.158
133.738,1816.262,25.447
118.44,1831.56,NA
103.141,1846.859,NA
87.842,1862.158,NA
72.543,1877.457,27.523
