depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
3,81,9.971,-24.1,-6.213,627.286
25,678,10.486,-24.029,-5.599,653.571
50,1356,11.429,-24.014,-5.513,718.571
75,1979,11.671,-23.714,-5.321,757.571
100,2491,10.814,-23.743,-5.474,685.429
125,2783,9.857,-24.429,-6.154,597.143
150,2964,10.771,-24.286,-5.761,666.857
175,3144,11.371,-23.871,-6.075,680.714
200,3324,11.557,-23.986,-5.276,721.143
225,3504,12.086,-24.471,-6.415,645.143
250,3684,11.671,-23.843,-5.288,738.714
275,3865,11.929,-22.8,-4.945,808
300,4154,9.614,-24.457,-6.735,569.571
