year (AD) [1-1],age (BP) [1-1],depth (mm) [1-1],Al (cps) [1-1],Di (cps) [1-1],K (cps) [1-1],Ca (cps) [1-1],Ti (cps) [1-1],Fe (cps) [1-1],Rb (cps) [1-1],Zr (cps) [1-1],year (AD) [2-1],age (BP) [2-1],sampleID (missing) [2-1],water (percent) [2-1],TOC (percent) [2-1],TOCmg (mg) [2-1],d13C (permil) [2-1],year (AD) [3-1],age (BP) [3-1],dustFlux (g/cm2/yr) [3-1],water (percent) [3-1],TOC (percent) [3-1],wetBulkDensity (g/cm3) [3-1],dryBulkDensity (g/cm3) [3-1],SR (mm/yr) [3-1],LORCA (g/m2/yr) [3-1],ash (percent) [3-1],Ti (g/g) [3-1],Tiash (g/g) [3-1],year (AD) [4-1],age (BP) [4-1],dD (permil) [4-1],Id (missing) [4-1],s (missing) [4-1],year (AD) [5-1],age (BP) [5-1],ID (BP) [5-1],Paq (missing) [5-1]
1950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1947,3,O-1-61,67.28,19.2,1.26,-27.35,1841,109,205.3,51.14,0.05,1.48,0.72,0.4,1.5,74.4,3817.1,7101,1871,79,-206.3,O-1-063,1.6,1871,79,1-063,0.13
1944,6,2,NA,NA,NA,NA,NA,NA,NA,NA,1899,51,O-1-62,63.99,15.68,0.78,-27.53,1700,250,21.3,73.88,0.3,0.74,0.19,0.4,2.3,35.3,3119.6,2753.8,1647,303,-201.5,O-1-066,1.7,1841,109,O-1-1,0.22
1939,11,3.9,312,3292,1748,12903,2296,32715,127,621,1871,79,O-1-63,55.22,9.27,0.98,-27.12,1619,331,165.2,56.56,0.08,1.05,0.46,0.4,1.4,72.7,4983.1,9061.9,1551,399,-207,O-1-069,3.5,1700,250,O-1-2,0.13
1933,17,5.9,323,3816,2176,15431,2521,38032,148,489,1841,109,O-1-1,51.14,5.04,0.76,-27.49,1423,527,44.7,81.9,0.42,0.82,0.15,1.4,8.8,22.6,3795.3,2144.5,1363,587,-204.6,O-1-090,0.7,1647,303,1-066,0.11
1928,22,7.8,383,4703,3022,17295,3442,50115,189,773,1815,135,O-1-64,60.63,9.55,1.02,-27.49,1342,608,319,64.01,0.11,0.91,0.33,1.4,4.9,64.6,4288.8,6928.9,1058,892,-209,O-1-112,1.6,1554,396,O-1-3,0.32
1922,28,9.8,456,6189,4600,19797,4320,64659,186,821,1759,191,O-1-65,65.99,11.56,1.24,-27.5,1211,739,31.5,84.26,0.46,0.88,0.14,1,6.4,21.8,4149.5,2266.5,956,994,-205.7,O-2-116,2.7,1551,399,1-069,0.12
1916,34,11.8,505,5793,4438,17202,4081,65099,239,831,1700,250,O-1-2,73.88,30.15,1.45,-26.75,1047,903,165.3,75.57,0.17,1.1,0.27,1,4.6,50.6,4847.3,6127.6,828,1122,-202.7,O-2-125,1.2,1501,449,O-1-4,0.4
1911,39,13.7,569,6385,4688,19826,4542,73429,217,587,1647,303,O-1-66,72.47,25.86,1.32,-26.23,956,994,16.8,84.97,0.43,0.91,0.14,1,5.9,14.6,3360.8,1224.9,659,1291,-201.2,O-2-131,0.4,1363,587,1-090,0.24
1905,45,15.7,609,8041,5164,19807,4532,72665,212,1038,1619,331,O-1-67,56.56,7.74,1.14,-27.04,844,1106,467.5,65.2,0.11,1.11,0.39,1.8,7.9,63.2,4253.4,6723.4,548,1402,-200.7,O-2-139,3.1,1342,608,O-1-5,0.13
1899,51,17.6,760,9930,6957,22061,5929,84940,265,759,1563,387,O-1-68,71.81,20.9,2.2,-27.13,638,1312,22.4,83.49,0.41,0.84,0.14,0.9,5.1,19.7,3662.5,1800.5,-267,2217,-204.4,O-2-156,1.3,1278,672,O-1-6,0.21
1894,56,19.6,1066,12680,8986,24120,6935,97936,333,1207,1554,396,O-1-3,64.84,10.78,1.07,-27.17,498,1452,NA,70.03,0.16,1.19,0.36,0.3,1.7,NA,NA,NA,-829,2779,-204,O-3-185,1.7,1249,701,O-1-7,0.09
1888,62,21.6,880,11151,7557,23521,5790,84937,316,850,1551,399,O-1-69,62.6,10.48,1.1,-27.36,259,1691,34.3,74.8,0.27,1.1,0.28,0.3,2.2,38.3,4290.7,4107,-1078,3028,-203.5,O-3-200,1.5,1153,797,O-1-8,0.12
