year (AD),age (BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1900,50,4.279,1.748,6.81
1850,100,6.36,5.23,7.491
1800,150,6.772,5.371,8.173
1750,200,4.968,1.565,8.371
1700,250,1.571,-5.683,8.825
1650,300,-3.724,-16.509,9.062
1600,350,-5.152,-19.676,9.372
1550,400,-6.694,-23.068,9.681
1500,450,-8.325,-26.686,10.036
1450,500,-9.867,-30.191,10.457
1400,550,-5.415,-21.696,10.866
1350,600,-0.884,-13.256,11.488
1300,650,3.916,-4.524,12.355
1250,700,2.483,-8.079,13.045
1200,750,3.097,-7.557,13.752
1150,800,-0.487,-15.594,14.62
1100,850,0.209,-15.072,15.491
1050,900,5.883,-5.585,17.35
1000,950,6.491,-5.237,18.219
950,1000,9.404,-3.976,22.783
900,1050,6.133,-12.418,24.684
850,1100,11.462,-2.637,25.56
800,1150,11.48,-2.878,25.837
750,1200,17.489,7.191,27.788
700,1250,20.127,7.714,32.54
650,1300,26.946,18.853,35.04
600,1350,29.527,21.495,37.559
550,1400,29.731,20.156,39.306
500,1450,26.134,14.731,37.538
450,1500,18.07,3.172,32.969
400,1550,11.787,-4.715,28.289
350,1600,10.967,-4.25,26.185
300,1650,17.549,6.413,28.685
250,1700,27.25,22.232,32.267
200,1750,32.559,27.932,37.186
150,1800,34.975,28.516,41.434
100,1850,28.747,18.475,39.019
50,1900,28.929,19.06,38.798
0,1950,26.724,19.646,33.801
-50,2000,35.052,30.859,39.246
-100,2050,33.876,31.448,36.305
-150,2100,39.1,33.58,44.621
-200,2150,43.627,38.936,48.317
-250,2200,49.923,42.746,57.099
-300,2250,51.724,45.067,58.381
-350,2300,52.799,45.974,59.623
-400,2350,53.678,46.654,60.702
-450,2400,54.449,47.277,61.62
-500,2450,55.185,47.937,62.433
-550,2500,53.036,42.795,63.277
-600,2550,54.722,45.301,64.143
-650,2600,54.532,44.063,65.002
-700,2650,55.355,46.492,64.217
-750,2700,50.679,41.227,60.132
-800,2750,44.37,37.809,50.931
-850,2800,46.716,39.036,54.396
-900,2850,53.777,46.309,61.246
-950,2900,62.242,51.333,73.152
-1000,2950,63.646,53.293,73.999
-1050,3000,61.984,49.232,74.737
-1100,3050,61.478,47.444,75.512
-1150,3100,62.121,47.953,76.29
-1200,3150,50.378,27.704,73.053
-1250,3200,38.725,3.626,73.824
-1300,3250,27.015,-20.568,74.597
-1350,3300,33.637,-7.988,75.261
-1400,3350,43.457,10.867,76.046
-1450,3400,54.585,32.333,76.836
-1500,3450,52.192,22.645,81.739
-1550,3500,44.139,7.859,80.418
-1600,3550,41.253,3.17,79.336
-1650,3600,44.931,13.564,76.298
-1700,3650,54.929,29.439,80.42
-1750,3700,41.835,4.036,79.634
-1800,3750,47.046,10.856,83.235
-1850,3800,51.022,17.815,84.23
-1900,3850,71.682,53.46,89.903
-1950,3900,66.74,40.317,93.162
-2000,3950,62.341,30.722,93.96
-2050,4000,62.982,31.221,94.743
-2100,4050,71.933,48.34,95.525
-2150,4100,74.096,51.88,96.312
-2200,4150,76.309,55.542,97.076
-2250,4200,74.06,52.87,95.25
-2300,4250,69.943,43.512,96.373
-2350,4300,49.941,10.494,89.388
-2400,4350,34.911,-9.512,79.333
-2450,4400,44.157,8.043,80.271
-2500,4450,64.159,39.035,89.283
-2550,4500,76.282,59.949,92.615
-2600,4550,77.077,60.514,93.64
-2650,4600,78.226,61.195,95.257
-2700,4650,90.728,72.81,108.646
-2750,4700,87.051,69.774,104.328
-2800,4750,83.046,66.612,99.479
-2850,4800,75.012,55.901,94.123
-2900,4850,64.876,34.997,94.754
-2950,4900,59.839,21.158,98.52
-3000,4950,53.536,14.443,92.629
-3050,5000,63.111,36.272,89.951
-3100,5050,65.919,51.026,80.812
-3150,5100,69.95,58.635,81.266
-3200,5150,67.098,59.008,75.187
-3250,5200,67,52.029,81.972
-3300,5250,52.23,15.68,88.78
-3350,5300,32.596,-20.766,85.958
-3400,5350,18.993,-42.576,80.562
-3450,5400,36.854,-5.2,78.907
-3500,5450,59.671,32.443,86.899
-3550,5500,71.833,62.933,80.733
-3600,5550,74.743,63.741,85.745
-3650,5600,79.392,64.553,94.231
-3700,5650,93.661,69.853,117.468
-3750,5700,100.615,75.179,126.05
-3800,5750,99.674,64.797,134.55
-3850,5800,88.719,53.216,124.222
-3900,5850,77.881,49.51,106.253
-3950,5900,80.643,61.496,99.791
-4000,5950,79.728,70.177,89.28
-4050,6000,86.412,70.94,101.884
-4100,6050,93.728,76.438,111.018
-4150,6100,100.467,77.2,123.735
-4200,6150,93.407,77.955,108.858
-4250,6200,81.957,73.944,89.971
-4300,6250,84.929,74.667,95.19
-4350,6300,96.04,75.422,116.659
-4400,6350,94.812,76.23,113.394
-4450,6400,89.484,68.54,110.429
-4500,6450,77.799,60.795,94.803
-4550,6500,78.569,44.355,112.782
-4600,6550,77.293,36.331,118.256
-4650,6600,75.923,37.001,114.844
-4700,6650,74.621,46.311,102.93
-4750,6700,71.081,55.677,86.486
-4800,6750,71.837,56.349,87.326
-4850,6800,70.401,57.023,83.779
-4900,6850,71.178,48.668,93.688
-4950,6900,67.397,40.258,94.536
-5000,6950,63.588,31.792,95.384
-5050,7000,59.735,32.301,87.168
-5100,7050,55.778,23.549,88.008
-5150,7100,61.105,33.364,88.846
-5200,7150,59.455,24.492,94.418
-5250,7200,60.058,24.837,95.28
-5300,7250,65.787,16.127,115.447
-5350,7300,83.423,45.389,121.457
-5400,7350,98.815,65.278,132.352
-5450,7400,100.05,85.608,114.492
-5500,7450,93.937,76.956,110.918
-5550,7500,102.288,87.64,116.935
-5600,7550,110.41,78.511,142.309
-5650,7600,121.053,79.112,162.993
-5700,7650,127.458,75.822,179.093
-5750,7700,113.323,46.168,180.478
-5800,7750,91.479,26.497,156.462
-5850,7800,58.891,-9.456,127.237
-5900,7850,51.901,-9.306,113.109
-5950,7900,42.143,-29.578,113.864
-6000,7950,47.909,-39.764,135.581
-6050,8000,48.569,-50,147.138
-6100,8050,56.834,-39.558,153.227
-6150,8100,54.653,-29.071,138.376
-6200,8150,44.454,-29.071,117.978
-6250,8200,58.097,2.822,113.371
-6300,8250,66.573,24.297,108.848
-6350,8300,93.959,78.013,109.906
-6400,8350,103.255,79.03,127.48
-6450,8400,118.444,75.443,161.445
-6500,8450,128.089,76.847,179.331
-6550,8500,121.201,77.97,164.431
-6600,8550,116.978,72.015,161.94
-6650,8600,121.864,73.41,170.317
-6700,8650,138.102,74.519,201.685
-6750,8700,142.339,98.052,186.626
-6800,8750,144.497,99.449,189.545
-6850,8800,131.791,77.216,186.366
-6900,8850,142.072,70.176,213.967
-6950,8900,155.697,82.7,228.694
-7000,8950,180.492,118.121,242.863
-7050,9000,210.694,177.51,243.878
-7100,9050,225.296,205.706,244.886
-7150,9100,245.855,245.855,245.855
-7200,9150,246.824,246.824,246.824
-7250,9200,248.096,248.096,248.096
-7300,9250,249.914,249.914,249.914
-7350,9300,252.36,252.36,252.36
-7400,9350,244.915,234.642,255.188
-7450,9400,237.587,216.935,258.239
-7500,9450,240.721,220.069,261.373
-7550,9500,254.175,243.797,264.554
-7600,9550,267.755,267.755,267.755
-7650,9600,271.018,271.018,271.018
-7700,9650,274.273,274.273,274.273
-7750,9700,277.301,277.301,277.301
-7800,9750,279.751,279.751,279.751
-7850,9800,281.605,281.605,281.605
-7900,9850,283.387,283.387,283.387
-7950,9900,255.686,240.73,270.642
-8000,9950,231.919,198.015,265.823
