year (AD),age (BP),temperature (degC),Uk37 (missing)
1930,20,24.8,0.86
1720,230,24.8,0.86
1520,430,25,0.87
1310,640,25,0.87
1060,890,24.8,0.86
810,1140,25,0.87
560,1390,24.8,0.86
310,1640,24.9,0.87
70,1880,24.7,0.86
-180,2130,24.7,0.86
-440,2390,24.8,0.86
-700,2650,24.8,0.86
-960,2910,24.8,0.86
-1220,3170,24.7,0.86
-1480,3430,24.6,0.86
-1740,3690,24.4,0.85
-2010,3960,24.2,0.84
-2270,4220,24.1,0.84
-2610,4560,24.1,0.84
-3000,4950,24,0.84
-3370,5320,24.3,0.85
-3690,5640,24.3,0.85
-4010,5960,24.5,0.85
-4320,6270,24.5,0.85
-4640,6590,24.4,0.85
-4960,6910,24.6,0.86
-5270,7220,24.2,0.84
-5530,7480,24.1,0.84
-5780,7730,24.1,0.84
-6030,7980,23.7,0.83
-6290,8240,23.8,0.83
-6540,8490,23.8,0.83
-6790,8740,23.9,0.83
-7050,9000,23.6,0.82
-7230,9180,23.7,0.83
-7410,9360,23.6,0.82
-7600,9550,23.5,0.82
-7680,9630,23.6,0.82
-7760,9710,23.6,0.82
-7840,9790,23.8,0.83
-7920,9870,23.7,0.83
-8000,9950,23.8,0.83
-8090,10040,23.8,0.83
-8170,10120,23.7,0.83
-8250,10200,23.8,0.83
-8330,10280,23.7,0.83
-8480,10430,23.7,0.83
-8630,10580,23.5,0.82
-8780,10730,23.5,0.82
-8930,10880,23.5,0.82
-9080,11030,23.5,0.82
-9230,11180,23.4,0.82
-9370,11320,23.5,0.82
-9520,11470,23.6,0.82
-9670,11620,23.4,0.82
-9820,11770,23.5,0.82
-9970,11920,23.6,0.82
-10120,12070,23.7,0.83
-10270,12220,23.6,0.82
-10420,12370,23.5,0.82
-10570,12520,23.7,0.83
-10680,12630,23.5,0.82
-10790,12740,23.6,0.82
-10900,12850,23.2,0.81
-11080,13030,23.1,0.81
-11190,13140,22.9,0.8
-11350,13300,23.2,0.81
-11460,13410,23.2,0.81
-11570,13520,23,0.8
-11680,13630,23,0.8
-11790,13740,23,0.8
-11850,13800,22.8,0.8
-11910,13860,22.2,0.78
-11970,13920,22.3,0.78
-12020,13970,22.5,0.79
-12080,14030,22.3,0.78
-12140,14090,22.7,0.79
-12200,14150,22.4,0.78
-12620,14570,22.3,0.78
-13050,15000,22.1,0.77
-13470,15420,22.3,0.78
-13900,15850,22.1,0.77
-14320,16270,20.9,0.73
-14750,16700,21.5,0.75
-15170,17120,21.5,0.75
-15600,17550,21.8,0.77
-16030,17980,21.9,0.77
-16590,18540,22.1,0.77
-17140,19090,22.7,0.79
-17710,19660,22.4,0.78
-18010,19960,22.1,0.77
-18320,20270,22.3,0.78
-18630,20580,22.7,0.79
-18920,20870,22.5,0.79
-19210,21160,22.4,0.78
-19450,21400,21.8,0.77
-19800,21750,22.4,0.78
-20100,22050,23,0.8
-20640,22590,22.5,0.79
-21170,23120,22.2,0.78
-21710,23660,21.8,0.76
-22250,24200,21.8,0.76
-22790,24740,21.5,0.76
