year (AD),age (BP),depth (cm),temperature (degC),temperature (degC),temperature (degC),Uk37 (missing),TEX86 (missing),Mg/Ca (mmol/mol),d18O (permil)
1968,-18,1.25,29.1,22.5,27.8,0.986,0.702,5.46,-2.03
1905,45,6.5,NA,NA,27.4,NA,NA,5.13,-2
1892,58,7.5,28.3,22,NA,0.967,0.694,NA,NA
1830,120,11.5,28.2,22.1,26.7,0.965,0.696,4.88,-1.86
1746.5,203.5,14.5,NA,NA,27.6,NA,NA,5.49,-1.92
1688,262,16.5,28.3,21.9,NA,0.968,0.693,NA,NA
1661.5,288.5,17.5,NA,NA,27.8,NA,NA,5.34,-2.1
1608.5,341.5,19.5,NA,NA,27.6,NA,NA,5.31,-1.99
1561,389,21.5,28.3,22.3,27.7,0.968,0.699,5.05,-2.19
1475.5,474.5,25.5,NA,NA,27.4,NA,NA,5.16,-2.02
1411,539,28.5,28.5,22.3,27.2,0.972,0.701,5,-1.98
1316,634,34.5,28.3,22,27.6,0.966,0.695,5.21,-2.07
1260,690,38.5,NA,NA,28,NA,NA,5.64,-1.99
1213,737,42.5,28.7,21.9,NA,0.975,0.693,NA,NA
1179,771,48.5,28.5,22.1,28.6,0.972,0.695,5.79,-2.22
1060,890,58.5,28.6,22.2,28.4,0.973,0.698,5.57,-2.23
870,1080,68.5,NA,NA,28.1,NA,NA,5.66,-2.03
799,1151,71.5,28.7,22.3,27.5,0.975,0.699,5.28,-1.99
96,1854,103.5,28.5,22.3,28.2,0.972,0.699,5.64,-2.13
-324,2274,128.5,28.3,22.6,27.3,0.966,0.705,4.97,-2.06
-780,2730,148.5,28.3,22.5,27.6,0.968,0.702,5.19,-2.06
-1233,3183,164.5,27.8,22.6,28.2,0.956,0.705,5.66,-2.07
-1381,3331,170.5,28.2,22.4,28.4,0.965,0.7,5.69,-2.15
-1577,3527,178.5,28,21.7,28.4,0.96,0.69,5.9,-2.02
-1624,3574,180.5,28.3,21.8,28.5,0.968,0.689,5.71,-2.16
-1845,3795,188.5,28,22.4,NA,0.961,0.701,NA,NA
-1964,3914,192.5,28,22.5,27.8,0.96,0.702,5.28,-2.1
-2082,4032,196.5,28,22.4,27.5,0.96,0.7,5.31,-1.92
-2190,4140,200.5,28.1,22.2,27.9,0.963,0.699,5.1,-2.24
-2443,4393,210.5,28.1,22.4,27.9,0.963,0.701,5.23,-2.15
-2693,4643,220.5,28,22.6,28.2,0.96,0.705,5.28,-2.3
-2782,4732,224.5,27.9,22.6,27.9,0.958,0.705,5.68,-1.89
-2872,4822,228.5,27.8,22.4,28.1,0.956,0.7,5.44,-2.12
-2962,4912,232.5,28.3,22.7,28.1,0.968,0.706,5.55,-2.08
-3054,5004,236.5,28.1,22.7,27.4,0.962,0.707,5.14,-1.99
-3146,5096,240.5,28.3,22.9,27.6,0.967,0.71,5.29,-1.99
-3375,5325,250.5,28.2,22.4,27.6,0.964,0.701,5.13,-2.1
-3596,5546,260.5,28.1,22.9,28.1,0.963,0.709,5.59,-2.03
-3774,5724,270.5,28.5,22.5,28.2,0.971,0.703,5.56,-2.1
-3963,5913,280.5,28.4,22.6,28,0.969,0.706,5.43,-2.08
-4115,6065,288.5,27.7,22.3,28.7,0.954,0.7,5.71,-2.24
-4267,6217,296.5,28.3,22.3,28.3,0.966,0.7,5.61,-2.08
-4344,6294,300.5,28.3,22.7,NA,0.967,0.705,NA,NA
-4724,6674,320.5,28.1,23,28.2,0.963,0.711,5.13,-2.32
-5101,7051,340.5,27.6,23.1,27.8,0.95,0.715,4.91,-2.24
-5784,7734,360.5,27.1,22.3,28.1,0.939,0.701,5.06,-2.27
-6491,8441,380.5,27.5,21.9,27.7,0.949,0.691,5.43,-1.89
-7196,9146,400.5,27.9,22.3,28,0.958,0.697,5.05,-2.27
-7616,9566,412.5,27.6,21.9,28,0.95,0.694,5.19,-2.15
-7881,9831,420.5,27.5,21.8,27.8,0.948,0.692,5.69,-1.72
-8053,10003,428.5,27.5,22.4,27.6,0.948,0.699,5.68,-1.61
-8184,10134,434.5,27.6,22.2,27.9,0.95,0.698,5.87,-1.64
-8316,10266,440.5,27.7,22.3,27.5,0.952,0.698,5.28,-1.81
-8737,10687,460.5,27.5,22,26.8,0.948,0.695,4.78,-1.74
-9100,11050,470.5,27.5,21.8,27.2,0.948,0.691,5.22,-1.63
-9469,11419,480.5,27.4,21.9,NA,0.946,0.693,NA,NA
-9618,11568,484.5,27.2,22,26.3,0.942,0.694,4.83,-1.37
-9767,11717,488.5,27.1,22.7,25.9,0.939,0.707,5.05,-1.02
-9915,11865,492.5,27,22.8,25.1,0.937,0.708,4.58,-0.93
-10064,12014,496.5,27.1,22.3,25.8,0.94,0.701,4.47,-1.3
-10211,12161,500.5,27,23,24.7,0.936,0.711,4.29,-0.89
-10582,12532,510.5,27,22.2,25.1,0.936,0.698,4.62,-0.83
-10933,12883,520.5,26.9,20.4,26.5,0.934,0.666,4.98,-1.24
-11253,13203,530.5,27,20,26.5,0.937,0.659,5.02,-1.16
-11585,13535,540.5,27,19.7,26.5,0.936,0.656,5.23,-1.01
-11913,13863,550.5,26.9,20,24.8,0.934,0.661,4.22,-0.84
-12215,14165,560.5,26.9,20.5,25,0.934,0.669,4.77,-0.48
-12614,14564,564.5,26.8,20.4,25.5,0.933,0.666,4.67,-0.77
-13035,14985,568.5,26.8,21.4,25.6,0.933,0.684,4.49,-0.88
-13457,15407,572.5,26.9,22.3,25.3,0.934,0.699,4.57,-0.64
-13875,15825,576.5,26.5,21.9,26.6,0.926,0.693,5.08,-0.85
-14237,16187,580.5,26.5,23.4,NA,0.926,0.717,NA,NA
-15029,16979,590.5,26.1,21.8,24.3,0.917,0.693,3.97,-0.41
-15817,17767,600.5,25.7,19.6,NA,0.906,0.653,NA,NA
-16184,18134,610.5,25.4,18.5,24.2,0.9,0.634,3.76,-0.47
-16559,18509,620.5,25.1,17.7,25.3,0.893,0.62,4.6,-0.36
-17291,19241,640.5,25.8,18.7,26.2,0.909,0.638,5.03,-0.53
-19961,21911,660.5,25.7,19.1,24.8,0.906,0.645,3.94,-0.68
-22598,24548,680.5,25.5,18.9,25.7,0.902,0.641,4.77,-0.57
-23585,25535,690.5,25.9,19.1,25.1,0.911,0.644,4.07,-0.81
-24554,26504,700.5,25.7,18.4,NA,0.908,0.633,NA,NA
-25059,27009,710.5,25.3,17.8,25.4,0.897,0.622,4.55,-0.58
-25572,27522,720.5,25.4,18.1,25.9,0.901,0.629,4.89,-0.63
-26091,28041,730.5,26.3,19.2,25.3,0.922,0.646,4.55,-0.54
-26608,28558,740.5,25.9,19.8,25.4,0.912,0.658,4.49,-0.64
-27125,29075,750.5,26.3,17.8,25.4,0.922,0.623,4.6,-0.56
-27646,29596,760.5,25.9,18.6,NA,0.912,0.637,NA,NA
-28165,30115,770.5,26.2,18.9,26.6,0.918,0.641,5.07,-0.89
-28685,30635,780.5,25.8,18.6,26.1,0.91,0.636,4.75,-0.86
-29538,31488,800.5,26,18.9,25.8,0.915,0.642,4.36,-0.99
-29978,31928,810.5,26.5,18.6,26.7,0.926,0.636,5,-0.99
-30420,32370,820.5,26.4,17.7,27.4,0.923,0.622,5,-1.34
-31314,33264,840.5,25.7,18.2,26.6,0.908,0.628,5.24,-0.82
-31922,33872,850.5,26.4,17.5,25.6,0.923,0.619,4.42,-0.85
-32550,34500,860.5,26.3,17.8,NA,0.922,0.623,NA,NA
-33182,35132,870.5,26.4,20.1,25,0.923,0.661,4.36,-0.68
-33814,35764,880.5,25.8,20.7,25.7,0.909,0.672,4.82,-0.71
-34438,36388,890.5,25.7,18.5,25.4,0.907,0.635,4.15,-1.03
-35051,37001,900.5,25.1,17.7,NA,0.893,0.622,NA,NA
-35463,37413,910.5,25.5,17.5,26,0.902,0.619,4.63,-1.02
-35877,37827,920.5,25.7,17.2,NA,0.908,0.613,NA,NA
-36292,38242,930.5,25.8,17.9,NA,0.91,0.623,NA,NA
-36707,38657,940.5,25.4,16.8,NA,0.901,0.606,NA,NA
-37535,39485,960.5,25.1,17.9,NA,0.893,0.624,NA,NA
