year (AD),age (BP),grey_scale (missing)
1524,426,204.24
1521.166,428.834,204.38
1518.686,431.314,204.14
1516.207,433.793,204.14
1513.373,436.627,204.33
1510.893,439.107,204.29
1508.413,441.587,204.57
1505.58,444.421,204.95
1503.1,446.9,205.14
1500.62,449.38,205.33
1497.786,452.214,205.52
1495.306,454.693,205.81
1492.827,457.173,206.1
1489.993,460.007,206.52
1487.513,462.487,206.52
1485.034,464.966,206.57
1482.199,467.8,206.57
1479.72,470.28,206.57
1477.24,472.76,206.52
1474.406,475.594,206.29
1471.927,478.074,205.81
1469.093,480.907,205.1
1466.613,483.387,204.86
1464.133,485.867,204.9
1461.299,488.701,205.1
1458.82,491.18,205.05
1456.34,493.66,205.19
1453.506,496.494,205.43
1451.026,498.974,205.57
1448.547,501.453,205.76
1445.713,504.287,206.05
1443.233,506.767,206.33
1440.753,509.247,207
1437.919,512.081,207.33
1435.44,514.56,207.05
1432.96,517.04,207
1430.126,519.874,206.86
1427.646,522.354,206.86
1425.167,524.833,206.71
1422.333,527.667,206.9
1419.853,530.147,206.95
1417.373,532.627,207.19
1414.539,535.461,207.19
1412.06,537.94,206.86
1409.58,540.42,206.76
1406.746,543.254,206.71
1404.266,545.734,206.67
1401.787,548.213,206.57
1398.953,551.047,206.29
1396.473,553.527,205.9
1393.993,556.007,205.52
1391.159,558.841,205.48
1388.68,561.32,205.67
1386.2,563.8,205.62
1383.366,566.634,205.9
1380.886,569.114,206.1
1378.407,571.593,206
1375.573,574.427,206.24
1373.093,576.907,206.67
1370.613,579.387,207.05
1367.779,582.221,207.24
1365.3,584.7,207.43
1362.82,587.18,207.43
1359.986,590.014,207.43
1357.506,592.494,207.19
1355.026,594.973,207
1352.193,597.807,207.05
1349.713,600.287,207.29
1347.233,602.767,207.05
1344.399,605.601,206.95
1341.919,608.081,207.24
1339.44,610.56,207.48
1336.606,613.394,207.67
1334.126,615.874,207.86
1331.646,618.354,208.19
1328.812,621.188,208.48
1326.333,623.667,208.67
1323.499,626.501,208.62
1321.019,628.981,208.62
1318.539,631.461,208.52
1315.705,634.295,208.9
1313.226,636.774,209.29
