depth (m),age (BP),Uk37 (degC),temperature (microg_g),temperature (missing)
NA,580,8.8,0.15,0.337
NA,580,8.8,0.2,0.339
NA,670,8.6,0.27,0.333
NA,760,8.6,0.18,0.332
NA,800,8.9,0.16,0.342
NA,840,8.8,0.2,0.337
NA,930,8.5,0.19,0.328
NA,980,9.1,0.23,0.347
NA,1020,8.5,0.22,0.328
NA,1060,7.7,0.23,0.302
NA,1110,8.3,0.22,0.321
NA,1150,8.2,0.3,0.319
NA,1190,8.7,0.23,0.334
NA,1240,8.7,0.3,0.335
NA,1320,8,0.25,0.31
NA,1370,8.3,0.26,0.321
NA,1410,8.2,0.34,0.317
NA,1500,7.7,0.3,0.301
NA,1540,8,0.14,0.312
NA,1590,7.8,0.25,0.304
NA,1590,8.1,0.27,0.316
NA,1670,7.8,0.33,0.303
NA,1720,8,0.24,0.31
NA,1760,7.5,0.35,0.292
NA,1850,7.4,0.33,0.289
NA,1890,6.6,0.32,0.264
NA,1930,7.7,0.45,0.302
NA,2020,7.5,0.27,0.293
NA,2060,8.2,0.32,0.317
NA,2110,8.5,0.26,0.328
NA,2190,7.8,0.24,0.303
NA,2260,8.1,0.21,0.316
NA,2260,7.3,0.37,0.286
NA,2310,7.1,0.27,0.282
NA,2410,7.2,0.29,0.285
NA,2460,8.4,0.2,0.323
NA,2510,8.6,0.35,0.333
NA,2620,8.2,0.32,0.317
NA,2670,8.7,0.25,0.336
NA,2720,8.2,0.35,0.317
NA,2820,7.5,0.35,0.293
NA,2870,8.2,0.22,0.317
NA,2920,8.3,0.38,0.32
NA,3020,7.9,0.39,0.309
NA,3070,8.8,0.44,0.338
NA,3130,8.7,0.4,0.334
NA,3230,8.7,0.42,0.336
NA,3280,9.2,0.34,0.352
NA,3330,8.9,0.45,0.34
NA,3480,8.2,0.42,0.317
NA,3480,7.8,0.54,0.303
NA,3530,8.8,0.46,0.339
NA,3580,8.4,0.29,0.326
NA,3690,8.2,0.28,0.317
NA,3740,8.2,0.47,0.317
NA,3790,8.5,0.32,0.329
NA,3890,8.8,0.35,0.34
NA,3940,8.8,0.44,0.339
NA,3990,8.3,0.38,0.32
NA,4090,9.1,0.41,0.35
NA,4190,8.9,0.33,0.343
NA,4250,8.7,0.56,0.334
NA,4300,7.3,0.44,0.286
NA,4400,7.3,0.38,0.289
NA,4450,8.8,0.56,0.339
NA,4500,7.8,0.33,0.303
NA,4600,8.4,0.38,0.326
NA,4650,9.1,0.43,0.348
NA,4840,7.9,0.41,0.308
NA,4840,8.4,0.32,0.325
NA,4950,8.6,0.31,0.33
NA,5010,8.8,0.43,0.339
NA,5070,7.5,0.42,0.295
NA,5130,9,0.39,0.344
NA,5190,7.4,0.22,0.292
NA,5250,8.5,0.3,0.329
NA,5300,8.1,0.28,0.313
NA,5360,6.6,0.23,0.265
NA,5420,8.4,0.24,0.323
NA,5480,8.8,0.19,0.339
NA,5540,8.9,0.29,0.341
NA,5650,9.3,0.24,0.354
NA,5710,7.2,0.18,0.283
NA,5830,8,0.2,0.31
NA,5890,8.7,0.17,0.335
NA,5940,7.2,0.15,0.285
