year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
1900,50,118.62,14.979,0.538,134.231
1660,290,364.432,14.46,0.521,220.402
1410,540,611.915,14.525,0.523,268.314
1160,790,860.233,15.005,0.539,297.16
900,1050,1109.154,14.403,0.519,312.309
630,1320,1358.593,15.056,0.541,315.772
350,1600,1608.534,14.821,0.533,307.984
50,1900,1859.025,15.255,0.547,288.081
-260,2210,2110.206,15.495,0.555,253.311
-580,2530,2362.484,14.882,0.535,196.141
-930,2880,2620.085,15.495,0.555,81.383
-1300,3250,3048.621,15.49,0.555,252.042
-1680,3630,3484.118,15.654,0.561,329.456
-2080,4030,3921.068,15.602,0.559,375.199
-2490,4440,4358.944,15.776,0.565,400.167
-2900,4850,4797.57,15.798,0.565,408.146
-3320,5270,5236.899,15.731,0.563,400.138
-3730,5680,5676.978,15.7,0.562,375.118
-4140,6090,6117.983,15.792,0.565,329.255
-4540,6490,6560.441,16.076,0.575,251.507
-4920,6870,7009.86,16.155,0.577,77.042
-5290,7240,7287.877,16.176,0.578,208.255
-5640,7590,7571.287,16.048,0.574,271.474
-5970,7920,7855.822,15.837,0.567,310.206
-6290,8240,8141.076,16.212,0.579,332.909
-6590,8540,8426.91,16.097,0.575,342.657
-6870,8820,8713.29,15.915,0.569,340.456
-7130,9080,9000.25,16.117,0.576,325.937
-7380,9330,9287.928,15.871,0.568,297.109
-7610,9560,9576.731,16.307,0.582,248.614
-7830,9780,9870.929,16.805,0.599,158.906
-8030,9980,10020.192,16.586,0.591,206.202
-8220,10170,10173.948,16.468,0.587,230.209
-8400,10350,10328.712,16.791,0.598,241.035
-8570,10520,10484.168,16.434,0.586,240.864
-8740,10690,10640.248,16.074,0.574,229.889
-8910,10860,10797.022,16.924,0.602,206.572
-9080,11030,10954.802,16.122,0.576,165.991
-9270,11220,11117.075,17.323,0.616,86.831
-9460,11410,11313.558,16.59,0.591,168.037
-9670,11620,11515.892,16.409,0.585,190.282
-9890,11840,11720.367,16.536,0.59,179.072
-10130,12080,11930.692,16.658,0.594,130.851
-10380,12330,12142.07,16.612,0.592,195.521
-10660,12610,12358.438,16.164,0.577,225.17
-10940,12890,12576.083,16.121,0.576,231.768
-11250,13200,12794.77,15.751,0.564,217.118
-11560,13510,13014.734,15.587,0.558,175.746
-11880,13830,13239.688,15.349,0.551,69.752
