year (AD),age (BP),d13C (permil),corec_d180 (permil),d18O (permil)
1441.985,508.015,-7.979,-3.134,-3.134
1431.844,518.156,-7.21,-3.208,-3.208
1421.703,528.297,-7.291,-3.131,-3.131
1416.632,533.368,-8.006,-3.062,-3.062
1411.562,538.438,-7.144,-2.988,-2.988
1406.492,543.508,-7.053,-3.112,-3.112
1401.421,548.579,-6.703,-3.089,-3.089
1396.351,553.649,-6.857,-2.994,-2.994
1391.28,558.72,-7.46,-2.902,-2.902
1381.139,568.861,-7.087,-3.056,-3.056
1380.87,569.13,-8.027,-3.344,-3.344
1370.999,579.001,-7.608,-2.948,-2.948
1365.928,584.072,-8.52,-3.47,-3.47
1360.858,589.142,-7.243,-3.394,-3.394
1350.717,599.283,-7.349,-3.285,-3.285
1345.646,604.354,-6.489,-3.186,-3.186
1340.576,609.424,-6.948,-3.199,-3.199
1330.435,619.565,-6.664,-3.137,-3.137
1325.365,624.635,-7.907,-3.353,-3.353
1320.294,629.706,-7.269,-3.208,-3.208
1315.224,634.776,-6.034,-3.042,-3.042
1310.154,639.846,-6.889,-3.109,-3.109
1305.083,644.917,-5.993,-3.231,-3.231
1294.942,655.058,-6.897,-3.481,-3.481
1289.872,660.128,-6.455,-3.193,-3.193
1274.661,675.339,-6.71,-3.144,-3.144
1264.52,685.48,-7.419,-3.543,-3.543
1254.379,695.621,-7.271,-3.163,-3.163
1249.308,700.692,-6.783,-2.996,-2.996
1244.238,705.762,-7.155,-3.104,-3.104
1240.428,709.572,-7.946,-3.223,-3.223
1239.168,710.832,-8.024,-3.238,-3.238
1234.097,715.903,-7.189,-3.071,-3.071
1223.956,726.044,-6.737,-3.084,-3.084
1218.886,731.114,-7.046,-3.126,-3.126
1213.815,736.185,-7.319,-3.159,-3.159
1203.675,746.325,-7.948,-3.2,-3.2
1198.604,751.396,-6.349,-3.262,-3.262
1188.463,761.537,-8.462,-3.45,-3.45
1178.323,771.677,-7.749,-3.326,-3.326
