depth (cm),age (BP),temperature (degC),uncertainty (unitless),uncertainty (unitless),reliable (unitless)
0,0,6.619,7.319,5.918,Y
4,43,4.665,5.365,3.964,Y
8,201.8,3.178,3.878,2.478,Y
12,379.4,3.864,4.564,3.163,Y
16,557,4.477,5.178,3.777,Y
20,734.6,4.723,5.423,4.023,Y
24,912.2,4.714,5.414,4.013,Y
28,1089.8,4.786,5.486,4.085,Y
32,1238,4.595,5.296,3.895,Y
36,1330,3.847,4.547,3.146,Y
40,1458,5.447,6.148,4.747,Y
44,1608,5.6,6.3,4.899,Y
48,1758,4.241,4.941,3.541,Y
52,1889,5.024,5.724,4.324,Y
56,2009,5.441,6.141,4.741,Y
60,2117,5.182,5.882,4.482,Y
64,2223,4.252,4.953,3.552,Y
68,2316,4.715,5.415,4.014,Y
72,2582,5.109,5.809,4.409,Y
76,2718,4.936,5.637,4.236,Y
80,2914,5.285,5.985,4.584,Y
84,3121,5.028,5.728,4.328,Y
88,3290,4.503,5.203,3.803,Y
92,3458,5.43,6.13,4.73,Y
96,3627,5.599,6.3,4.899,Y
100,3796,6.125,6.825,5.425,Y
104,3965,6.196,6.896,5.496,Y
108,4128,6.076,6.776,5.376,Y
112,4258,6.159,6.859,5.459,Y
116,4366,5.263,5.963,4.562,Y
120,4474,6.019,6.719,5.319,Y
124,4582,5.038,5.738,4.338,Y
128,4690,6.097,6.797,5.397,Y
132,4799,6.409,7.11,5.709,Y
136,4907,6.305,7.005,5.605,Y
140,5014,5.828,6.528,5.128,Y
144,5123,6.617,7.317,5.917,Y
148,5231,6.027,6.727,5.327,Y
152,5339,6.43,7.13,5.73,Y
156,5447,6.962,7.662,6.262,Y
160,5555,6.544,7.244,5.844,Y
