depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,0,18.914,-11.943,4.289,1112.143
20,315,19.7,-11.6,4.948,1041
40,642,19.914,-11.157,5.194,1050.714
60,993,19.443,-11.071,4.969,1053.429
80,1387,19.914,-11.157,5.194,1050.714
100,1930,20.071,-11.657,5.136,839
120,2602,19.986,-11.371,5.144,890.143
140,3318,19.943,-12.2,4.868,795.857
160,3990,19.457,-12.071,4.561,895.429
180,4536,19.857,-12.3,4.775,797.286
200,4929,20.086,-11.714,5.155,963.429
220,5203,19.971,-11.343,5.165,935
240,5390,19.557,-11.929,4.765,908.571
260,5526,19.671,-11.7,4.908,822.857
