age (BP),ELA (m)
-51.005,1534463.674
-31.805,1482521.646
-12.605,1413057.093
6.595,1411213.196
25.795,1407310.241
44.995,1389727.554
64.195,1361591.67
83.395,1394802.858
102.595,1397264.585
121.795,1392307.595
140.995,1394670.01
160.195,1351734.896
179.395,1360090.252
198.595,1361592.406
217.795,1348594.683
236.995,1369199.891
256.195,1354320.753
275.395,1375364.634
294.595,1390111.04
313.795,1375574.111
332.995,1355076.423
352.195,1344700.705
371.395,1354560.733
390.595,1390357.038
409.795,1368383.53
428.995,1373780.588
448.195,1383180.373
467.395,1402119.118
486.595,1411839.784
505.795,1391558.129
524.995,1381250.006
544.195,1394312.893
563.395,1402548.416
582.595,1405670.102
601.795,1395176.72
620.995,1417763.234
640.195,1389686.691
659.395,1425236.371
678.595,1393777.131
684.642,1390301.445
699.802,1413957.464
714.963,1392631.709
730.124,1389256.316
745.284,1392878.249
760.445,1378732.568
775.606,1390177.04
790.767,1400654.752
805.927,1419696.038
821.088,1424447.385
836.249,1410525.392
851.409,1410994.394
866.57,1420529.498
881.731,1356867.844
896.892,1368187.907
912.052,1366468.888
927.213,1372813.017
942.374,1387384.139
957.534,1375589.315
972.695,1392363.829
987.856,1403399.188
1003.017,1414400.792
1018.177,1419196.561
1033.338,1412249.887
1048.499,1410802.02
1063.659,1413459.453
1078.82,1417962.453
1093.981,1408716.11
1109.142,1405750.357
1124.302,1404353.688
1139.463,1388265.434
1154.624,1385862.597
1169.784,1384641.875
1184.945,1384653.605
1200.106,1374594.426
1215.267,1352350.653
1230.427,1355868.702
1245.588,1353630.257
1260.749,1354378.983
1275.909,1364013.695
1291.07,1364549.482
1306.231,1363864.558
1321.392,1364400.263
1336.552,1378446.751
1351.713,1384633.755
1366.874,1389816.363
1382.034,1398129.919
1397.195,1399496.13
1412.356,1397510.938
1427.517,1387572.102
1442.677,1398919.501
1457.838,1388864.277
1472.999,1381205.522
1488.159,1381166.77
1503.32,1387331.733
1518.481,1389441.71
1533.642,1399699.755
1548.802,1412025.257
1563.963,1418496.215
1579.124,1419683.648
1594.284,1412855.659
1609.445,1408746.381
1624.606,1433788.149
1639.767,1427333.333
1654.927,1421737.805
1670.088,1418676.035
1685.249,1424044.818
1700.409,1419489.945
1715.57,1423955.054
1730.731,1422827.889
1745.892,1414251.335
1761.052,1431106.056
1776.213,1426506.07
1791.374,1446026.463
1806.534,1450513.333
1821.695,1457900.976
1836.856,1464144.418
1852.017,1446143.791
1872.545,1448250.614
1893.073,1448942.243
1913.601,1457903.144
1934.129,1467603.982
1954.657,1449358.386
1975.185,1463409.833
1995.713,1426007.559
2016.242,1417951.48
2036.77,1414474.224
2057.298,1426164.927
2077.826,1436598.85
2098.354,1439704.258
2118.882,1450298.753
2139.41,1449039.152
2159.938,1431273.853
2180.467,1412820.57
2200.995,1421230.787
2309.236,1430620.122
2417.477,1452851.274
2525.719,1457364.873
2633.96,1457277.702
2742.202,1460766.063
2850.443,1445118.107
2958.684,1461577.104
3066.926,1467116.052
3175.167,1466606.958
3283.408,1474284.003
3391.65,1467174.609
3499.891,1474032.978
3608.133,1483121.958
3716.374,1479011.676
3824.615,1462079.444
3932.857,1493480.823
4041.098,1492100.578
4149.339,1497685.109
4257.581,1505633.485
4365.822,1516337.708
4474.064,1467478.787
4582.305,1474324.352
4690.546,1460877.003
4798.788,1440021.363
4907.029,1436365.729
5015.27,1446095.293
5123.512,1478392.901
5231.753,1487059.424
5339.995,1491125
5448.236,1500500
5556.477,1519875
5664.719,1559250
5772.96,1558625
5881.202,1558000
6339.579,1557000
6564.551,1556000
6789.27,1555000
7013.239,1554000
7235.949,1552500
7456.89,1551000
7675.554,1549500
7891.439,1548000
8104.065,1544600
8312.982,1541200
8518.066,1537800
8719.432,1534400
8917.2,1531000
9111.488,1526750
9302.413,1524625
9490.094,1522500
9674.645,1450375
9777.891,1433250
9886.133,1176125
9994.374,1174000
10034.832,1172333.333
10102.615,1330666.667
10210.857,1329000
10319.098,1327333.333
10383.909,1325666.667
10427.339,1154000
10535.581,1152333.333
10643.822,1300666.667
10722.814,1299000
10752.064,1297333.333
10860.305,1295666.667
10968.546,1294000
11076.788,1133000
11133.565,1132000
11185.029,1131000
11214.144,1130000
11293.27,1279000
11373.849,1278000
11401.512,1277000
11453.003,1276000
11531.712,1275000
