depth (cm),age (BP),temperature (degC)
481,-42.4,11.468
485,73.65,10.962
489,197.44,10.423
493,321,10.805
500,537.87,11.122
508,785.45,10.642
514,971.13,11.058
522,1218.72,10.645
530,1466.3,11.536
538,1713.88,10.691
546,1961.46,11.421
554,2209.94,10.897
558,2332.84,10.882
562,2456.63,11.199
566,2580.42,10.951
570,2704.21,10.759
574,2828,11.138
578,2951.79,11.361
586,3199.37,11.628
594,3446.95,10.878
602,3694.54,11.542
610,3942.12,11.467
618,4189.7,11.363
626,4437.28,11.938
634,4684.87,11.389
642,4932.45,11.626
650,5180.03,11.131
658,5427.61,11.224
666,5675.19,11.122
674,5922.78,11.719
682,6170.36,11.431
690,6417.94,11.871
698,6665.52,12.052
706,6913.1,12.196
714,7160.69,11.57
722,7408.27,11.946
726,7532.06,12.138
730,7655.85,12.211
734,7779.64,11.9
738,7903.43,12.46
742,8027.22,12.111
746,8151.01,11.977
750,8274.81,12.027
754,8398.6,12.051
758,8522.39,12.546
762,8646.18,12.461
766,8769.97,12.651
770,8893.76,12.361
