depth (cm),age (BP),ROI (percent)
0.2,429,61.3
0.4,437,60.6
0.6,446,60.5
0.8,454,60.9
1,462,59.8
1.2,470,59.6
1.4,478,60.3
1.6,486,60.7
1.8,495,60.5
2,503,61
2.2,511,62.2
2.4,519,60.6
2.6,527,62.1
2.8,536,61.6
3,544,65.9
3.2,552,63.5
3.4,560,64.3
3.6,568,61.7
3.8,577,65.8
4,585,60.4
4.2,593,66.2
4.4,601,63.6
4.6,609,67.4
4.8,618,63
5,626,63.8
5.2,634,65.3
5.4,642,65
5.6,650,64.6
5.8,659,64.1
6,667,64.9
6.2,675,64.1
6.4,683,65.4
6.6,691,62.6
6.8,700,63.2
7,708,66
7.2,716,63.2
7.4,724,64.1
7.6,732,65.5
7.8,741,67
8,749,61.6
8.2,757,61.1
8.4,765,61
8.6,773,57.1
8.8,782,59.4
9,790,61.9
9.2,798,60.8
9.4,806,59.6
9.6,814,61.6
9.8,823,62.8
10,831,58.7
10.2,839,56.3
10.4,847,60
10.6,855,59.3
10.8,864,58.6
11,872,59.3
11.2,880,58
11.4,888,58.2
11.6,896,59.2
11.8,905,58.1
12,913,59.2
12.2,921,62.1
12.4,929,59.9
12.6,937,57.6
12.8,946,55.2
13,954,55.5
13.2,962,57.9
13.4,970,57.7
13.6,978,58.9
13.8,987,58.4
14,995,56.6
14.2,1003,58.3
14.4,1011,58.1
14.6,1019,59.2
14.8,1027,57
15,1036,58.3
15.2,1044,58.7
15.4,1052,57.6
15.6,1060,59.6
15.8,1068,59.5
16,1077,62.3
16.2,1085,61.7
16.4,1093,61.9
16.6,1101,60.5
16.8,1109,60.8
17,1118,62.7
17.2,1126,62.6
17.4,1134,62.2
17.6,1142,63.6
17.8,1150,63
18,1159,62.3
18.2,1167,61.7
18.4,1175,63
18.6,1183,61.6
18.8,1191,63.1
19,1200,61.9
19.2,1208,61.8
19.4,1216,63.6
19.6,1224,63.4
19.8,1232,64.1
20,1241,63.8
20.2,1249,63.9
20.5,1261,64.3
20.8,1273,67.9
21.1,1286,65
21.4,1298,64.7
21.7,1310,69.3
22,1323,69
22.3,1335,66.1
22.6,1347,64.9
22.9,1359,65.2
23.2,1372,65.6
23.5,1384,66.2
23.8,1396,63.7
24.1,1409,64.6
24.4,1421,66.7
24.7,1433,69.4
25,1446,69.8
25.3,1458,68
25.6,1470,66.7
25.9,1482,65.6
26.2,1495,65.7
26.5,1507,66.7
26.8,1519,68.1
27.1,1532,68.3
27.4,1544,61.1
27.7,1556,65.1
28,1569,66
28.3,1581,64.5
28.6,1593,63.9
28.9,1605,66.9
29.2,1618,62.1
29.5,1630,62.5
29.8,1642,60.7
30.1,1655,65.2
30.4,1667,62.7
30.7,1679,61.9
31,1691,61.7
31.3,1704,62.3
31.6,1716,63.8
31.9,1728,61
32.2,1741,64.4
32.5,1753,63.8
32.8,1765,64.7
33.1,1778,64.5
33.4,1790,66.8
33.7,1802,67.2
34,1814,66.1
34.3,1827,65.4
34.6,1839,65
34.9,1851,63.7
35.2,1864,66.7
35.5,1876,66.2
35.8,1888,65.4
36.1,1900,64.1
36.4,1913,63.7
36.7,1925,55.8
37.2,1946,56.9
37.5,1958,64.2
37.8,1970,64.8
38.1,1982,64.8
38.4,1995,67.1
38.7,2007,70.7
39,2019,70.5
39.3,2032,65.4
39.6,2044,65.4
39.9,2056,66.3
40.2,2069,66.7
40.5,2081,70.1
40.8,2093,69.5
41.1,2105,68.6
41.4,2118,69.1
41.7,2130,66.1
42,2142,61.6
42.3,2155,61.1
42.6,2167,60.9
42.9,2179,62.9
43.2,2191,60.5
43.5,2204,60.6
43.8,2216,61.2
44.1,2228,62
44.4,2241,59
44.7,2253,62.1
45,2265,60.9
45.3,2278,61.2
45.6,2290,62
45.9,2302,61.4
46.2,2314,61.8
46.5,2327,59
46.8,2339,59.6
47.1,2351,58.7
47.4,2364,60.4
47.7,2376,61.6
48,2388,62.3
48.3,2401,62.7
48.6,2413,65.1
48.9,2425,65
49.2,2437,64.5
49.5,2450,65.3
49.8,2462,63.8
50.1,2474,64.5
50.4,2487,65.6
50.7,2499,66.1
51,2511,68.1
51.3,2523,66.9
51.6,2536,65.9
51.9,2548,65
52.5,2573,63.9
52.8,2585,62.8
53.1,2597,63.6
53.4,2610,66.3
53.7,2622,67
54,2634,68.3
54.3,2646,65
54.6,2659,63.4
54.9,2671,63.1
55.2,2683,61.5
55.5,2696,69.6
55.8,2708,69.9
56.1,2720,69.3
56.4,2732,71.6
56.7,2745,74.5
57,2757,75.4
57.3,2769,72
57.6,2782,69.4
57.9,2794,67.3
58.2,2806,66.8
58.5,2819,65.8
58.8,2831,66.1
59.1,2843,67.2
59.4,2855,67.3
59.7,2868,67.5
60,2880,66.3
60.3,2892,67.3
60.6,2905,68
60.9,2917,66.4
61.2,2929,65
61.5,2942,63.9
61.8,2954,66.5
62.1,2966,67.4
62.4,2978,65.2
62.7,2991,65.6
63,3003,65.4
63.3,3015,63.9
63.6,3028,64.4
63.9,3040,64.1
64.2,3052,64.6
64.5,3064,63.8
64.8,3077,63.9
65.1,3089,62.5
65.4,3101,61.6
65.7,3114,63.3
66.1,3130,63.7
66.4,3142,60.8
66.7,3155,63.1
67,3167,64
67.3,3179,65.1
67.6,3192,65.4
67.9,3204,63.8
68.2,3216,64.5
68.5,3228,66.3
68.8,3241,67.8
69.1,3253,65.7
69.4,3265,66.8
69.7,3278,68.1
70,3290,69
70.3,3302,68.3
70.6,3314,72.7
70.9,3327,73.5
71.2,3339,72.4
71.5,3351,71.4
71.8,3364,70.8
72.1,3376,70.6
72.4,3388,71.6
72.7,3401,71.6
73,3413,71.2
73.3,3425,71.5
73.6,3437,70.4
73.9,3450,68.4
74.2,3462,67.4
74.5,3474,67.4
74.8,3487,66.5
75.1,3499,64.6
75.4,3511,66.8
75.7,3524,67.7
76,3536,69.5
76.3,3548,68.2
76.6,3560,68.3
76.9,3573,67.7
77.2,3585,66.9
77.5,3597,67.8
77.8,3610,67.5
78.1,3622,67.4
78.4,3634,66
78.7,3646,65.3
79,3659,65.3
79.3,3671,65.3
79.6,3683,65.9
79.9,3696,66.4
80.2,3708,69
80.5,3720,74
80.8,3733,70
81.1,3745,70
81.5,3761,74.6
81.8,3774,74.1
82.1,3786,76.1
82.4,3798,77.6
82.7,3810,76.9
83,3823,73.7
83.3,3835,70.8
83.6,3847,67.9
83.9,3860,67.1
84.2,3872,66.1
84.5,3884,67.4
84.8,3896,65.4
85.1,3909,63.7
85.4,3921,62.7
85.7,3933,62.3
86,3946,62
86.3,3958,64.6
86.6,3970,67
86.9,3983,67.9
87.2,3995,67.3
87.5,4007,67.5
87.8,4019,68.8
88.5,4046,69.6
88.8,4058,69.1
89.1,4071,70
89.4,4083,69.1
89.7,4095,69.2
90,4108,69.4
90.3,4120,69.2
90.6,4132,68.9
90.9,4144,68
91.2,4157,67.6
91.5,4169,66.5
91.8,4181,65.8
92.1,4194,67
92.3,4206,65.8
92.7,4218,65.5
93,4232,67
93.3,4245,67.8
93.5,4262,67.7
93.9,4277,68.3
94.2,4293,68.6
94.5,4308,67.2
94.8,4323,67
95.1,4338,67
95.4,4354,66.9
95.7,4369,67.1
96,4384,67.4
96.3,4399,68.2
96.6,4415,67.6
96.9,4430,72.5
97.2,4445,68.9
97.5,4460,65.2
97.8,4476,65.2
98.1,4491,65.7
98.4,4506,65.3
98.7,4521,66.8
99,4537,66.6
99.4,4559,68.2
99.7,4575,66.8
100,4590,65.7
100.3,4605,66.8
100.6,4620,65.9
100.9,4636,65.4
101.2,4651,66.6
101.5,4666,65.4
101.8,4681,64.8
102.1,4697,65.3
102.4,4712,66
102.7,4727,65.3
103,4742,65.7
103.3,4758,67
103.6,4773,65.7
103.9,4788,66
104.2,4803,67.9
