age (BP) [1-1],d18O (permil) [1-1],age (BP) [2-1],d18O (permil) [2-1]
-32.7,-23.985,-32.4,-23.944
-22.7,-24.499,-22.4,-23.286
-12.7,-24.133,-12.4,-23.03
-2.7,-23.894,-2.4,-23.222
7.3,-24.832,7.6,-24.05
17.3,-24.097,17.6,-23.89
27.3,-23.724,27.6,-22.721
37.3,-24.11,37.6,-23.839
47.3,-23.042,47.6,-23.621
57.3,-23.978,57.6,-23.161
67.3,-23.917,67.6,-23.098
77.3,-24.572,77.6,-23.625
87.3,-24.459,87.6,-23.886
97.3,-23.944,97.6,-23.852
107.3,-24.692,107.6,-24.285
117.3,-24.069,117.6,-24.404
127.3,-25.025,127.6,-23.861
137.3,-25.063,137.6,-24.119
147.3,-24.158,147.6,-24.285
157.3,-23.974,157.6,-24.754
167.3,-24.455,167.6,-23.838
177.3,-24.694,177.6,-23.625
187.3,-24.41,187.6,-24.27
197.3,-23.844,197.6,-24.532
207.3,-24.617,207.6,-23.939
217.3,-24.695,217.6,-24.141
227.3,-24.457,227.6,-23.864
237.3,-25.087,237.6,-24.331
247.3,-24.868,247.6,-24.66
257.3,-24.606,257.6,-24.059
267.3,-24.427,267.6,-23.739
277.3,-24.281,277.6,-24.103
287.3,-24.644,287.6,-23.002
297.3,-25.125,297.6,-23.775
307.3,-23.75,307.6,-24.12
317.3,-23.581,317.6,-23.367
327.3,-23.717,327.6,-23.856
337.3,-23.503,337.6,-23.536
347.3,-23.438,347.6,-24.033
357.3,-24.624,357.6,-23.204
367.3,-23.935,367.6,-24.303
377.3,-23.859,377.6,-23.905
387.3,-24.474,387.6,-23.741
397.3,-24.668,397.6,-24.242
407.3,-25.063,407.6,-24.648
417.3,-24.673,417.6,-24.431
427.3,-24.977,427.6,-23.616
437.3,-24.246,437.6,-23.966
447.3,-23.552,447.6,-23.613
457.3,-23.389,457.6,-24.265
467.3,-24.831,467.6,-24.042
477.3,-24.669,477.6,-23.532
487.3,-24.49,487.6,-23.944
497.3,-23.804,497.6,-24.389
507.3,-24.506,507.6,-23.999
517.3,-23.994,517.6,-23.652
527.3,-23.735,527.6,-24.192
537.3,-23.978,537.6,-22.877
547.3,-24.137,547.6,-24.12
557.3,-24.519,557.6,-23.398
567.3,-24.205,567.6,-24.218
577.3,-23.612,577.6,-24.637
587.3,-23.835,587.6,-24.697
597.3,-23.914,597.6,-23.818
607.3,-24.192,607.6,-22.593
617.3,-24.117,617.6,-23.401
627.3,-24.25,627.6,-23.072
637.3,-23.836,637.6,-23.411
647.3,-24.013,647.6,-23.473
657.3,-24.706,657.6,-23.27
667.3,-24.347,667.6,-23.251
677.3,-25.114,677.6,-22.933
687.3,-24.207,687.6,-24.204
697.3,-24.529,697.6,-23.506
707.3,-24.591,707.6,-23.599
717.3,-23.408,717.6,-23.708
727.3,-23.804,727.6,-24.375
737.3,-25.018,737.6,-24.09
747.3,-23.557,747.6,-23.328
757.3,-24.187,757.6,-23.627
767.3,-23.117,767.6,-23.923
777.3,-25.176,777.6,-23.446
787.3,-24.341,787.6,-23.305
797.3,-23.699,797.6,-23.728
807.3,-24.472,807.6,-24.227
817.3,-24.167,817.6,-23.762
827.3,-24.088,827.6,-23.322
837.3,-24.553,837.6,-23.761
847.3,-24.409,847.6,-23.066
857.3,-23.402,857.6,-23.447
867.3,-24.68,867.6,-23.526
877.3,-24.295,877.6,-23.443
887.3,-24.029,887.6,-23.445
897.3,-24.314,897.6,-23.752
907.3,-23.998,907.6,-24.03
917.3,-24.152,917.6,-24.269
927.3,-24.218,927.6,-23.649
937.3,-24.527,937.6,-23.325
947.3,-24.303,947.6,-23.714
957.3,-24.962,957.6,-23.846
967.3,-24.418,967.6,-23.578
977.3,-24.924,977.6,-23.486
987.3,-23.543,987.6,-23.701
997.3,-24.003,997.6,-23.422
1007.3,-23.49,1007.6,-23.668
1017.3,-23.987,1017.6,-23.398
1027.3,-24.626,1027.6,-23.892
1037.3,-23.938,1037.6,-23.318
1047.3,-23.672,1047.6,-23.474
1057.3,-23.909,1057.6,-22.932
1067.3,-24.466,1067.6,-23.033
1077.3,-24.227,1077.6,-23.54
1087.3,-24.378,1087.6,-23.402
1097.3,-24.54,1097.6,-23.227
1107.3,-23.907,1107.6,-24.285
1117.3,-24.239,1117.6,-23.576
1127.3,-23.97,1127.6,-23.242
1137.3,-24.201,1137.6,-22.814
1147.3,-24.623,1147.6,-23.535
1157.3,-23.756,1157.6,-24.054
1167.3,-24.012,1167.6,-23.425
1177.3,-24.067,1177.6,-22.443
1187.3,-24.34,1187.6,-23.038
1197.3,-23.761,1197.6,-23.104
1207.3,-24.369,1207.6,-23.463
1217.3,-24.139,1217.6,-23.336
1227.3,-24.162,1227.6,-22.894
1237.3,-23.899,1237.6,-23.039
1247.3,-24.478,1247.6,-23.058
1257.3,-25.131,1257.6,-23.52
1267.3,-24.414,1267.6,-23.835
1277.3,-23.834,1277.6,-23.044
1287.3,-23.888,1287.6,-22.952
1297.3,-24.734,1297.6,-23.013
1307.3,-24.439,1307.6,-22.811
1317.3,-24.154,1317.6,-22.745
1327.3,-24.212,1327.6,-23.284
1337.3,-24.708,1337.6,-23.028
1347.3,-23.865,1347.6,-22.73
1357.3,-24.201,1357.6,-23.192
1367.3,-24.419,1367.6,-23.426
1377.3,-23.643,1377.6,-23.395
1387.3,-24.286,1387.6,-22.968
1397.3,-24.197,1397.6,-22.938
1407.3,-23.468,1407.6,-22.701
1417.3,-23.674,1417.6,-23.147
1427.3,-24.401,1427.6,-23.136
1437.3,-24.05,1437.6,-22.817
1447.3,-23.311,1447.6,-22.959
1457.3,-23.287,1457.6,-22.953
1467.3,-24.581,1467.6,-23.16
1477.3,-24.179,1477.6,-23.364
1487.3,-24.215,1487.6,-22.965
1497.3,-24.152,1497.6,-22.883
1507.3,-24.173,1507.6,-22.983
1517.3,-25.36,1517.6,-23.335
1527.3,-23.409,1527.6,-22.971
1537.3,-23.846,1537.6,-23.063
1547.3,-23.943,1547.6,-23.154
1557.3,-23.853,1557.6,-23.055
1567.3,-23.184,1567.6,-23.143
1577.3,-24.564,1577.6,-23.321
1587.3,-23.453,1587.6,-22.932
1597.3,-24.147,1597.6,-23.127
1607.3,-24.021,1607.6,-23.27
1617.3,-24.346,1617.6,-23.25
1627.3,-24.342,1627.6,-22.905
1637.3,-23.747,1637.6,-22.593
1647.3,-25.113,1647.6,-22.91
1657.3,-24.553,1657.6,-23.366
1667.3,-23.758,1667.6,-23.003
1677.3,-24.034,1677.6,-22.832
1687.3,-24.358,1687.6,-23.03
1697.3,-24.395,1697.6,-23.249
1707.3,-24.813,1707.6,-23.27
1717.3,-23.561,1717.6,-23.292
1727.3,-24.047,1727.6,-23.314
1737.3,-24.829,1737.6,-23.157
1747.3,-25.347,1747.6,-22.773
1757.3,-23.685,1757.6,-23.079
1767.3,-23.648,1767.6,-22.91
1777.3,-22.983,1777.6,-22.975
1787.3,-23.589,1787.6,-22.807
1797.3,-23.5,1797.6,-23.02
1807.3,-23.165,1807.6,-23.711
1817.3,-24.303,1817.6,-23.31
1827.3,-24.258,1827.6,-23.302
1837.3,-24.127,1837.6,-23.208
1847.3,-24.356,1847.6,-23.096
1857.3,-24.052,1857.6,-23.01
1867.3,-23.51,1867.6,-23.224
1877.3,-23.969,1877.6,-23.309
1887.3,-24.285,1887.6,-23.1
1897.3,-23.626,1897.6,-23.162
1907.3,-23.426,1907.6,-23.078
1917.3,-23.73,1917.6,-22.961
1927.3,-23.842,1927.6,-23.07
1937.3,-24.551,1937.6,-22.891
1947.3,-24.829,1947.6,-23.091
1957.3,-24.5,1957.6,-23.375
1967.3,-23.575,1967.6,-23.26
1977.3,-24.255,1977.6,-22.605
1987.3,-23.841,1987.6,-22.504
1997.3,-24.111,1997.6,-22.76
2007.3,-23.159,2007.6,-22.366
2017.3,-23.614,2017.6,-22.11
2027.3,-24.014,2027.6,-23.118
2037.3,-23.714,2037.6,-23.3
2047.3,-23.848,2047.6,-23.225
2057.3,-23.538,2057.6,-23.17
2067.3,-24.079,2067.6,-22.966
2077.3,-24.14,2077.6,-22.39
2087.3,-23.8,2087.6,-22.39
2097.3,-23.474,2097.6,-23.186
2107.3,-23.701,2107.6,-23.51
2117.3,-24.038,2117.6,-23.503
2127.3,-23.915,2127.6,-23.45
2137.3,-23.237,2137.6,-23.45
2147.3,-24.29,2147.6,-22.834
2157.3,-24.766,2157.6,-22.12
2167.3,-23.866,2167.6,-22.12
2177.3,-24.714,2177.6,-22.148
2187.3,-24.175,2187.6,-22.16
2197.3,-23.715,2197.6,-22.16
2207.3,-23.755,2207.6,-22.619
2217.3,-23.792,2217.6,-22.67
2227.3,-23.671,2227.6,-22.678
2237.3,-23.637,2237.6,-22.86
2247.3,-23.301,2247.6,-22.86
2257.3,-23.387,2257.6,-23.571
2267.3,-22.855,2267.6,-23.78
2277.3,-23.726,2277.6,-23.513
2287.3,-23.217,2287.6,-23.2
2297.3,-23.965,2297.6,-23.227
