depth (mm),age (BP),temperature (degC)
8010,-49,9.459
8020,13.963,10.197
8030,97.841,9.554
8040,181.542,9.728
8050,264.964,10.053
8060,348.004,8.523
8070,430.559,8.941
8080,512.528,8.932
8100,674.291,9.561
8120,832.474,9.943
8160,1134.81,8.974
8190,1346.136,9.689
8230,1605.795,9.438
8270,1842.568,9.685
8310,2059.185,9.912
8350,2258.378,7.96
8390,2442.88,8.499
8430,2615.422,9.25
8470,2778.735,10.204
8510,2935.552,9.475
8550,3088.605,8.24
8590,3240.585,9.281
8630,3393.286,9.252
8670,3547.598,9.76
8710,3704.374,9.067
8750,3864.467,9.133
8790,4028.729,9.807
8830,4198.013,10.527
8870,4373.171,10.956
8910,4555.055,10.957
8950,4744.357,10.22
8990,4941.125,9.124
9030,5145.245,9.493
9070,5356.604,9.241
9120,5630.81,10.101
9160,5858.042,10.031
9200,6092.146,10.358
9240,6333.006,11.349
9280,6580.511,10.217
9290,6643.412,10.029
9310,6770.432,9.973
9330,6899.063,9.204
9340,6963.979,8.915
9350,7029.292,9.347
9380,7227.598,10.742
9400,7361.758,9.514
9410,7429.419,9.811
9420,7497.461,9.249
9440,7634.648,9.636
9450,7703.773,10.365
9460,7773.239,10.02
9480,7913.156,9.593
9500,8054.317,9.858
9540,8340.057,9.752
9560,8484.475,9.348
9570,8557.036,8.871
9580,8629.819,9.113
9620,8922.966,8.857
9640,9070.61,9.272
9660,9218.864,9.501
9670,9293.197,9.612
9690,9442.227,10.541
9700,9516.905,10.845
9720,9666.542,9.941
9740,9816.49,10.156
9780,10116.98,10.245
9820,10417.747,10.317
9840,10568.138,10.689
9860,10718.529,11.726
9880,10868.921,12.738
9900,NA,NA
9920,NA,NA
9940,NA,NA
9960,NA,NA
9970,NA,NA
9980,NA,NA
