age (bp) [1-1],depth (cm) [1-1],depth_top (mm) [1-1],depth_bot (mm) [1-1],age14C (bp) [1-1],age_error (1_s) [1-1],cal_age_error (2s) [1-1],sample_id () [1-1],thickness (mm) [1-1],age (bp) [2-1],depth (cm) [2-1],depth_top (mm) [2-1],depth_bot (mm) [2-1],age14C (bp) [2-1],age_error (1_s) [2-1],cal_age_error (2s) [2-1],sample_id () [2-1],thickness (mm) [2-1],age_type () [2-1],rejected_dates () [2-1],material_dated () [2-1]
-52,0,0,0,NA,NA,0,NA,0,-52,0,0,0,NA,NA,0,NA,0,2,NA,NA
4294,21.5,210,220,3860,20,NA,24250,10,617,11.5,110,120,610,15,NA,37861,10,1,NA,1
5618,43.5,430,440,4880,80,NA,37855,10,2335,75.5,750,760,2290,15,NA,37862,10,1,NA,1
7358,75.5,750,760,6640,10,NA,24251,10,1523.5,99.5,990,1000,1640,15,NA,37863,10,1,1,1
10047,144.5,1440,1450,8835,35,NA,24252,10,6684,239,2380,2400,5840,15,NA,37864,20,1,NA,1
10591,156.5,1560,1570,9280,100,NA,37856,10,9510,326.5,3260,3270,8530,25,NA,37865,10,1,NA,1
10912,161.5,1610,1620,9610,100,NA,37857,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14124,218.5,2170,2200,12410,100,NA,37858,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14405,227,2260,2280,12430,310,NA,37859,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15001,245.5,2450,2460,12580,120,NA,37860,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
