year (AD),age (BP),IP25_flux (gcm-2yr-1)
1511.1,438.9,14.136
1505,445,12.669
1499,451,10.832
1492.9,457.1,13.358
1486.9,463.1,9.785
1480.8,469.2,9.622
1474.8,475.2,8.668
1468.7,481.3,9.484
1462.6,487.4,11.659
1456.5,493.5,9.579
1450.4,499.6,8.433
1444.2,505.8,11.069
1438.1,511.9,9.677
1431.9,518.1,7.058
1425.7,524.3,7.078
1419.6,530.4,6.012
1413.4,536.6,8.649
1407.2,542.8,6.862
1401,549,6.615
1394.7,555.3,7.959
1388.5,561.5,9.376
1382.2,567.8,8.788
1376,574,7.952
1369.7,580.3,9.503
1363.4,586.6,9.07
1357.1,592.9,12.298
1350.8,599.2,10.53
1344.5,605.5,6.467
1338.2,611.8,NA
1331.8,618.2,9.962
1325.5,624.5,9.482
1319.1,630.9,8.55
1312.7,637.3,7.945
1306.3,643.7,8.563
1299.9,650.1,7.266
1293.5,656.5,10.283
1287,663,NA
1280.6,669.4,3.878
1274.1,675.9,8.274
1267.7,682.3,8.33
1261.2,688.8,6.598
1254.7,695.3,10.646
1248.2,701.8,8.679
1241.6,708.4,6.824
1235.1,714.9,6.481
1228.5,721.5,6.881
1222,728,7.173
1215.4,734.6,5.213
1208.8,741.2,5.062
1202.2,747.8,5.356
1195.6,754.4,6.587
1189,761,8.229
1182.3,767.7,7.288
1175.7,774.3,6.816
1169,781,7.207
1162.3,787.7,6.134
1155.6,794.4,7.67
1148.9,801.1,7.155
1142.1,807.9,7.111
1135.4,814.6,7.744
1128.6,821.4,6.814
1121.9,828.1,7.049
1115.1,834.9,7.474
1108.3,841.7,8.002
1101.4,848.6,7.38
1094.6,855.4,9.061
1087.8,862.2,9.222
1080.9,869.1,8.079
1074,876,8.51
1067.1,882.9,7.207
1060.2,889.8,6.684
1053.3,896.7,8.01
1046.4,903.6,NA
1039.4,910.6,NA
1032.4,917.6,NA
1025.5,924.5,NA
1018.5,931.5,NA
1011.4,938.6,NA
1004.4,945.6,4.013
997.4,952.6,4.979
990.3,959.7,4.367
983.2,966.8,4.131
976.1,973.9,4.403
969,981,4.354
961.9,988.1,4.173
954.7,995.3,5.266
947.6,1002.4,10.42
940.4,1009.6,8.904
933.2,1016.8,7.906
926,1024,10.037
918.8,1031.2,6.445
911.5,1038.5,6.811
904.2,1045.8,4.542
897,1053,5.429
889.7,1060.3,6.53
882.4,1067.6,5.142
875,1075,5.387
867.7,1082.3,6.031
860.3,1089.7,5.687
852.9,1097.1,6.608
845.5,1104.5,6.452
838.1,1111.9,5.334
830.7,1119.3,5.637
823.2,1126.8,6.61
815.7,1134.3,8.115
808.2,1141.8,7.02
800.7,1149.3,7.348
793.2,1156.8,6.629
785.6,1164.4,7.788
778.1,1171.9,6.991
770.5,1179.5,7.814
762.9,1187.1,6.014
755.2,1194.8,6.571
747.6,1202.4,11.676
739.9,1210.1,8.308
732.3,1217.7,7.777
724.6,1225.4,7.812
716.8,1233.2,8.58
709.1,1240.9,7.735
701.3,1248.7,8.055
693.5,1256.5,7.188
685.7,1264.3,7.452
677.9,1272.1,9.512
670.1,1279.9,8.534
662.2,1287.8,6.362
654.3,1295.7,6.634
646.4,1303.6,6.465
638.5,1311.5,7.047
630.5,1319.5,5.906
622.6,1327.4,5.96
614.6,1335.4,8.758
606.6,1343.4,7.082
598.5,1351.5,8.757
590.5,1359.5,7.039
582.4,1367.6,8.035
574.3,1375.7,9.114
566.2,1383.8,11.29
558,1392,8.778
549.9,1400.1,10.004
541.7,1408.3,9.519
533.5,1416.5,8.279
525.2,1424.8,9.248
517,1433,8.712
508.7,1441.3,NA
500.4,1449.6,9.561
492,1458,6.651
483.7,1466.3,8.532
475.3,1474.7,8.913
466.9,1483.1,9.548
458.5,1491.5,8.253
450,1500,7.592
441.5,1508.5,7.682
433,1517,9.012
424.5,1525.5,7.247
416,1534,8.808
407.4,1542.6,7.518
398.8,1551.2,8.688
390.2,1559.8,8.793
381.5,1568.5,7.828
372.8,1577.2,9.482
364.1,1585.9,8.302
355.4,1594.6,9.579
346.6,1603.4,8.608
337.9,1612.1,8.056
329,1621,7.315
320.2,1629.8,8.236
311.3,1638.7,9.356
302.4,1647.6,9.134
293.5,1656.5,8.58
284.6,1665.4,7.341
275.6,1674.4,7.408
266.6,1683.4,5.496
257.5,1692.5,5.606
248.5,1701.5,5.833
239.4,1710.6,NA
230.3,1719.7,NA
221.1,1728.9,NA
