year (AD),age (BP),MTWM (degC)
1950,0,21.015
1900,50,21.176
1850,100,20.992
1800,150,20.616
1750,200,21.144
1700,250,20.826
1650,300,20.819
1600,350,20.811
1550,400,20.804
1500,450,20.855
1450,500,20.962
1400,550,21.068
1350,600,21.174
1300,650,21.113
1250,700,20.999
1200,750,20.885
1150,800,20.891
1100,850,20.966
1050,900,20.859
1000,950,20.604
950,1000,20.544
900,1050,20.695
850,1100,20.719
800,1150,20.554
750,1200,20.49
700,1250,20.635
650,1300,20.763
600,1350,20.845
550,1400,20.926
500,1450,20.873
450,1500,20.784
400,1550,20.68
350,1600,20.55
300,1650,20.42
250,1700,20.183
200,1750,19.941
150,1800,19.936
100,1850,20.137
50,1900,20.374
0,1950,20.87
-50,2000,21.001
-100,2050,21.095
-150,2100,21.19
-200,2150,21.285
-250,2200,21.275
-300,2250,21.245
-350,2300,21.215
-400,2350,21.185
-450,2400,21.203
-500,2450,21.263
-550,2500,21.322
-600,2550,21.382
-650,2600,21.405
-700,2650,21.299
-750,2700,21.193
-800,2750,21.087
-850,2800,20.981
-900,2850,21.204
-950,2900,21.46
-1000,2950,21.715
-1050,3000,21.97
-1100,3050,22.027
-1150,3100,21.954
-1200,3150,21.855
-1250,3200,21.724
-1300,3250,21.592
-1350,3300,21.46
-1400,3350,21.534
-1450,3400,21.597
-1500,3450,21.527
-1550,3500,22.003
-1600,3550,22.098
-1650,3600,22.126
-1700,3650,22.212
-1750,3700,22.206
-1800,3750,21.992
-1850,3800,21.778
-1900,3850,21.926
-1950,3900,22.084
-2000,3950,22.166
-2050,4000,22.203
-2100,4050,22.187
-2150,4100,22.045
-2200,4150,21.904
-2250,4200,21.86
-2300,4250,21.89
-2350,4300,21.92
-2400,4350,21.979
-2450,4400,22.049
-2500,4450,22.119
-2550,4500,22.141
-2600,4550,22.156
-2650,4600,22.171
-2700,4650,22.091
-2750,4700,22.011
-2800,4750,21.958
-2850,4800,22.058
-2900,4850,22.158
-2950,4900,22.207
-3000,4950,22.132
-3050,5000,22.057
-3100,5050,21.967
-3150,5100,21.857
-3200,5150,21.714
-3250,5200,21.55
-3300,5250,21.532
-3350,5300,21.514
-3400,5350,21.52
-3450,5400,21.61
-3500,5450,21.7
-3550,5500,21.786
-3600,5550,21.795
-3650,5600,21.804
-3700,5650,21.813
-3750,5700,21.703
-3800,5750,21.573
-3850,5800,21.443
-3900,5850,21.657
-3950,5900,21.996
-4000,5950,21.745
-4050,6000,21.751
-4100,6050,22.038
-4150,6100,21.953
-4200,6150,21.858
-4250,6200,21.863
-4300,6250,21.867
-4350,6300,21.858
-4400,6350,21.724
-4450,6400,21.589
-4500,6450,21.455
-4550,6500,21.403
-4600,6550,21.388
-4650,6600,21.372
-4700,6650,21.362
-4750,6700,21.433
-4800,6750,21.504
-4850,6800,21.575
-4900,6850,21.257
-4950,6900,20.445
-5000,6950,20.242
-5050,7000,20.399
-5100,7050,20.954
-5150,7100,21.6
-5200,7150,21.545
-5250,7200,21.524
-5300,7250,21.654
-5350,7300,21.784
-5400,7350,21.914
-5450,7400,22.044
-5500,7450,22.174
-5550,7500,22.304
-5600,7550,22.434
-5650,7600,22.281
-5700,7650,22.125
-5750,7700,22.093
-5800,7750,22.061
-5850,7800,22.026
-5900,7850,21.991
-5950,7900,21.961
-6000,7950,21.937
-6050,8000,21.966
-6100,8050,22.021
-6150,8100,21.952
-6200,8150,21.864
-6250,8200,21.776
-6300,8250,21.586
-6350,8300,21.154
-6400,8350,20.988
-6450,8400,21.076
-6500,8450,21.187
-6550,8500,21.306
-6600,8550,21.083
-6650,8600,20.885
-6700,8650,20.981
-6750,8700,21.077
-6800,8750,21.173
-6850,8800,21.301
-6900,8850,21.453
-6950,8900,21.605
-7000,8950,21.756
-7050,9000,21.702
-7100,9050,21.646
-7150,9100,21.59
-7200,9150,21.496
-7250,9200,21.351
-7300,9250,21.206
-7350,9300,21.068
-7400,9350,20.935
-7450,9400,20.823
-7500,9450,20.76
-7550,9500,20.728
-7600,9550,21.272
-7650,9600,20.894
-7700,9650,20.79
-7750,9700,21.155
-7800,9750,21.232
-7850,9800,20.89
-7900,9850,20.641
-7950,9900,20.635
-8000,9950,20.628
-8050,10000,20.583
-8100,10050,20.539
-8150,10100,20.436
-8200,10150,20.152
-8250,10200,20.061
-8300,10250,20.367
-8350,10300,20.413
-8400,10350,20.091
-8450,10400,20.125
-8500,10450,20.076
-8550,10500,19.926
-8600,10550,19.833
-8650,10600,19.919
-8700,10650,20.122
-8750,10700,19.861
-8800,10750,19.955
-8850,10800,20.162
-8900,10850,20.169
-8950,10900,20.163
-9000,10950,20.294
-9050,11000,20.417
