year (AD),age (BP),Bosten (missing)
1950,0,2
1900,50,2
1850,100,2
1800,150,2
1750,200,2
1700,250,2
1650,300,2
1600,350,2
1550,400,2
1500,450,2
1450,500,1
1400,550,1
1350,600,1
1300,650,1
1250,700,1
1200,750,1
1150,800,1
1100,850,1
1050,900,1
1000,950,1
950,1000,1
900,1050,2
850,1100,2
800,1150,2
750,1200,3
700,1250,3
650,1300,3
600,1350,3
550,1400,3
500,1450,3
450,1500,3
400,1550,3
350,1600,3
300,1650,3
250,1700,3
200,1750,3
150,1800,3
100,1850,3
50,1900,4
0,1950,4
-50,2000,4
-100,2050,4
-150,2100,2
-200,2150,2
-250,2200,2
-300,2250,2
-350,2300,2
-400,2350,2
-450,2400,2
-500,2450,2
-550,2500,2
-600,2550,2
-650,2600,2
-700,2650,2
-750,2700,2
-800,2750,2
-850,2800,2
-900,2850,2
-950,2900,2
-1000,2950,2
-1050,3000,2
-1100,3050,2
-1150,3100,2
-1200,3150,2
-1250,3200,3
-1300,3250,3
-1350,3300,3
-1400,3350,3
-1450,3400,3
-1500,3450,3
-1550,3500,2
-1600,3550,2
-1650,3600,2
-1700,3650,2
-1750,3700,2
-1800,3750,2
-1850,3800,2
-1900,3850,2
-1950,3900,3
-2000,3950,3
-2050,4000,3
-2100,4050,3
-2150,4100,2
-2200,4150,2
-2250,4200,2
-2300,4250,2
-2350,4300,3
-2400,4350,3
-2450,4400,3
-2500,4450,3
-2550,4500,3
-2600,4550,3
-2650,4600,3
-2700,4650,3
-2750,4700,3
-2800,4750,3
-2850,4800,3
-2900,4850,3
-2950,4900,3
-3000,4950,3
-3050,5000,3
-3100,5050,3
-3150,5100,4
-3200,5150,4
-3250,5200,4
-3300,5250,4
-3350,5300,4
-3400,5350,4
-3450,5400,4
-3500,5450,4
-3550,5500,4
-3600,5550,4
-3650,5600,4
-3700,5650,4
-3750,5700,3
-3800,5750,3
-3850,5800,3
-3900,5850,3
-3950,5900,3
-4000,5950,3
-4050,6000,3
-4100,6050,3
-4150,6100,2
-4200,6150,2
-4250,6200,2
-4300,6250,2
-4350,6300,2
-4400,6350,2
-4450,6400,2
-4500,6450,2
-4550,6500,2
-4600,6550,2
-4650,6600,2
-4700,6650,2
-4750,6700,2
-4800,6750,2
-4850,6800,2
-4900,6850,2
-4950,6900,2
-5000,6950,2
-5050,7000,2
-5100,7050,2
-5150,7100,2
-5200,7150,2
-5250,7200,2
-5300,7250,2
-5350,7300,2
-5400,7350,2
-5450,7400,2
-5500,7450,2
-5550,7500,2
-5600,7550,2
-5650,7600,2
-5700,7650,2
-5750,7700,2
-5800,7750,2
-5850,7800,2
-5900,7850,2
-5950,7900,2
-6000,7950,2
-6050,8000,2
-6100,8050,2
-6150,8100,2
-6200,8150,2
-6250,8200,2
-6300,8250,2
-6350,8300,2
-6400,8350,2
-6450,8400,2
-6500,8450,2
-6550,8500,0
-6600,8550,0
-6650,8600,0
-6700,8650,0
-6750,8700,0
-6800,8750,0
-6850,8800,0
-6900,8850,0
-6950,8900,0
-7000,8950,0
-7050,9000,0
-7100,9050,0
-7150,9100,0
-7200,9150,0
-7250,9200,0
-7300,9250,0
-7350,9300,0
-7400,9350,0
-7450,9400,0
-7500,9450,0
-7550,9500,0
-7600,9550,0
-7650,9600,0
-7700,9650,0
-7750,9700,0
-7800,9750,0
-7850,9800,0
-7900,9850,0
-7950,9900,0
-8000,9950,0
-8050,10000,0
-8100,10050,0
-8150,10100,0
-8200,10150,0
-8250,10200,0
-8300,10250,0
-8350,10300,0
-8400,10350,0
-8450,10400,0
-8500,10450,0
-8550,10500,0
-8600,10550,0
-8650,10600,0
-8700,10650,0
-8750,10700,0
-8800,10750,0
-8850,10800,0
-8900,10850,0
-8950,10900,0
-9000,10950,0
-9050,11000,0
