depth (cm),age (yr 14C yr BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,-11.2,17.4,3.871,10.186,1492.714
15,295,16.514,4.386,10.043,1645.857
25,581.2,16.786,3.214,9.551,1582.429
45,692.9,15.7,3.214,8.996,1833.857
60,774.1,14.743,-0.543,6.542,2005.571
65,811.4,14.729,-1.743,6.05,1929.286
85,960.4,14.843,-1.5,6.23,1844.714
100,1072.2,15.757,1.129,7.86,1571.571
140,1370.3,14.771,-0.743,6.38,1755.714
180,1668.4,14.171,-3.429,4.642,1142.286
220,1966.4,16.029,0.743,7.806,1345.571
260,2264.5,14.971,-0.771,6.64,1640.286
280,2413.6,15.371,-1,6.77,1702
320,2711.7,15.2,-0.471,6.895,2085.286
360,2745.6,14.457,-1.043,6.076,1884.143
400,2977.6,15.743,-0.343,7.029,1630.857
440,3315.9,17.814,0.257,8.232,1293.571
460,3485.1,15.429,-1.029,6.511,1744.286
500,4063.1,14.9,-0.471,6.663,1963
540,4737.1,14.9,-0.471,6.663,1963
580,5339.2,15.257,-1.243,6.639,1850.286
620,5941.3,14.929,-0.443,6.667,1846.286
660,6543.5,15.843,-1.243,6.888,1220.286
700,7145.6,15.671,-0.071,7.41,1491.429
740,8405.2,15.371,0.314,7.281,1380.429
780,9269.9,15.329,-0.614,6.999,1653.714
800,9702.2,15.8,-0.314,7.311,1548.143
840,10566.8,14.643,-1.371,5.982,1366
860,10999.1,14.571,-3.157,5.187,1369.571
880,11431.5,NA,NA,NA,NA
900,11863.8,NA,NA,NA,NA
920,12296.1,NA,NA,NA,NA
940,12728.4,NA,NA,NA,NA
960,13160.8,NA,NA,NA,NA
980,13593.1,NA,NA,NA,NA
1000,14025.4,NA,NA,NA,NA
1020,14457.7,NA,NA,NA,NA
1040,14890,NA,NA,NA,NA
1060,15322.4,NA,NA,NA,NA
1080,15754.7,NA,NA,NA,NA
1100,16187,NA,NA,NA,NA
1119,16626,NA,NA,NA,NA
1120,16666.5,NA,NA,NA,NA
1121,16707,NA,NA,NA,NA
1122,16747.5,NA,NA,NA,NA
1123,16788,NA,NA,NA,NA
1124,16828.5,NA,NA,NA,NA
1125,16869,NA,NA,NA,NA
1145,17678.8,NA,NA,NA,NA
1146,17719.2,NA,NA,NA,NA
1147,17759.7,NA,NA,NA,NA
1148,17800.2,NA,NA,NA,NA
1158,18205.1,NA,NA,NA,NA
1159,18245.6,NA,NA,NA,NA
1160,18286.1,NA,NA,NA,NA
1164,18448.1,NA,NA,NA,NA
1165,18488.5,NA,NA,NA,NA
1200,19251.9,NA,NA,NA,NA
1240,19953.9,NA,NA,NA,NA
1280,20655.9,NA,NA,NA,NA
1320,21358,NA,NA,NA,NA
1360,22060,NA,NA,NA,NA
1400,22762,NA,NA,NA,NA
1440,23464,NA,NA,NA,NA
1480,24166,NA,NA,NA,NA
1520,24868.1,NA,NA,NA,NA
1560,24865.8,NA,NA,NA,NA
1600,24701.1,NA,NA,NA,NA
1640,24536.4,NA,NA,NA,NA
1680,24371.6,NA,NA,NA,NA
1720,24206.9,NA,NA,NA,NA
1760,24596.6,NA,NA,NA,NA
1800,25375.6,NA,NA,NA,NA
1840,26154.6,NA,NA,NA,NA
2002,29309.5,NA,NA,NA,NA
