depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
10,13,22.329,-7.843,8.245,852.571
29,84,20.629,-8.386,6.749,782.857
42,142,20.686,-8.143,6.875,793.429
60,292,20.886,-7.814,7.139,838.714
65,334,20.114,-10.171,5.788,806.143
70,376,20.6,-8.786,6.563,826
75,418,20.843,-9.329,6.545,795.286
80,459,20.529,-8.957,6.462,829.143
85,501,20.629,-8.557,6.674,836.429
90,543,20.5,-9.657,6.213,830.857
95,585,20.229,-8.529,6.451,876.857
100,626,21.471,-6.671,7.989,863
105,704,20.714,-8.8,6.648,811.857
110,782,20.6,-9.829,6.208,831.857
115,860,20.371,-9.4,6.242,837.143
120,938,21.086,-7.571,7.38,864.286
125,1016,20.971,-8.343,7.038,852.857
130,1094,20.286,-8.186,6.595,844.857
135,1172,20.729,-7.914,6.986,852.286
140,1250,21.457,-7.614,7.713,882.571
145,1328,21.6,-6.657,8.119,893.143
150,1406,21.671,-7.443,7.888,898.143
180,1874,21.257,-7.357,7.682,904.429
195,2108,21.157,-7.857,7.275,833.571
210,2342,20.829,-7.029,7.513,912.857
225,2576,20.429,-7.643,6.923,862
240,2810,20.471,-7.029,7.179,895.143
255,3044,21.529,-6.1,8.331,895.286
285,3511,20.514,-6.857,7.317,915.286
300,3745,21.3,-6.286,8.058,904.714
315,3979,21.2,-6.914,7.676,825.714
330,4213,21.814,-7.971,7.8,865.714
345,4443,21.871,-5.857,8.639,861.857
360,4666,21.971,-5.429,8.883,907.857
375,4888,21.471,-6.457,8.07,850.857
390,5111,21.714,-5.629,8.66,918.286
405,5334,21.786,-6.814,8.243,899.429
420,5556,22.257,-5.243,9.131,891.286
435,5779,21.6,-5.971,8.357,869.429
450,6001,21.871,-5.829,8.669,876.286
480,6447,21.886,-5.857,8.683,903.714
495,6669,21.643,-6.1,8.364,850
510,6892,21.871,-5.843,8.655,874.286
525,7114,21.943,-5.814,8.717,888.571
540,7337,21.457,-6.786,7.96,884.714
555,7559,21.871,-5.829,8.669,876.286
575,7856,21.371,-8.714,7.213,847.143
590,8185,21.214,-9.786,6.667,806.143
605,8541,20.686,-9.957,6.235,832.857
615,8778,21.071,-9.643,6.602,771.286
630,9133,20.243,-9.843,5.993,825.571
645,9488,20.086,-9.343,6.074,842.571
660,9844,20,-10.386,5.635,800.714
685,10436,19.757,-9.986,5.649,825.857
700,10792,19.986,-9.257,6.018,835
715,11147,NA,NA,NA,NA
720,11433,NA,NA,NA,NA
730,12005,NA,NA,NA,NA
735,12291,NA,NA,NA,NA
750,12717,NA,NA,NA,NA
765,12764,NA,NA,NA,NA
780,12811,NA,NA,NA,NA
795,12858,NA,NA,NA,NA
810,12905,NA,NA,NA,NA
815,12921,NA,NA,NA,NA
830,12968,NA,NA,NA,NA
845,13015,NA,NA,NA,NA
860,13062,NA,NA,NA,NA
875,13109,NA,NA,NA,NA
890,13157,NA,NA,NA,NA
905,13204,NA,NA,NA,NA
915,13235,NA,NA,NA,NA
930,13282,NA,NA,NA,NA
