year (AD),age (BP),MTWM (degC)
1900,50,21.502
1850,100,21.607
1800,150,21.483
1750,200,21.515
1700,250,21.548
1650,300,21.583
1600,350,21.614
1550,400,21.606
1500,450,21.598
1450,500,21.584
1400,550,21.567
1350,600,21.522
1300,650,21.471
1250,700,21.392
1200,750,21.371
1150,800,21.445
1100,850,21.453
1050,900,21.382
1000,950,21.295
950,1000,21.2
900,1050,21.253
850,1100,21.327
800,1150,21.295
750,1200,21.293
700,1250,21.378
650,1300,21.483
600,1350,21.603
550,1400,21.545
500,1450,21.492
450,1500,21.517
400,1550,21.514
350,1600,21.489
300,1650,21.56
250,1700,21.637
200,1750,21.701
150,1800,21.67
100,1850,21.616
50,1900,21.591
0,1950,21.579
-50,2000,21.566
-100,2050,21.527
-150,2100,21.404
-200,2150,21.28
-250,2200,21.438
-300,2250,21.618
-350,2300,21.613
-400,2350,21.396
-450,2400,21.271
-500,2450,21.271
-550,2500,21.324
-600,2550,21.458
-650,2600,21.591
-700,2650,21.725
-750,2700,21.777
-800,2750,21.665
-850,2800,21.55
-900,2850,21.431
-950,2900,21.361
-1000,2950,21.432
-1050,3000,21.531
-1100,3050,21.728
-1150,3100,21.877
-1200,3150,21.835
-1250,3200,21.813
-1300,3250,21.89
-1350,3300,21.937
-1400,3350,21.783
-1450,3400,21.645
-1500,3450,21.666
-1550,3500,21.693
-1600,3550,21.805
-1650,3600,21.908
-1700,3650,21.698
-1750,3700,21.487
-1800,3750,21.667
-1850,3800,21.85
-1900,3850,21.81
-1950,3900,21.761
-2000,3950,21.738
-2050,4000,21.717
-2100,4050,21.695
-2150,4100,21.674
-2200,4150,21.505
-2250,4200,21.407
-2300,4250,21.62
-2350,4300,21.759
-2400,4350,21.638
-2450,4400,21.537
-2500,4450,21.508
-2550,4500,21.533
-2600,4550,21.747
-2650,4600,21.902
-2700,4650,21.845
-2750,4700,21.756
-2800,4750,21.556
-2850,4800,21.381
-2900,4850,21.295
-2950,4900,21.326
-3000,4950,21.769
-3050,5000,22.07
-3100,5050,21.87
-3150,5100,21.717
-3200,5150,21.732
-3250,5200,21.752
-3300,5250,21.795
-3350,5300,21.839
-3400,5350,21.887
-3450,5400,21.934
-3500,5450,21.982
-3550,5500,22.03
-3600,5550,22.008
-3650,5600,21.892
-3700,5650,21.922
-3750,5700,21.983
-3800,5750,22.019
-3850,5800,21.98
-3900,5850,21.942
-3950,5900,21.916
-4000,5950,21.921
-4050,6000,21.925
-4100,6050,21.937
-4150,6100,21.961
-4200,6150,21.985
-4250,6200,21.998
-4300,6250,21.993
-4350,6300,21.988
-4400,6350,21.969
-4450,6400,21.931
-4500,6450,21.892
-4550,6500,21.885
-4600,6550,21.914
-4650,6600,21.943
-4700,6650,21.942
-4750,6700,21.913
-4800,6750,21.884
-4850,6800,21.901
-4900,6850,21.954
-4950,6900,22.008
-5000,6950,21.996
-5050,7000,21.943
-5100,7050,21.89
-5150,7100,21.89
-5200,7150,21.919
-5250,7200,21.948
-5300,7250,21.957
-5350,7300,21.957
-5400,7350,21.957
-5450,7400,21.989
-5500,7450,22.033
-5550,7500,22.077
-5600,7550,22.042
-5650,7600,21.988
-5700,7650,21.934
-5750,7700,21.871
-5800,7750,21.807
-5850,7800,21.743
-5900,7850,21.788
-5950,7900,21.832
-6000,7950,21.855
-6050,8000,21.702
-6100,8050,21.549
-6150,8100,21.446
-6200,8150,21.529
-6250,8200,21.612
-6300,8250,21.695
-6350,8300,21.778
-6400,8350,21.861
-6450,8400,21.944
-6500,8450,21.859
-6550,8500,21.742
-6600,8550,21.632
-6650,8600,21.528
-6700,8650,21.424
-6750,8700,21.481
-6800,8750,21.634
-6850,8800,21.787
-6900,8850,21.821
-6950,8900,21.812
-7000,8950,21.802
-7050,9000,21.784
-7100,9050,21.764
-7150,9100,21.744
-7200,9150,21.613
-7250,9200,21.475
-7300,9250,21.407
-7350,9300,21.468
-7400,9350,21.48
-7450,9400,21.339
-7500,9450,21.22
-7550,9500,21.267
-7600,9550,21.314
-7650,9600,21.165
-7700,9650,21.015
-7750,9700,20.949
-7800,9750,21.056
-7850,9800,21.163
-7900,9850,21.321
-7950,9900,21.508
-8000,9950,21.695
-8050,10000,21.554
-8100,10050,21.405
-8150,10100,21.31
-8200,10150,21.342
-8250,10200,21.374
-8300,10250,21.456
-8350,10300,21.568
-8400,10350,21.68
-8450,10400,21.595
-8500,10450,21.499
-8550,10500,21.344
-8600,10550,21.035
-8650,10600,20.725
-8700,10650,20.571
-8750,10700,20.523
-8800,10750,20.475
-8850,10800,20.462
-8900,10850,20.451
-8950,10900,20.449
-9000,10950,20.473
-9050,11000,20.497
