age (BP),year (AD),age (BP),d18O_vPDB (missing)
-50,2000,-50,-7.18
-40,1991,-41,-7.32
-27,1981,-31,-7.1
-15,1970,-20,-7.28
-2,1959,-9,-7.27
4,1954,-4,-7.52
10,1950,0,-7.53
16,1945,5,-8.07
21,1938,12,-8.14
27,1931,19,-7.76
33,1923,27,-7.53
36,1920,30,-7.52
38,1916,34,-7.67
41,1912,38,-7.56
44,1909,41,-7.71
47,1905,45,-7.49
49,1902,48,-7.81
52,1898,52,-7.61
55,1894,56,-8.09
57,1891,59,-7.65
60,1887,63,-7.84
63,1884,66,-7.42
64,1881,69,-7.47
65,1880,70,-7.97
66,1879,71,-7.77
68,1876,74,-7.61
71,1873,77,-7.82
74,1869,81,-7.51
76,1866,84,-8
79,1862,88,-7.49
82,1858,92,-7.7
84,1855,95,-7.51
87,1851,99,-7.78
90,1847,103,-7.69
92,1844,106,-7.91
95,1840,110,-7.72
98,1837,113,-7.58
101,1833,117,-7.54
103,1829,121,-7.57
106,1826,124,-7.54
109,1822,128,-7.92
111,1819,131,-7.44
114,1815,135,-7.71
117,1814,136,-7.57
119,1812,138,-7.49
125,1809,141,-7.66
130,1806,144,-8.08
136,1803,147,-7.59
141,1800,150,-7.57
144,1797,153,-7.75
146,1794,156,-7.77
149,1791,159,-7.84
151,1789,161,-6.99
154,1786,164,-7.64
156,1783,167,-7.67
159,1780,170,-7.53
162,1777,173,-7.62
164,1774,176,-7.63
167,1771,179,-7.89
169,1768,182,-7.57
172,1765,185,-7.19
174,1762,188,-7.37
177,1759,191,-7.59
180,1756,194,-7.47
182,1753,197,-7.58
185,1750,200,-7.57
187,1747,203,-7.19
190,1744,206,-7.07
192,1741,209,-7.62
195,1739,211,-7.65
198,1736,214,-7.43
200,1733,217,-7.68
203,1730,220,-7.66
205,1727,223,-7.41
208,1724,226,-7.08
210,1721,229,-7.2
213,1718,232,-7.48
214,1715,235,-7.16
215,1711,239,-7.21
216,1707,243,-7.19
217,1703,247,-7.31
218,1698,252,-7.52
219,1694,256,-7.25
220,1690,260,-7.44
221,1686,264,-7.55
222,1682,268,-7.59
223,1678,272,-7.44
224,1673,277,-7.17
225,1669,281,-7.34
226,1665,285,-7.49
227,1661,289,-7.67
228,1657,293,-7.32
229,1653,297,-7.39
236,1649,301,-7.18
243,1644,306,-6.96
249,1640,310,-7.38
256,1636,314,-7.19
263,1632,318,-7.35
270,1628,322,-7.52
276,1624,326,-7.44
283,1620,330,-7.21
290,1615,335,-7.6
297,1611,339,-7.47
304,1607,343,-7.21
310,1603,347,-7.46
317,1599,351,-7.4
324,1595,355,-7.61
331,1590,360,-7.26
337,1586,364,-7
344,1582,368,-6.95
351,1578,372,-6.64
358,1574,376,-7.14
364,1570,380,-7.26
371,1566,384,-7.29
378,1561,389,-7.21
384,1557,393,-7.41
389,1553,397,-7.43
395,1549,401,-7.39
401,1545,405,-7.35
407,1541,409,-7.47
412,1537,413,-7.19
418,1532,418,-7.05
424,1528,422,-7.37
430,1524,426,-7.2
435,1520,430,-7.34
441,1516,434,-7.19
447,1512,438,-7.31
452,1507,443,-6.98
458,1503,447,-7.02
464,1499,451,-7.1
470,1495,455,-7.15
475,1491,459,-7.24
481,1487,463,-7.13
483,1483,467,-6.66
486,1479,471,-7.26
488,1475,475,-7.47
491,1471,479,-7.3
493,1467,483,-7.15
496,1463,487,-7.21
498,1459,491,-7.23
500,1455,495,-7.56
503,1451,499,-7.39
505,1447,503,-6.74
508,1443,507,-7.08
510,1439,511,-6.92
512,1435,515,-7.16
515,1431,519,-7.4
517,1427,523,-7.09
520,1423,527,-7.12
522,1419,531,-6.94
525,1415,535,-6.65
527,1411,539,-7.57
529,1407,543,-7.71
532,1403,547,-7.27
534,1399,551,-7.23
537,1395,555,-7.48
539,1391,559,-7.37
541,1387,563,-7.39
544,1383,567,-7.38
546,1379,571,-7.46
549,1375,575,-7.31
551,1371,579,-7.21
554,1367,583,-7.32
556,1363,587,-7.3
558,1359,591,-7.21
561,1355,595,-7.24
563,1351,599,-7.28
566,1347,603,-7.16
568,1343,607,-7.17
571,1341,609,-7.28
574,1339,611,-7.1
580,1335,615,-7.11
583,1332,618,-7.14
586,1330,620,-7.2
592,1324,626,-7.54
595,1321,629,-7.43
598,1319,631,-7.47
604,1313,637,-7.5
607,1311,639,-7.43
610,1308,642,-7.35
616,1302,648,-7.26
619,1300,650,-7.28
622,1297,653,-7.23
628,1292,658,-7.29
631,1289,661,-7.27
634,1286,664,-7.15
