depth (cm),age (BP),d18O (per mil v smow)
2021,-20,-27.36
3724,0,-27.06
5237,20,-27.36
6556,40,-27.87
7751,60,-27.58
8825,80,-28.3
9913,100,-27.83
11000,120,-28
11994,140,-27.73
13025,160,-27.77
13979,180,-28.11
14967,200,-27.77
15890,220,-27.83
16786,240,-27.87
17683,260,-27.96
18555,280,-27.61
19482,300,-27.89
20361,320,-28.18
21355,340,-27.99
22235,360,-27.75
23233,380,-28.04
24255,400,-28.03
25199,420,-28.56
26247,440,-28.04
27133,460,-27.65
28070,480,-28.26
28967,500,-28.25
29971,520,-28.1
31019,540,-27.87
31948,560,-27.43
32788,580,-28.25
33666,600,-27.5
34545,620,-27.68
35358,640,-27.99
36172,660,-28.09
36948,680,-27.88
37785,700,-27.68
38531,720,-27.38
39379,740,-27.63
39990,760,-28.51
40829,780,-27.95
41641,800,-27.98
42392,820,-27.67
43128,840,-28.06
43906,860,-27.82
44628,880,-27.9
45417,900,-27.83
46176,920,-27.58
46881,940,-27.57
47651,960,-27.66
48421,980,-27.81
49138,1000,-27.67
49894,1020,-27.63
50588,1040,-27.5
51297,1060,-27.97
52030,1080,-27.6
52716,1100,-28.23
53479,1120,-27.93
54143,1140,-27.37
54798,1160,-27.8
55566,1180,-28.12
56260,1200,-27.48
56959,1220,-27.89
57622,1240,-27.98
58299,1260,-28.22
59012,1280,-27.99
59690,1300,-28.09
60421,1320,-28.25
61104,1340,-28.32
61782,1360,-27.7
62514,1380,-28.17
63196,1400,-27.36
63836,1420,-28.37
64489,1440,-27.85
65198,1460,-28.12
65869,1480,-28.11
66510,1500,-27.55
67139,1520,-27.84
67847,1540,-27.46
68521,1560,-27.84
69134,1580,-27.88
69784,1600,-28.31
70498,1620,-27.4
71168,1640,-27.86
71773,1660,-27.65
72438,1680,-27.69
73091,1700,-27.22
73723,1720,-27.81
74325,1740,-28.12
74965,1760,-27.74
75559,1780,-27.88
76173,1800,-27.77
76801,1820,-27.31
77414,1840,-27.83
77997,1860,-27.74
78583,1880,-27.42
79211,1900,-27.45
79874,1920,-27.81
80449,1940,-27.34
81068,1960,-27.6
81671,1980,-27.87
82285,2000,-27.94
82842,2020,-27.75
83419,2040,-27.64
84015,2060,-27.78
84592,2080,-27.86
85162,2100,-27.67
85714,2120,-27.84
86212,2140,-28.25
86774,2160,-27.71
87327,2180,-27.59
87909,2200,-27.8
88484,2220,-27.83
89055,2240,-27.8
89609,2260,-27.84
90147,2280,-27.53
90677,2300,-27.49
91256,2320,-27.92
91808,2340,-27.59
92350,2360,-27.51
92864,2380,-27.88
93424,2400,-27.97
94008,2420,-28.13
94523,2440,-28.18
95044,2460,-28.25
95631,2480,-27.26
96166,2500,-27.48
96727,2520,-27.89
97221,2540,-27.78
97730,2560,-27.54
98235,2580,-27.33
98760,2600,-27.86
99276,2620,-27.8
99820,2640,-27.74
100365,2660,-27.94
100889,2680,-27.8
101393,2700,-27.95
101913,2720,-27.54
102417,2740,-28.07
102927,2760,-27.91
103468,2780,-27.38
103994,2800,-27.42
104497,2820,-27.98
104992,2840,-28.03
105517,2860,-27.87
105998,2880,-27.66
106487,2900,-27.97
107001,2920,-28
107541,2940,-27.44
108021,2960,-27.72
108530,2980,-27.76
109010,3000,-27.69
109476,3020,-27.82
109927,3040,-28.08
110374,3060,-27.77
110889,3080,-27.4
111373,3100,-27.88
111854,3120,-27.53
112385,3140,-27.62
112888,3160,-27.45
113368,3180,-27.98
113877,3200,-27.52
114383,3220,-27.9
114872,3240,-27.57
115356,3260,-27.92
115859,3280,-27.3
116351,3300,-27.26
116843,3320,-27.89
117330,3340,-27.32
117842,3360,-27.31
118327,3380,-27.8
118774,3400,-27.37
119229,3420,-27.74
119669,3440,-28.06
120115,3460,-26.95
120586,3480,-27.82
121002,3500,-27.53
121443,3520,-27.59
121886,3540,-27.39
122321,3560,-27.83
122753,3580,-27.51
123167,3600,-27.64
123605,3620,-28.4
124033,3640,-27.57
124497,3660,-27.06
124923,3680,-27.48
125368,3700,-27.31
125797,3720,-27.77
126215,3740,-27.64
126595,3760,-27.7
126992,3780,-27.54
127387,3800,-27.74
127813,3820,-27.84
128233,3840,-27.58
128615,3860,-27.46
129008,3880,-27.88
129380,3900,-27.86
129763,3920,-27.4
130147,3940,-27.93
130516,3960,-27.61
130905,3980,-27.6
131292,4000,-27.84
131664,4020,-27.54
132037,4040,-27.76
132401,4060,-27.72
132765,4080,-27.65
133125,4100,-27.83
133465,4120,-27.72
133811,4140,-27.58
134147,4160,-27.92
134480,4180,-27.31
134798,4200,-27.55
135136,4220,-27.74
135441,4240,-27.84
135785,4260,-27.6
136092,4280,-27.27
136399,4300,-27.86
136707,4320,-28.05
137002,4340,-27.53
137295,4360,-27.62
137591,4380,-27.49
137902,4400,-27.78
138174,4420,-27.45
138452,4440,-27.51
138753,4460,-27.71
139045,4480,-27.81
139338,4500,-27.81
139628,4520,-27.78
139917,4540,-27.88
140217,4560,-27.43
140478,4580,-27.8
140751,4600,-27.78
141022,4620,-27.91
141299,4640,-27.75
141580,4660,-27.81
141854,4680,-27.49
142119,4700,-27.33
142384,4720,-28.22
142650,4740,-27.77
142927,4760,-27.66
143188,4780,-27.65
143430,4800,-27.83
143698,4820,-28.01
143948,4840,-27.58
144201,4860,-27.54
144435,4880,-27.69
144669,4900,-28
144913,4920,-27.76
145151,4940,-27.99
145423,4960,-27.72
145676,4980,-28.15
145929,5000,-27.82
146176,5020,-27.36
146415,5040,-27.89
146640,5060,-27.76
146883,5080,-27.69
147129,5100,-27.85
147366,5120,-28.21
147599,5140,-27.79
147833,5160,-27.63
148062,5180,-27.72
148296,5200,-27.62
148527,5220,-27.78
148737,5240,-27.64
148946,5260,-28
149164,5280,-27.79
149370,5300,-27.98
149595,5320,-27.62
149823,5340,-27.84
150036,5360,-27.71
150236,5380,-27.53
150450,5400,-27.36
150659,5420,-27.95
150865,5440,-27.48
151072,5460,-27.97
151284,5480,-27.9
151500,5500,-27.58
151694,5520,-27.63
151916,5540,-27.97
152110,5560,-27.43
152296,5580,-27.95
152478,5600,-27.25
152676,5620,-27.81
152876,5640,-27.78
153047,5660,-27.91
153231,5680,-28.03
153425,5700,-27.7
153610,5720,-27.81
153801,5740,-27.81
