year (AD) [1-1],age (BP) [1-1],x_Sand (missing) [1-1],C (yrad/bc) [1-1],x_Clay (missing) [1-1],x_Silt (missing) [1-1],year (AD) [2-1],age (BP) [2-1],C (ad/bc) [2-1],Corg (missing) [2-1],Norg (missing) [2-1],C/N (missing) [2-1]
1950,0,13.1,2004,15.7,71.2,1925,25,1979,29.82,1.87,16
1938,12,10,1993,16.1,73.9,1903,47,1957,32.72,2.24,15
1933,17,6.4,1987,18.7,74.9,1881,69,1935,39.89,2.85,14
1928,22,4.2,1982,19,76.8,1859,91,1913,38.7,2.71,14
1922,28,5.4,1976,18,76.6,1836,114,1891,39.44,2.51,16
1916,34,5.1,1970,22.7,72.1,1813,137,1866,37.59,2.18,17
1910,40,3.2,1964,23.8,72.9,1787,163,1836,39.75,2.11,19
1903,47,4.1,1957,21.8,74.1,1759,191,1801,36.44,1.82,20
1897,53,9.5,1951,17.7,72.8,1728,222,1762,32.06,1.82,18
1890,60,15.8,1944,12,72.2,1694,256,1719,28.29,2.02,14
1884,66,13.5,1938,11.7,74.8,1656,294,1674,29.18,2.14,14
1878,72,13.8,1932,11.2,75,1615,335,1626,41.95,2.18,19
1872,78,12.6,1925,11.5,75.9,1571,379,1575,41.01,2.14,19
1865,85,14.7,1919,11.4,73.9,1525,425,1523,39.84,2.02,20
1859,91,14.7,1913,12.1,73.2,1479,471,1475,37.84,1.94,20
1853,97,12.4,1907,12,75.5,1434,516,1432,40.01,1.94,21
1846,104,10.9,1901,13.6,75.5,1389,561,1392,43.04,2.04,21
1840,110,6,1894,13.9,80,1342,608,1349,45.21,2.01,22
1833,117,11.8,1888,13.3,75,1292,658,1301,44.32,1.98,22
1826,124,14.7,1881,10.9,74.4,1239,711,1245,36.75,2.03,18
1819,131,4.3,1874,14.9,80.8,1183,767,1183,31.2,1.81,17.2
1813,137,13.8,1866,12.5,73.7,1128,822,1120,29.53,1.81,16
1805,145,6.8,1858,13.5,79.7,1077,873,1063,19.43,1.36,14
1798,152,4.4,1849,15.8,79.8,1033,917,1018,22.62,1.53,15
1791,159,4.6,1840,15.5,80,996,954,986,25.54,2.06,12
1783,167,6.3,1831,16.3,77.4,965,985,960,25.65,2.07,12
1775,175,5.6,1821,15.6,78.8,937,1013,937,27.42,2.21,12
1767,183,6.1,1811,15.6,78.4,910,1040,913,29.45,2.31,13
1759,191,3.8,1801,13.1,83.1,883,1067,888,26.31,2.09,13
1750,200,3,1790,10.5,86.5,852,1098,859,27.17,2.15,13
1742,208,6.4,1779,16.2,77.4,818,1132,825,25.49,2.1,12
1733,217,7.3,1768,18.1,74.6,779,1171,786,22.14,1.74,13
1723,227,7.7,1756,20.7,71.6,734,1216,744,21.76,1.81,12
1714,236,6.8,1744,24.1,69.1,684,1266,697,24.37,1.62,15
1704,246,5.9,1732,24.3,69.8,627,1323,641,19.26,1.49,13
1694,256,5,1719,26.4,68.6,600,1350,613,24.28,1.59,15.3
