depth (cm),dateType (),measurementMaterial (),sensorSpecies (),age14C (kyr),age14CUncertainty (kyr),reservoirAge (kyr)
12.5,14C,planktinc foraminifera calcite,G. bulloides,1.91,0.05,0.4
47.5,14C,planktinc foraminifera calcite,G. bulloides,5.01,0.08,0.4
57.5,14C,planktinc foraminifera calcite,G. bulloides,6.42,0.08,0.4
95,14C,planktinc foraminifera calcite,G. bulloides,6.43,0.12,0.4
120,14C,planktinc foraminifera calcite,G. bulloides,10.15,0.2,0.4
120,14C,planktinc foraminifera calcite,N. pachy. sin.,11.82,0.21,0.4
130,14C,planktinc foraminifera calcite,N. pachy. sin.,12.14,0.16,0.4
145,14C,planktinc foraminifera calcite,N. pachy. sin.,14.75,0.22,0.4
210,14C,planktinc foraminifera calcite,N. pachy. sin.,27.8,0.36,0.4
272.5,14C,planktinc foraminifera calcite,N. pachy. sin.,28.6,0.35,0.4
