depth (cm),age (bp),age_alt (bp),deltaR (age),age14C (bp),age_error (1s),age_type (unitless),lab_id (unitless),core_name (unitless),record_specific (unitless),rejected_dates (unitless),note (unitless)
17,712,380,400,780,35,1,18,1,2,NA,NA
36,1781,1385,400,1785,30,1,19,NA,2,NA,NA
25,698,365,400,765,35,1,4,2,2,NA,NA
51,2244,1755,400,2155,30,1,5,NA,2,NA,NA
67,3376,2700,400,3100,35,1,6,NA,2,NA,NA
93,5110,4025,400,4425,40,1,7,NA,2,NA,NA
118,6567,5340,400,5740,70,1,1,NA,1,NA,NA
165,8106,6860,400,7260,45,1,9,NA,2,NA,NA
177,8892,7580,400,7980,45,1,10,NA,2,NA,NA
192,9271,7960,400,8360,40,1,16,NA,2,NA,NA
207,9570,8155,400,8555,55,1,2,NA,1,NA,NA
241,9965,8530,400,8930,70,1,20,NA,2,NA,NA
249.5,10046,NA,NA,NA,NA,1,NA,NA,2,NA,3
315,11490,9180,900,10080,70,1,13,NA,2,NA,1
320,11600,NA,NA,NA,NA,2,NA,NA,NA,NA,2
355,13530,11210,400,11610,55,1,14,NA,2,NA,NA
394,13911,11590,400,11990,60,1,15,NA,2,NA,NA
249,9937,8435,400,8835,50,1,17,NA,2,1,NA
250,10155,8635,400,9035,55,1,22,NA,2,1,NA
118,7019,5720,400,6120,40,1,8,NA,2,1,5
206,8264,7000,400,7400,40,1,11,NA,2,1,4
207,9742,8310,400,8710,50,1,21,NA,2,1,5
237,7607,6340,400,6740,NA,1,12,NA,2,1,5
237,9630,8200,400,8600,70,1,3,NA,1,1,4
