depth (cm),age (BP),d18O (per mil v smow)
1360,-20,-35.13
2143,0,-35.55
2823,20,-35.16
3468,40,-35.59
4093,60,-35.24
4680,80,-35.31
5240,100,-34.79
5783,120,-35.14
6308,140,-35.39
6823,160,-34.93
7323,180,-35.56
7845,200,-35.11
8350,220,-35.11
8815,240,-35.41
9298,260,-35.63
9775,280,-34.9
10255,300,-35.43
10698,320,-35.19
11150,340,-35.29
11615,360,-34.97
12053,380,-35.17
12510,400,-35.08
12958,420,-35.02
13425,440,-34.99
13883,460,-35.56
14313,480,-35.3
14763,500,-34.87
15230,520,-35.71
15700,540,-34.98
16148,560,-35.39
16563,580,-35.84
17005,600,-35.74
17445,620,-35.58
17875,640,-35.18
18283,660,-35.14
18710,680,-35.5
19125,700,-35.56
19525,720,-34.85
19948,740,-35.32
20368,760,-35.5
20800,780,-35.52
21233,800,-35.71
21648,820,-35.15
22088,840,-36.02
22515,860,-35.1
22905,880,-35.33
23338,900,-35.46
23768,920,-35.29
24158,940,-35.29
24598,960,-35.61
25048,980,-34.56
25488,1000,-34.87
25910,1020,-35.09
26328,1040,-34.9
26753,1060,-35.5
27173,1080,-35.5
27573,1100,-35.41
28010,1120,-35.07
28413,1140,-35.6
28818,1160,-35.01
29238,1180,-34.94
29673,1200,-34.39
30095,1220,-35.14
30495,1240,-35.11
30865,1260,-35.44
31270,1280,-35.26
31680,1300,-35.06
32103,1320,-35.16
32525,1340,-35.1
32938,1360,-35.47
33343,1380,-35.4
33773,1400,-34.8
34175,1420,-35.62
34615,1440,-35.67
35033,1460,-35.68
35418,1480,-35.14
35823,1500,-35.1
36215,1520,-35.16
36615,1540,-34.86
37023,1560,-34.99
37428,1580,-34.95
37810,1600,-35.62
38218,1620,-35.28
38633,1640,-35.22
39000,1660,-35.48
39400,1680,-35.09
39800,1700,-35.18
40170,1720,-35.43
40578,1740,-35.34
40965,1760,-35.15
41350,1780,-35.65
41760,1800,-34.92
42143,1820,-35.18
42503,1840,-34.75
42903,1860,-34.86
43315,1880,-34.56
43698,1900,-34.96
44110,1920,-34.71
44500,1940,-35.16
44903,1960,-35.03
45310,1980,-34.57
45708,2000,-35.59
46085,2020,-35.44
46478,2040,-34.9
46848,2060,-34.8
47238,2080,-35.66
47633,2100,-34.81
48005,2120,-34.96
48350,2140,-35.4
48728,2160,-35.5
49095,2180,-34.82
49475,2200,-34.53
49855,2220,-34.57
50225,2240,-34.93
50585,2260,-35.09
50958,2280,-35.49
51315,2300,-34.98
51688,2320,-35.01
52068,2340,-34.65
52435,2360,-34.41
52790,2380,-35.45
53148,2400,-34.7
53515,2420,-35.09
53865,2440,-34.74
54238,2460,-35.06
54585,2480,-34.07
54965,2500,-34.33
55308,2520,-34.9
55665,2540,-35.03
56033,2560,-34.76
56380,2580,-34.8
56755,2600,-35.05
57110,2620,-34.83
57500,2640,-34.81
57863,2660,-34.93
58220,2680,-34.96
58595,2700,-35.04
58945,2720,-35.11
59313,2740,-35.31
59678,2760,-34.98
60008,2780,-34.63
60378,2800,-34.46
60728,2820,-35.2
61085,2840,-35.29
61445,2860,-34.7
61815,2880,-35.41
62175,2900,-34.59
62533,2920,-34.59
62880,2940,-34.96
63213,2960,-34.61
63570,2980,-35.14
63905,3000,-35.37
64260,3020,-34.57
64613,3040,-35.11
64940,3060,-35
65258,3080,-34.96
65583,3100,-35.08
65913,3120,-35.39
66273,3140,-34.44
66615,3160,-34.9
66965,3180,-35.21
67308,3200,-35.07
67625,3220,-34.59
67970,3240,-34.61
68298,3260,-34.24
68645,3280,-34.6
68978,3300,-34.05
69320,3320,-34.71
69660,3340,-34.65
70003,3360,-34.85
70350,3380,-35.01
70675,3400,-34.81
70995,3420,-35.26
71335,3440,-35.1
71670,3460,-34.91
71998,3480,-34.22
72325,3500,-34.84
72653,3520,-34.71
72980,3540,-34.84
73308,3560,-35.25
73650,3580,-34.99
73968,3600,-35.01
74283,3620,-35.21
74625,3640,-34.87
74975,3660,-34.44
75288,3680,-34.43
75635,3700,-34.49
75948,3720,-35.19
76248,3740,-34.75
76573,3760,-34.88
76915,3780,-35.11
77249,3800,-34.62
77574,3820,-34.95
77893,3840,-34.42
78203,3860,-35.55
78500,3880,-34.92
78809,3900,-34.42
79143,3920,-34.55
79489,3940,-35.1
79845,3960,-34.62
80139,3980,-34.74
80486,4000,-34.8
80783,4020,-34.54
81094,4040,-34.52
81398,4060,-34.93
81700,4080,-34.3
82004,4100,-34.93
82281,4120,-34.71
82572,4140,-34.97
82857,4160,-35.16
83138,4180,-34.95
83443,4200,-34.51
83739,4220,-34.84
84052,4240,-34.91
84331,4260,-34.83
84623,4280,-35.09
84945,4300,-34.79
85257,4320,-34.67
85553,4340,-35.15
85836,4360,-34.9
86148,4380,-34.3
86424,4400,-34.95
86734,4420,-34.44
86993,4440,-35
87287,4460,-34.88
87562,4480,-35.09
87889,4500,-34.75
88204,4520,-34.92
88514,4540,-34.82
88812,4560,-34.55
89097,4580,-35.33
89376,4600,-35.07
89652,4620,-35.1
89929,4640,-34.81
90213,4660,-34.5
90512,4680,-35.24
90815,4700,-35.09
91126,4720,-35.31
91408,4740,-35.33
91679,4760,-34.66
91974,4780,-34.81
92240,4800,-35.34
92517,4820,-34.47
92781,4840,-34.93
93037,4860,-34.77
93279,4880,-34.77
93569,4900,-35.15
93840,4920,-34.31
94135,4940,-35.09
94411,4960,-34.42
94685,4980,-34.94
94980,5000,-34.66
95272,5020,-34.47
95576,5040,-34.79
95863,5060,-34.59
96137,5080,-34.82
96398,5100,-34.8
96726,5120,-35.27
97008,5140,-34.37
97278,5160,-34.84
97584,5180,-34.87
97851,5200,-35.11
98128,5220,-34.92
98390,5240,-34.83
98642,5260,-35.45
98897,5280,-34.96
99149,5300,-35.15
99441,5320,-34.86
99726,5340,-34.8
100002,5360,-35.35
100262,5380,-34.41
100527,5400,-34.89
100819,5420,-35.27
101067,5440,-34.68
101327,5460,-34.84
101594,5480,-35.15
101857,5500,-34.55
102134,5520,-34.93
102405,5540,-34.93
102692,5560,-34.28
102957,5580,-35.33
103213,5600,-34.31
103476,5620,-34.76
103716,5640,-34.82
103981,5660,-34.67
104210,5680,-34.66
104495,5700,-34.87
104741,5720,-34.85
104996,5740,-34.92
105264,5760,-34.64
105515,5780,-34.16
105764,5800,-35.26
106027,5820,-35.27
106303,5840,-34.76
106580,5860,-34.71
106817,5880,-34.28
107068,5900,-34.92
107305,5920,-34.75
107568,5940,-34.9
107844,5960,-35.04
108093,5980,-35.09
108356,6000,-35.39
108590,6020,-34.99
108820,6040,-34.48
109078,6060,-35.24
109339,6080,-34.9
109606,6100,-34.68
109831,6120,-34.72
110078,6140,-34.88
110319,6160,-34.33
110569,6180,-35.31
110840,6200,-35.01
111100,6220,-35
111353,6240,-34.36
111593,6260,-35.11
111841,6280,-35.19
112111,6300,-34.53
112356,6320,-34.97
112601,6340,-35.35
112855,6360,-34.42
113085,6380,-35.26
113322,6400,-34.5
113565,6420,-35.18
113798,6440,-34.89
114023,6460,-34.87
114256,6480,-34.71
114497,6500,-35.25
114748,6520,-34.47
114995,6540,-34.65
115238,6560,-34.75
115479,6580,-35.02
115711,6600,-34.78
115938,6620,-34.74
116182,6640,-34.73
116420,6660,-35.12
116678,6680,-34.87
116905,6700,-34.54
117135,6720,-34.64
117365,6740,-34.26
117606,6760,-35.11
117843,6780,-34.13
118084,6800,-35.14
118294,6820,-34.75
118525,6840,-35.07
118801,6860,-34.97
119044,6880,-34.84
119260,6900,-34.62
119479,6920,-34.88
119699,6940,-34.24
119929,6960,-35.07
120152,6980,-34.76
120356,7000,-34.54
120576,7020,-34.76
120840,7040,-34.92
121074,7060,-34.58
121315,7080,-34.65
121540,7100,-35.15
121761,7120,-35.67
121984,7140,-34.37
122221,7160,-34.51
122434,7180,-35.16
122655,7200,-34.5
122881,7220,-34.5
123089,7240,-34.71
123306,7260,-34.36
123517,7280,-34.17
123746,7300,-34.59
124012,7320,-34.8
124241,7340,-34.22
124491,7360,-34.61
124706,7380,-34.77
124929,7400,-34.47
125160,7420,-34.62
125389,7440,-34.66
125610,7460,-34.71
125847,7480,-34.62
126094,7500,-34.88
126338,7520,-34.57
126555,7540,-34.79
126791,7560,-34.22
126982,7580,-34.88
127188,7600,-34.58
127400,7620,-34.83
127621,7640,-34.9
127871,7660,-34.87
128075,7680,-34.23
128305,7700,-33.96
128537,7720,-34.5
128819,7740,-34.57
129027,7760,-34.83
129252,7780,-34.37
129498,7800,-34.43
129704,7820,-34.3
129946,7840,-34.9
130166,7860,-34.85
130370,7880,-34.88
130594,7900,-34.59
130811,7920,-34.76
131024,7940,-34.26
131246,7960,-34.29
131443,7980,-34.7
131672,8000,-35.11
131872,8020,-35.16
132089,8040,-35.26
132309,8060,-34.86
132511,8080,-35.12
132698,8100,-35.92
132882,8120,-36.01
133082,8140,-35.17
133259,8160,-35.96
133442,8180,-36.05
133633,8200,-36.63
133845,8220,-35.28
134050,8240,-34.87
134268,8260,-34.67
134482,8280,-34.83
134677,8300,-34.9
134875,8320,-35.04
135071,8340,-34.47
135275,8360,-34.97
135465,8380,-35.04
135679,8400,-34.62
135870,8420,-35.28
136072,8440,-34.52
136285,8460,-34.62
136481,8480,-34.85
136686,8500,-34.79
136882,8520,-34.69
137077,8540,-34.46
137272,8560,-34.4
137488,8580,-34.72
137674,8600,-35.18
137879,8620,-35.16
138074,8640,-35.14
138286,8660,-34.69
138478,8680,-35.54
138666,8700,-34.41
138858,8720,-34.86
139060,8740,-34.72
139256,8760,-35.24
139450,8780,-34.87
139634,8800,-34.47
139813,8820,-35.26
140006,8840,-34.53
140205,8860,-34.41
140397,8880,-34.16
140598,8900,-33.93
140791,8920,-34.47
140984,8940,-33.95
141173,8960,-34.84
141353,8980,-34.7
141534,9000,-35.26
141716,9020,-34.91
141905,9040,-34.78
142098,9060,-34.77
142292,9080,-34.99
142497,9100,-33.58
142685,9120,-34.57
142867,9140,-34.4
143057,9160,-34.44
143243,9180,-34.99
143427,9200,-34.76
143608,9220,-35.04
143772,9240,-35.86
143939,9260,-34.91
144125,9280,-34.45
144306,9300,-34.5
144506,9320,-34.46
144704,9340,-34.83
144905,9360,-34.19
145097,9380,-34.4
145276,9400,-34.62
145468,9420,-34.33
145659,9440,-34.36
145824,9460,-34.6
146015,9480,-34.44
146200,9500,-34.53
146377,9520,-35.46
146554,9540,-34.63
146732,9560,-34.43
146914,9580,-34.71
147096,9600,-34.81
147261,9620,-34.88
147441,9640,-34.39
147624,9660,-34.04
147799,9680,-34.99
147984,9700,-34.58
148159,9720,-34.91
148337,9740,-35.01
148515,9760,-35.1
148685,9780,-34.25
148860,9800,-34.81
149037,9820,-34.63
149221,9840,-34.63
149397,9860,-34.6
149561,9880,-34.73
149729,9900,-35.43
149883,9920,-34.05
150059,9940,-34.84
150227,9960,-34.6
150397,9980,-34.82
150561,10000,-35.24
150715,10020,-35.3
150879,10040,-35.4
151042,10060,-35.42
151209,10080,-34.7
151365,10100,-35.65
151519,10120,-34.9
151697,10140,-34.69
151861,10160,-35.37
152008,10180,-35.3
152158,10200,-35.52
152310,10220,-35.7
152477,10240,-35.49
152639,10260,-35.46
152812,10280,-35.23
152959,10300,-35.58
153117,10320,-35.26
153258,10340,-36.41
153409,10360,-36.06
153568,10380,-35.47
153719,10400,-35.1
153872,10420,-35.17
154036,10440,-35.22
154196,10460,-35.53
154342,10480,-35.92
154488,10500,-35.64
154640,10520,-36.31
154796,10540,-35.82
154947,10560,-35.47
155105,10580,-35.44
155259,10600,-36.09
155417,10620,-35.83
155562,10640,-36.27
155724,10660,-35.71
155869,10680,-36.14
156021,10700,-36.1
156162,10720,-35.62
156311,10740,-36.19
156454,10760,-35.99
156609,10780,-36.65
156747,10800,-36.54
156899,10820,-36.33
157046,10840,-36.7
157188,10860,-36.44
157328,10880,-36.8
157478,10900,-36.44
157613,10920,-36.87
157752,10940,-36.93
157900,10960,-36.12
158039,10980,-36.34
158187,11000,-36.37
158333,11020,-36.15
158466,11040,-37.32
158608,11060,-36.88
158749,11080,-36.34
158884,11100,-37.56
159026,11120,-36.66
159163,11140,-36.88
159290,11160,-36.69
159424,11180,-37.13
159566,11200,-36.38
159711,11220,-36.02
159857,11240,-36.11
159988,11260,-36.96
160120,11280,-37.01
160257,11300,-36.9
160401,11320,-37.35
160531,11340,-38.02
160648,11360,-37.88
160756,11380,-37.82
160875,11400,-37.44
160981,11420,-38.17
161114,11440,-36.91
161243,11460,-37.04
161368,11480,-37.26
161503,11500,-35.95
161632,11520,-36.69
161783,11540,-36.32
161922,11560,-37.18
162065,11580,-36.72
162196,11600,-36.66
162311,11620,-37.84
162414,11640,-38.85
162484,11660,-40.56
162555,11680,-40.32
162622,11700,-39.4
162683,11720,-39.69
162744,11740,-40.33
162811,11760,-41.34
162879,11780,-39.57
162944,11800,-40.91
163007,11820,-40.16
163067,11840,-40.25
163133,11860,-41.77
163200,11880,-40.79
163271,11900,-40.18
163337,11920,-40.33
163400,11940,-39.25
163463,11960,-40.79
163538,11980,-40.26
163604,12000,-40.18
163668,12020,-40.08
163737,12040,-40.13
163799,12060,-39.81
163867,12080,-40.62
163928,12100,-40.68
163985,12120,-41.51
164048,12140,-39.52
164109,12160,-41.63
164168,12180,-40.86
164229,12200,-38.56
164299,12220,-41.18
164361,12240,-40.88
164422,12260,-40.79
164477,12280,-39.58
164540,12300,-41.14
164595,12320,-40.29
164661,12340,-41.8
164722,12360,-38.83
164790,12380,-40.29
164863,12400,-41.1
164925,12420,-39.65
164984,12440,-40.2
165048,12460,-40.86
165108,12480,-40.48
165166,12500,-41.57
165230,12520,-41.61
165284,12540,-41.11
165334,12560,-41.64
165391,12580,-39.96
165457,12600,-42.35
165517,12620,-40.53
165578,12640,-41.82
165646,12660,-41.82
165713,12680,-42.04
165773,12700,-41.86
165835,12720,-40.31
165894,12740,-40.64
165958,12760,-41.21
166034,12780,-39.22
166102,12800,-39.53
166175,12820,-38.7
166258,12840,-39.35
166343,12860,-37.89
166436,12880,-38.01
166522,12900,-38.95
166613,12920,-37.68
166728,12940,-38.24
166821,12960,-38.79
166911,12980,-38.72
167011,13000,-38.8
167097,13020,-38.96
167177,13040,-39.41
167254,13060,-39.65
167334,13080,-40.51
167411,13100,-40.19
167489,13120,-39.46
167573,13140,-39.93
167654,13160,-40.54
167739,13180,-39.08
167812,13200,-39.45
167905,13220,-39.39
168002,13240,-38.32
168099,13260,-39.46
168201,13280,-38
168298,13300,-37.53
168393,13320,-38.16
168500,13340,-37.83
168597,13360,-38.35
168710,13380,-37.25
168804,13400,-37.85
168910,13420,-38.08
169011,13440,-37.72
169121,13460,-36.41
169226,13480,-36.96
169341,13500,-37.18
169434,13520,-37.63
169527,13540,-37.62
169613,13560,-39.61
169702,13580,-39.17
169799,13600,-37.73
169893,13620,-37.8
170006,13640,-37.4
170110,13660,-38.17
170216,13680,-37.39
170320,13700,-37.31
170429,13720,-37.64
170537,13740,-37.89
170647,13760,-37.72
170747,13780,-37.87
170857,13800,-38.09
170974,13820,-37.02
171080,13840,-38.3
171190,13860,-36.96
171307,13880,-37.39
171402,13900,-37.22
171488,13920,-38.17
171572,13940,-39.19
171652,13960,-39.98
171721,13980,-38.94
171799,14000,-39.67
171883,14020,-38.59
171981,14040,-37.12
172079,14060,-37.38
172171,14080,-37.11
172283,14100,-37.55
172373,14120,-38.15
172478,14140,-37.19
172597,14160,-36.97
172715,14180,-37.06
172836,14200,-36.62
172945,14220,-36.56
173078,14240,-35.76
173206,14260,-35.65
173329,14280,-35.36
173440,14300,-36.52
173543,14320,-36.75
173645,14340,-35.63
173755,14360,-36.42
173870,14380,-35.91
173997,14400,-35.73
174124,14420,-36.26
174224,14440,-34.72
174350,14460,-34.98
174477,14480,-35.74
174607,14500,-35.09
174740,14520,-35.87
174863,14540,-35.23
174966,14560,-36.23
175072,14580,-36.94
175186,14600,-35.81
175284,14620,-37.5
175368,14640,-38.57
175421,14660,-38.59
175484,14680,-39.85
175541,14700,-40.51
175611,14720,-40.41
175680,14740,-39.06
175745,14760,-38.75
175801,14780,-40.03
175861,14800,-39.34
175918,14820,-39.55
175974,14840,-39.7
176030,14860,-41.28
176079,14880,-38.17
176128,14900,-39.38
176178,14920,-39.15
176234,14940,-39.76
176285,14960,-38.55
176328,14980,-40.55
176377,15000,-39.62
176428,15020,-39.51
176477,15040,-40.49
176523,15060,-39.75
176568,15080,-39.27
176613,15100,-40.24
176660,15120,-40.13
176711,15140,-39.42
176756,15160,-39.32
176804,15180,-39.52
176855,15200,-38.58
176904,15220,-38.55
176958,15240,-39.62
177009,15260,-39.1
177058,15280,-40
177106,15300,-39.21
177152,15320,-39.51
177201,15340,-39.27
177250,15360,-39.01
177296,15380,-40.19
177342,15400,-39.74
177394,15420,-40.48
177443,15440,-39.4
177491,15460,-39.14
177539,15480,-40.58
177585,15500,-39.83
177630,15520,-42.21
