year (AD),age (BP),depth (cm),temperature (degC),d18O (permil SMOW),Mg/Ca (permil),d18Og.rub (permil VPDB),d18Osw-g.rub (permil SMOW)
1949.53,0.47,13,26.774,-0.471,3.84,-2.88,-0.47
1949.456,0.544,18,26.421,-0.425,3.72,-2.76,-0.423
1949.382,0.618,23,26.803,-0.376,3.85,-2.79,-0.374
1949.308,0.692,28,26.745,-0.058,3.83,-2.46,-0.056
1949.233,0.767,33,26.57,-0.385,3.77,-2.75,-0.382
1949.159,0.841,38,27.98,0.119,4.28,-2.54,0.122
1949.085,0.915,43,26.687,-0.221,3.81,-2.61,-0.218
1949.011,0.989,48,27.2,-0.214,3.99,-2.71,-0.211
1948.937,1.063,53,27.032,-0.32,3.93,-2.78,-0.316
1948.863,1.137,58,27.338,-0.206,4.04,-2.73,-0.202
1948.789,1.211,63,28.185,0.12,4.36,-2.58,0.124
1948.722,1.278,68,27.032,-0.23,3.93,-2.69,-0.226
1948.66,1.34,73,27.421,-0.15,4.07,-2.69,-0.145
1948.598,1.402,78,27.311,-0.353,4.03,-2.87,-0.348
1948.537,1.463,83,27.475,-0.109,4.09,-2.66,-0.104
1948.475,1.525,88,26.362,-0.451,3.7,-2.77,-0.446
1948.385,1.615,93,26.745,-0.161,3.83,-2.56,-0.156
1948.295,1.705,98,26.918,0.025,3.89,-2.41,0.03
1948.205,1.795,103,27.556,0.257,4.12,-2.31,0.263
1948.125,1.875,108,27.256,-0.286,4.01,-2.79,-0.279
1948.087,1.913,113,27.502,-0.065,4.1,-2.62,-0.058
1948.049,1.951,118,27.69,-0.045,4.17,-2.64,-0.039
1948.007,1.993,123,27.2,-0.148,3.99,-2.64,-0.141
1947.953,2.047,128,27.98,-0.266,4.28,-2.92,-0.258
1947.899,2.101,133,27.529,-0.16,4.11,-2.72,-0.152
1947.844,2.156,138,27.954,0.039,4.27,-2.61,0.046
1947.79,2.21,143,26.687,-0.135,3.81,-2.52,-0.128
1947.736,2.264,148,27.664,-0.042,4.16,-2.63,-0.034
1947.682,2.318,153,27.032,-0.114,3.93,-2.57,-0.106
1947.627,2.373,158,26.861,-0.42,3.87,-2.84,-0.412
1947.573,2.427,163,27.556,-0.055,4.12,-2.62,-0.047
1947.519,2.481,168,26.774,-0.138,3.84,-2.54,-0.13
1947.465,2.535,173,26.861,-0.35,3.87,-2.77,-0.342
1947.41,2.59,178,26.687,-0.247,3.81,-2.63,-0.238
1947.356,2.644,183,26.774,-0.259,3.84,-2.66,-0.25
1947.302,2.698,188,27.98,0.202,4.28,-2.45,0.212
1947.224,2.776,193,27.583,-0.171,4.13,-2.74,-0.161
