year (AD),age (BP),d18O (permil)
1825,125,0.3
1800,150,0.14
1775,175,-0.06
1750,200,-0.05
1725,225,-0.12
1700,250,0.02
1675,275,-0.01
1650,300,-0.09
1625,325,-0.12
1600,350,-0.13
1575,375,0.08
1550,400,0.22
1525,425,0.21
1500,450,0.21
1475,475,0.07
1450,500,-0.12
1425,525,-0.16
1400,550,-0.03
1375,575,-0.11
1350,600,-0.25
1325,625,-0.21
1300,650,-0.14
1275,675,-0.05
1250,700,0.05
1225,725,0.1
1200,750,0.1
1175,775,0.23
1150,800,0.14
1125,825,0.16
1100,850,0.4
1075,875,0.54
1050,900,0.29
1025,925,-0.21
1000,950,-0.44
975,975,-0.13
950,1000,-0.01
925,1025,0.11
900,1050,-0.05
875,1075,-0.14
850,1100,-0.07
825,1125,-0.16
800,1150,-0.25
775,1175,-0.23
750,1200,-0.08
725,1225,0.03
700,1250,-0.02
675,1275,-0.1
650,1300,-0.18
625,1325,-0.36
600,1350,-0.19
575,1375,0.05
550,1400,0.07
525,1425,0.13
500,1450,0.35
475,1475,0.2
450,1500,0.12
425,1525,0.12
400,1550,0.22
375,1575,-0.02
350,1600,0.12
325,1625,0.16
300,1650,0.07
275,1675,-0.08
250,1700,-0.12
225,1725,-0.07
200,1750,-0.09
175,1775,0.01
150,1800,-0.01
125,1825,-0.05
100,1850,-0.15
75,1875,-0.13
50,1900,-0.11
25,1925,-0.07
0,1950,0.04
-25,1975,0.03
-50,2000,-0.04
-75,2025,0.04
-100,2050,-0.05
-125,2075,-0.04
-150,2100,-0.06
-175,2125,-0.2
-200,2150,-0.02
-225,2175,0.21
-250,2200,0.13
-275,2225,0
-300,2250,0.04
-325,2275,-0.01
-350,2300,0.02
-375,2325,0.03
-400,2350,0.04
-425,2375,0.03
-450,2400,0
-475,2425,-0.03
-500,2450,0.02
-525,2475,0.07
-550,2500,0.08
-575,2525,0.04
-600,2550,0.03
-625,2575,0.06
-650,2600,0.05
-675,2625,0.03
-700,2650,0.02
-725,2675,0.05
-750,2700,-0.03
-775,2725,-0.08
-800,2750,-0.01
-825,2775,-0.12
-850,2800,-0.2
-875,2825,-0.24
-900,2850,-0.28
-925,2875,-0.14
-950,2900,0.02
-975,2925,0.02
-1000,2950,0.01
-1025,2975,-0.02
-1050,3000,-0.11
-1075,3025,-0.19
-1100,3050,-0.07
-1125,3075,0.19
-1150,3100,0.46
-1175,3125,0.31
-1200,3150,0.09
-1225,3175,0.02
-1250,3200,0
-1275,3225,-0.02
-1300,3250,-0.04
-1325,3275,-0.07
-1350,3300,-0.07
-1375,3325,-0.05
-1400,3350,-0.03
-1425,3375,-0.01
-1450,3400,0.02
-1475,3425,0.05
-1500,3450,0.04
-1525,3475,0.03
-1550,3500,0.03
-1575,3525,0.12
-1600,3550,0.14
-1625,3575,0.12
-1650,3600,0.09
-1675,3625,0.1
-1700,3650,0.06
-1725,3675,-0.09
-1750,3700,-0.05
-1775,3725,-0.07
-1800,3750,-0.11
-1825,3775,-0.07
-1850,3800,-0.22
-1875,3825,-0.28
-1900,3850,-0.08
-1925,3875,-0.12
-1950,3900,0.01
-1975,3925,0.27
-2000,3950,0.07
-2025,3975,0.01
-2050,4000,0.05
-2075,4025,0.14
-2100,4050,0.06
-2125,4075,-0.03
-2150,4100,0.12
-2175,4125,0.22
-2200,4150,-0.03
-2225,4175,0.02
-2250,4200,-0.18
-2275,4225,0.06
-2300,4250,0.14
-2325,4275,-0.21
-2350,4300,-0.11
-2375,4325,-0.12
-2400,4350,-0.22
-2425,4375,-0.1
-2450,4400,0.08
-2475,4425,0.03
-2500,4450,0.02
-2525,4475,-0.07
-2550,4500,0.05
-2575,4525,-0.1
-2600,4550,-0.07
-2625,4575,0.1
-2650,4600,0.1
-2675,4625,0.09
-2700,4650,0.09
-2725,4675,0.13
-2750,4700,0.22
-2775,4725,0.11
-2800,4750,0.05
-2825,4775,0.24
-2850,4800,-0.02
-2875,4825,0.06
-2900,4850,0.07
-2925,4875,0.06
-2950,4900,0.09
-2975,4925,0.13
-3000,4950,0.06
-3025,4975,-0.08
-3050,5000,-0.02
-3075,5025,-0.07
-3100,5050,-0.11
-3125,5075,0.02
-3150,5100,-0.23
-3175,5125,-0.15
-3200,5150,-0.22
-3225,5175,-0.13
-3250,5200,-0.13
-3275,5225,-0.17
-3300,5250,-0.06
-3325,5275,-0.07
-3350,5300,-0.26
-3375,5325,0.03
-3400,5350,-0.02
-3425,5375,-0.14
