depth (m),age (BP),temperature (degC),CaCO3 (percent),TOC (percent),depth (m),age (BP),planktic.d18O (permil),planktic.d18O (permil),planktic.d18O (permil),d18O (permil),d18O (permil)
0.02,813,26.8,78.3,0.32,0,590,-0.69,NA,0.76,NA,NA
0.04,1110,26.8,77.3,0.35,0.02,813,-0.86,NA,0.27,0.27,NA
0.06,1408,26.9,77.8,0.33,0.04,1110,-0.705,NA,0.585,0.3,NA
0.08,1705,26.4,77.8,0.32,0.06,1408,-0.62,NA,0.065,0.295,NA
0.1,2002,26.5,77.5,0.3,0.08,1705,-0.695,NA,0.38,0.305,NA
0.12,2354,27,78.3,0.27,0.1,2009,-0.735,NA,0.395,0.235,NA
0.14,2707,26.8,77.1,0.24,0.12,2354,-0.79,NA,0.415,0.265,NA
0.16,3059,26.4,77.7,0.24,0.14,2707,-0.805,NA,0.265,0.31,NA
0.18,3412,26.4,77.7,0.27,0.16,3059,-0.655,NA,0.34,0.275,NA
0.2,3764,26.8,77.2,0.26,0.18,3412,-0.85,NA,0.295,0.33,NA
0.22,4128,26.8,78,0.24,0.2,3765,-0.71,NA,0.29,0.39,NA
0.24,4492,26.9,77.2,0.25,0.22,4128,-0.87,NA,0.44,0.275,NA
0.26,4856,26.5,76.8,0.25,0.24,4492,-0.725,NA,0.225,0.24,NA
0.28,5220,26.9,77.6,0.24,0.26,4856,-0.75,NA,0.415,0.755,NA
0.3,5584,26.5,77.4,0.21,0.28,5220,-0.745,NA,0.255,0.385,NA
0.32,5799,26.4,76.2,0.23,0.3,5565,-0.76,NA,0.29,0.425,NA
0.34,6014,26.1,76,0.26,0.32,5799,-0.665,NA,0.42,0.355,NA
0.36,6228,26.4,75.9,0.24,0.34,6014,-0.62,NA,0.385,0.22,NA
0.38,6443,25.9,75.2,0.25,0.36,6228,-0.63,NA,0.08,0.29,NA
0.4,6658,25.8,75.9,0.24,0.38,6443,-0.89,NA,0.115,0.23,NA
0.42,6960,26.2,76.2,0.27,0.4,6669,-0.98,NA,-0.065,0.16,NA
0.44,7262,25.8,76.4,0.26,0.42,6960,-1.125,NA,-0.07,0.18,NA
0.45,7413,26.2,76.4,0.26,0.44,7262,-1.215,NA,0.385,0.2,NA
0.48,7865,26.6,75.1,0.26,0.46,7564,-1.155,NA,0.27,0.25,NA
0.5,8167,25.5,74.7,0.32,0.48,7865,-1.285,NA,0.04,0.415,NA
0.52,8469,25.6,72.7,0.28,0.5,8167,-1.16,NA,0.005,0.36,NA
0.54,8771,25.9,73,0.29,0.52,8469,-1.18,NA,0.425,0.42,NA
0.56,9036,25.9,70,0.28,0.54,8771,-1.285,NA,0.185,0.33,NA
0.58,9264,25.7,65.9,0.26,0.56,9036,-1.35,NA,0.355,0.4,NA
0.6,9492,25.6,62,0.28,0.58,9264,-1.375,NA,0.705,0.495,NA
0.62,9720,25.9,58.6,0.35,0.6,9492,-1.085,NA,0.76,0.605,NA
0.64,9948,25.7,58,0.32,0.62,9720,-0.635,-0.51,0.775,0.79,NA
0.66,10176,25.8,57.6,0.29,0.64,9948,-0.6,-0.385,0.82,0.885,NA
0.68,10404,25.1,56.3,0.4,0.66,10176,NA,-0.08,0.695,0.965,NA
0.7,10632,25.2,48.8,1.11,0.68,10404,NA,0.445,1.21,NA,NA
0.72,11005,24.3,51.4,0.45,0.7,10650,NA,0.695,1.725,NA,NA
0.74,11378,23.8,50.7,0.44,0.72,11005,NA,1.725,1.875,2.655,NA
0.76,11751,23.7,50.5,0.45,0.74,11378,NA,0.845,1.34,2.13,NA
0.78,12124,23.8,49.2,0.53,0.76,11751,NA,1.735,2.295,2.84,2.915
0.8,12497,24.1,48.2,0.47,0.78,12124,NA,1.885,2.055,2.71,2.79
0.82,12870,24.5,50,0.68,0.8,12497,NA,1.885,1.485,2.83,2.93
0.84,13243,24.7,48.4,1.09,0.82,12870,NA,1.965,1.92,NA,2.885
0.86,13501,25,46,1.73,0.84,13243,NA,2.01,2.83,NA,2.96
0.88,13643,25.1,45.3,2.11,0.86,13501,NA,1.3,2.415,NA,3.05
0.9,13786,25.1,48,1.89,0.88,13643,NA,1.575,2.085,NA,3.045
0.92,13928,24.9,45.9,2.72,0.9,13786,NA,1.395,2.85,NA,3.345
0.94,14070,25,42.1,2.87,0.92,13928,NA,1.75,2.17,NA,3.725
0.96,14213,25.2,41.2,2.82,0.94,14070,NA,1.555,NA,NA,3.74
0.98,14355,25.4,54,0.75,0.96,14212,NA,1.945,NA,NA,3.855
1,14497,21,62.8,0.36,0.98,14355,NA,2.535,NA,NA,5.05
1.02,14714,20.3,60.2,0.42,1,14506,NA,3.305,NA,NA,4.4
1.06,15147,20.1,55,0.38,1.02,14714,NA,3.95,NA,NA,4.725
1.1,15580,19.5,47.2,0.48,1.04,14930,NA,3.65,NA,NA,4.94
1.14,16014,19.3,42,0.56,1.06,15147,NA,4,NA,NA,4.935
1.18,16447,16.4,38.4,0.7,1.08,15364,NA,4.26,NA,NA,5.415
