year (AD),age (BP),depth (m),dust (percent),UncertaintyDust0x5B0x250x5D0x28Plus0x29 (missing),UncertaintyDust0x5B0x250x5D0x28Minus0x29 (missing)
1340,610,0.04,43.2,2.4,2.3
1170,780,0.06,55.4,1.9,1.9
1000,950,0.08,40,2.2,2
830,1120,0.1,50.1,2.1,2.1
660,1290,0.12,57.4,2.1,2
490,1460,0.14,45.8,2.2,2.1
320,1630,0.16,57,2.1,2
150,1800,0.18,65.5,1.9,1.9
-20,1970,0.2,63.5,2.2,2.2
-190,2140,0.22,51.4,2.2,2.1
-360,2310,0.24,34.5,2.6,2.4
-530,2480,0.26,48.6,2.5,2.5
-710,2660,0.28,49.5,2.4,2.4
-880,2830,0.3,46.8,2.2,2.1
-960,2910,0.31,44.6,2,1.9
-1050,3000,0.32,64.2,1.9,1.9
-1130,3080,0.33,56.2,1.8,1.7
-1220,3170,0.34,65.1,1.8,1.7
-1390,3340,0.36,66.4,1.9,1.9
-1560,3510,0.38,24.2,2.5,2.5
-1730,3680,0.4,36.2,2.3,2.3
-1900,3850,0.42,53.7,2.2,2.2
-2070,4020,0.44,48.1,2.3,2.3
-2240,4190,0.46,61,2.2,2.1
-2410,4360,0.48,32.9,2.6,2.5
-2580,4530,0.5,65.3,2.2,2.2
-2750,4700,0.52,49.8,2.4,2.4
-2940,4890,0.54,53.8,2.4,2.4
-3150,5100,0.56,28.1,2.6,2.5
-3360,5310,0.58,47.6,2.5,2.5
-3490,5440,0.6,56.1,2.7,2.7
-3620,5570,0.62,47.3,3.4,3.5
-3750,5700,0.64,44.8,3.3,3.4
-3880,5830,0.66,33.6,3.4,3.5
-4010,5960,0.68,31.3,3.4,3.4
-4140,6090,0.7,44.1,3.2,3.3
-4270,6220,0.72,48.7,3.4,3.5
-4400,6350,0.74,57.6,3.5,3.6
-4530,6480,0.76,32.6,3.9,4
-4660,6610,0.78,47.7,4,4.2
-4790,6740,0.8,40,3.7,3.7
-4920,6870,0.82,55.6,3.5,3.6
-5050,7000,0.84,53.5,3.3,3.4
-5180,7130,0.86,40.4,4.5,4.7
-5310,7260,0.88,54.1,4,4.1
-5440,7390,0.9,40,5,5.3
-5570,7520,0.92,45.7,4.3,4.5
-5700,7650,0.94,26.7,4,4.2
-5830,7780,0.96,54.2,3.9,4
-5960,7910,0.98,43.9,4.1,4.3
-6090,8040,1,51.2,3.9,4
-6220,8170,1.02,40.3,4.6,4.7
-6330,8280,1.04,46.8,3.9,4.1
-6420,8370,1.06,34.9,5.2,5.6
-6510,8460,1.08,63.1,4.4,4.8
-6600,8550,1.1,69,3.5,3.7
-6690,8640,1.12,45.9,4.8,5.1
-6780,8730,1.14,29.2,5.4,5.8
-6880,8830,1.16,60.7,4.3,4.6
-6970,8920,1.18,51.9,4.8,5
-7060,9010,1.2,22.3,5.3,5.7
-7150,9100,1.22,52.6,4.5,4.7
-7240,9190,1.24,58,4.2,4.5
-7330,9280,1.26,39.4,4.9,5.2
-7420,9370,1.28,31.1,4.9,5.2
-7560,9510,1.31,43.7,5.2,5.5
