depth (m),temperature (degC),BSi (percent),TOC (percent),CaCO3 (percent)
0.03,20.3,3.49,2.87,25.8
0.08,20.4,3.57,2.28,32.1
0.13,20.4,2.56,2.2,32.3
0.18,20.4,2.1,2.15,32.4
0.23,20.3,1.95,2.04,34
0.28,20.4,2.02,2.1,35.3
0.33,20.7,1.73,1.95,36.2
0.38,20.6,1.45,1.81,37.8
0.43,20.7,1.56,1.81,38.2
0.48,20.8,1.91,1.92,39.1
0.53,NA,1.2,1.62,43.1
0.58,20.6,1.67,1.74,44.1
0.63,20.9,1.23,1.46,46.3
0.68,21.5,1.33,1.47,46.9
0.73,20.7,1.32,1.57,45.5
0.78,21,1.51,1.47,51.4
0.83,20.7,1.82,1.39,55.7
0.88,20.7,2.11,1.42,55.2
0.89,NA,1.94,NA,NA
0.91,NA,1.98,NA,NA
0.92,NA,1.81,NA,NA
0.93,20.6,2.21,1.38,57.8
0.94,NA,2.11,NA,NA
0.95,NA,2.35,NA,NA
0.96,NA,2.13,NA,NA
0.97,NA,2.17,NA,NA
0.98,20.1,2.98,1.65,55.7
0.99,NA,2.14,NA,NA
1,NA,3.03,NA,NA
1.01,NA,2.13,NA,NA
1.02,NA,2.19,NA,NA
1.03,NA,2.5,1.58,54.9
1.04,NA,2.04,NA,NA
1.05,NA,2.66,NA,NA
1.06,NA,1.86,NA,NA
1.07,NA,2.28,NA,NA
1.08,19.7,2.88,1.59,53.7
1.1,NA,1.7,NA,NA
1.11,NA,2.58,NA,NA
1.12,NA,2.68,NA,NA
1.13,19.7,3.83,1.72,51.2
1.14,NA,2.4,NA,NA
1.15,NA,2.74,NA,NA
1.16,NA,3.13,NA,NA
1.17,NA,3.31,NA,NA
1.18,19.7,3.7,1.63,48.8
1.19,NA,3.42,NA,NA
1.2,NA,4.21,NA,NA
1.21,NA,2.87,NA,NA
1.22,NA,3.5,NA,NA
1.23,19.6,3,1.64,48.7
1.24,NA,3.37,NA,NA
1.25,NA,3.31,NA,NA
1.26,NA,4.97,NA,NA
1.27,NA,4.47,NA,NA
1.28,20.1,4.63,1.75,44.4
1.29,NA,4.35,NA,NA
1.3,NA,4.86,NA,NA
1.31,NA,3.4,NA,NA
1.32,NA,4.88,NA,NA
1.33,NA,5.19,1.78,45.7
1.34,NA,3.7,NA,NA
1.35,NA,4.62,NA,NA
1.36,NA,3.5,NA,NA
1.37,NA,5.71,NA,NA
1.38,19.5,6.15,1.87,41.7
1.4,NA,4.66,NA,NA
1.41,NA,5.43,NA,NA
1.42,NA,5.37,NA,NA
1.43,19.4,10.2,2.18,34.7
1.44,NA,7.02,NA,NA
1.45,NA,8.21,NA,NA
1.46,NA,7.19,NA,NA
1.47,NA,6.96,NA,NA
1.48,19.4,8.71,2.09,38.7
1.49,NA,10.03,NA,NA
1.5,NA,13.63,NA,NA
