depth (cm),dateType (),thickness (cm),measurementMaterial (),sensorSpecies (),labID (),age14C (kyr),age14CUncertainty (kyr),reservoirAge (kyr)
32.2,14C,NA,planktic foraminifera calcite,G.inflata,OZD 261,3.72,0.09,0.4
76,14C,2,planktic foraminifera calcite,G.inflata,NZA 6654,7.637,0.087,0.4
76.5,14C,1,planktic foraminifera calcite,G.inflata,LL 39597,7.54,0.04,0.4
78.5,14C,1,planktic foraminifera calcite,G.inflata,LL 39598,7.61,0.04,0.4
78.5,14C,1,planktic foraminifera calcite,G.inflata,LL 39599,7.7,0.04,0.4
95,14C,2,planktic foraminifera calcite,G.inflata,LL 39600,8.8,0.03,0.4
97.5,14C,1,planktic foraminifera calcite,G.inflata,LL 39601,9.13,0.04,0.4
97.5,14C,1,planktic foraminifera calcite,G.inflata,LL 39602,8.96,0.04,0.4
124.2,14C,NA,planktic foraminifera calcite,G.inflata,OZD 262,10.95,0.16,0.4
152,14C,2,planktic foraminifera calcite,G.inflata,NZA 6655,12.82,0.11,0.4
159.5,14C,1,planktic foraminifera calcite,G.inflata,NZA 6662,12.91,0.14,0.4
160.5,14C,1,planktic foraminifera calcite,G.inflata,LL 40465,12.94,0.07,0.4
186.9,14C,NA,planktic foraminifera calcite,G.inflata,OZD 263,14.65,0.17,0.4
202.5,14C,1,planktic foraminifera calcite,G.inflata,LL 40466,14.98,0.07,0.4
204,14C,2,planktic foraminifera calcite,G.inflata,NZA 6663,14.98,0.12,0.4
207,14C,2,planktic foraminifera calcite,G.inflata,NZA 6664,15.35,0.16,0.4
208.5,14C,1,planktic foraminifera calcite,G.inflata,LL 40467,14.97,0.07,0.4
208.5,14C,1,planktic foraminifera calcite,G.inflata,LL 40468,14.91,0.07,0.4
241.9,14C,NA,planktic foraminifera calcite,G.inflata,OZD 264,16.25,0.22,0.4
