depth (m),age (BP),temperature (degC),temperature (degC),temperatureComposite (degC)
0.04,757,6.45,11.74,0.606
0.08,811,7.33,12.35,1.351
0.12,906,4.52,9.22,-1.619
0.16,1041,7.32,12.45,1.396
0.2,1209,4.22,8.47,-2.144
0.24,1391,7.22,12.6,1.421
0.28,1577,7.46,12.53,1.506
0.32,1764,7.12,12.72,1.431
0.36,1950,7.43,12.54,1.496
0.44,2315,6.21,11.24,0.236
0.48,2497,7.08,12.27,1.186
0.52,2681,7.49,12.48,1.496
0.56,2864,7.5,12.45,1.486
0.6,3045,7.47,12.51,1.501
0.64,3224,7.52,12.1,1.321
0.68,3400,7.46,12.48,1.481
0.72,3573,6.42,11.69,0.566
0.76,3743,2.08,8.36,-3.269
0.8,3911,7.48,12.48,1.491
0.84,4075,6.2,10.86,0.041
0.88,4235,7.35,12.57,1.471
0.92,4392,7.71,12.25,1.491
0.96,4545,7.22,12.1,1.171
1,4695,7.03,12.23,1.141
1.04,4840,6.32,11.36,0.351
1.08,4981,7.12,12.71,1.426
1.12,5117,7.51,13.69,2.111
1.16,5250,7.54,12.14,1.351
1.2,5378,6.25,12.24,0.756
1.24,5501,1.99,7.06,-3.964
1.28,5620,4.4,9.3,-1.639
1.32,5736,5.08,9.93,-0.984
1.36,5848,6.93,11.68,0.816
1.4,5958,2.96,6.4,-3.809
1.44,6065,6.34,10.58,-0.029
1.48,6170,7.21,12.33,1.281
1.52,6273,7.23,12.55,1.401
1.56,6374,5.39,10.12,-0.734
1.6,6473,3.81,7.97,-2.599
1.64,6571,7.09,12.67,1.391
1.68,6667,7.09,12.44,1.276
1.72,6761,5.42,9.93,-0.814
1.76,6854,4.96,9.62,-1.199
1.8,6945,3.31,6.44,-3.614
1.84,7034,6.1,11.5,0.311
1.88,7122,5.66,10.17,-0.574
1.92,7208,4.37,8.98,-1.814
1.96,7292,5.6,10.76,-0.309
2,7375,2.77,6,-4.104
2.04,7456,4.95,10.04,-0.994
2.08,7535,4.65,8.24,-2.044
2.12,7613,5.26,9.39,-1.164
2.16,7690,5.78,10.6,-0.299
2.2,7766,6.09,11.42,0.266
2.24,7841,7.08,12.66,1.381
2.28,7915,2.87,6.96,-3.574
2.32,7989,5.9,10.48,-0.299
2.36,8063,4.63,11.96,-0.194
2.4,8137,4.62,9.53,-1.414
2.44,8210,5.78,11.16,-0.019
2.48,8283,5.91,11.41,0.171
2.52,8356,3.53,6.67,-3.389
2.56,8429,4.85,9.61,-1.259
2.6,8502,5.9,10.43,-0.324
2.64,8575,6.46,11.36,0.421
2.68,8647,6.07,10.93,0.011
2.72,8720,6.34,11.61,0.486
2.76,8791,6.7,12.33,1.026
2.8,8862,6.61,11.12,0.376
2.84,8932,4.12,10.68,-1.089
2.88,9000,4.06,7.67,-2.624
2.92,9066,6.22,11.51,0.376
2.96,9130,4.95,9.36,-1.334
3,9191,6.23,11.09,0.171
3.04,9250,4.14,8.02,-2.409
3.08,9305,4.38,7.82,-2.389
3.12,9356,4.72,8.32,-1.969
3.16,9401,5.16,8.44,-1.689
3.2,9442,5.2,9.29,-1.244
3.24,9481,5.29,9.12,-1.284
3.28,9520,6.1,11.51,0.316
3.32,9561,6.34,11.96,0.661
3.36,9607,7.94,18.21,4.586
3.4,9660,7.52,16.39,3.466
3.44,9724,7.9,19.88,5.401
3.48,9799,7.04,14.29,2.176
3.52,9885,5.61,12.73,0.681
3.56,9984,7.29,15.58,2.946
3.6,10097,5.82,13.37,1.106
3.64,10228,5.24,12.65,0.456
